structural_id,parent_id,order,unit_type,source_locator,target_locator,title,dependencies,completion_state,review_state,publication_state,boundary_confidence,ambiguity
NOE-P25-ZH-U000,,0,article,P31 14120-14177,Hans 33-89,Paper 25 complete logical article,,complete,source_parity_checked,handoff_ready,high,terminal clearpage excluded
NOE-P25-ZH-U001,NOE-P25-ZH-U000,1,apparatus,source 1-12,Hans 33-44,opening apparatus,,complete,source_parity_checked,handoff_ready,high,1924/1925 held
NOE-P25-ZH-N001,NOE-P25-ZH-U001,1.1,note,source 10,Hans 42; Hant 43,source footnote 1: fuller treatment and literature,,complete,footnote_locus_and_text_checked,handoff_ready,high,inherited witness omitted the opening apparatus and relocated this note
NOE-P25-ZH-U002,NOE-P25-ZH-U000,2,closed_prose_unit,source 14,Hans 46,methodological introduction,NOE-P25-ZH-U001,complete,source_parity_checked,handoff_ready,high,
NOE-P25-ZH-U010,NOE-P25-ZH-U000,10,closed_prose_unit,source 16,Hans 48,one-variable setup,NOE-P25-ZH-U002,complete,source_parity_checked,handoff_ready,high,
NOE-P25-ZH-U011,NOE-P25-ZH-U000,11,section,source 18-22,Hans 50-54,one-variable step 1,NOE-P25-ZH-U010,complete,source_parity_checked,handoff_ready,high,
NOE-P25-ZH-E011,NOE-P25-ZH-U011,12,equation,source 19-21,Hans 51-53,factorization display,NOE-P25-ZH-U011,complete,formula_checked,handoff_ready,high,
NOE-P25-ZH-U012,NOE-P25-ZH-U000,13,section,source 24,Hans 56,one-variable step 2,NOE-P25-ZH-U011,complete,source_parity_checked,handoff_ready,high,
NOE-P25-ZH-U013,NOE-P25-ZH-U000,14,section,source 26,Hans 58,one-variable step 3,NOE-P25-ZH-U012,complete,source_parity_checked,handoff_ready,high,
NOE-P25-ZH-U014,NOE-P25-ZH-U000,15,section,source 28,Hans 60,one-variable step 4,NOE-P25-ZH-U011;NOE-P25-ZH-U013,complete,source_parity_checked,handoff_ready,high,
NOE-P25-ZH-U020,NOE-P25-ZH-U000,20,closed_prose_unit,source 30-32,Hans 62-64,general transition and definitions,NOE-P25-ZH-U014,complete,source_parity_checked,handoff_ready,high,
NOE-P25-ZH-U021,NOE-P25-ZH-U000,21,section,source 34-39,Hans 66-71,general step I,NOE-P25-ZH-U020,complete,source_parity_checked,handoff_ready,high,equivalent modern definitions explicit
NOE-P25-ZH-E021,NOE-P25-ZH-U021,22,equation,source 35-38,Hans 67-70,ideal decomposition display,NOE-P25-ZH-U021,complete,formula_checked,handoff_ready,high,
NOE-P25-ZH-U022,NOE-P25-ZH-U000,23,section,source 41,Hans 73,general step II,NOE-P25-ZH-U021,complete,source_parity_checked,handoff_ready,high,
NOE-P25-ZH-U023,NOE-P25-ZH-U000,24,section,source 43,Hans 75,general step III,NOE-P25-ZH-U022,complete,source_parity_checked,handoff_ready,high,
NOE-P25-ZH-U024,NOE-P25-ZH-U000,25,section,source 45-49,Hans 77-81,general step IV,NOE-P25-ZH-U021;NOE-P25-ZH-U023,complete,source_parity_checked,handoff_ready,high,
NOE-P25-ZH-E024,NOE-P25-ZH-U024,26,equation,source 46-48,Hans 78-80,norm factorization display,NOE-P25-ZH-U024,complete,formula_checked,handoff_ready,high,
NOE-P25-ZH-U030,NOE-P25-ZH-U000,30,closed_prose_unit,source 51,Hans 83,one-variable reintegration,NOE-P25-ZH-U024,complete,source_parity_checked,handoff_ready,high,
NOE-P25-ZH-U031,NOE-P25-ZH-U000,31,closed_prose_unit,source 53,Hans 85,usual elimination theory,NOE-P25-ZH-U030,complete,source_parity_checked,handoff_ready,high,
NOE-P25-ZH-U099,NOE-P25-ZH-U000,99,apparatus,source 55-57,Hans 87-89,received date,NOE-P25-ZH-U031,complete,source_parity_checked,handoff_ready,high,
