slot_return_row_id,parent_seed,slot,candidate_area,language_owner_lane,dated_return_present,reviewer_return_pointer,slot_boundary_confirmed,slot_approved_for_surface_sidecar,no_construction_decision_recorded,source_text_or_excerpt_file,proposed_bridge_lexeme,proposed_bridge_morpheme,accepted_bridge_surface,accepted_local_language_term,translated_passage,return_fields_filled,ready_for_surface_sidecar
K-SLOT-RET-001,DMOI-RF-ROCSI-01,relation_like_statement_slot,relation/function boundary in discrete structures,,false,,false,false,false,false,false,false,false,false,false,0,false
K-SLOT-RET-002,DMOI-RF-ROCSI-01,ordered_pair_membership_slot,relation/function boundary in discrete structures,,false,,false,false,false,false,false,false,false,false,false,0,false
K-SLOT-RET-003,DMOI-RF-ROCSI-01,function_like_mapping_slot,relation/function boundary in discrete structures,,false,,false,false,false,false,false,false,false,false,false,0,false
K-SLOT-RET-004,DMOI-RF-ROCSI-01,graph_of_function_slot,relation/function boundary in discrete structures,,false,,false,false,false,false,false,false,false,false,false,0,false
K-SLOT-RET-005,DMOI-RF-ROCSI-01,non_function_relation_counter_slot,relation/function boundary in discrete structures,,false,,false,false,false,false,false,false,false,false,false,0,false
K-SLOT-RET-006,DMOI-RF-ROCSI-02,domain_slot,domain codomain and range language,,false,,false,false,false,false,false,false,false,false,false,0,false
K-SLOT-RET-007,DMOI-RF-ROCSI-02,codomain_slot,domain codomain and range language,,false,,false,false,false,false,false,false,false,false,false,0,false
K-SLOT-RET-008,DMOI-RF-ROCSI-02,range_or_image_slot,domain codomain and range language,,false,,false,false,false,false,false,false,false,false,false,0,false
K-SLOT-RET-009,DMOI-RF-ROCSI-02,outside_domain_boundary_slot,domain codomain and range language,,false,,false,false,false,false,false,false,false,false,false,0,false
K-SLOT-RET-010,DMOI-RF-ROCSI-03,injective_property_slot,function property family one-to-one onto injective surjective bijective,,false,,false,false,false,false,false,false,false,false,false,0,false
K-SLOT-RET-011,DMOI-RF-ROCSI-03,surjective_property_slot,function property family one-to-one onto injective surjective bijective,,false,,false,false,false,false,false,false,false,false,false,0,false
K-SLOT-RET-012,DMOI-RF-ROCSI-03,bijective_property_slot,function property family one-to-one onto injective surjective bijective,,false,,false,false,false,false,false,false,false,false,false,0,false
K-SLOT-RET-013,DMOI-RF-ROCSI-03,many_to_one_counterexample_slot,function property family one-to-one onto injective surjective bijective,,false,,false,false,false,false,false,false,false,false,false,0,false
K-SLOT-RET-014,DMOI-RF-ROCSI-06,arrow_reading_slot,mapping notation and arrow-reading conventions,,false,,false,false,false,false,false,false,false,false,false,0,false
K-SLOT-RET-015,DMOI-RF-ROCSI-06,maps_to_reading_slot,mapping notation and arrow-reading conventions,,false,,false,false,false,false,false,false,false,false,false,0,false
K-SLOT-RET-016,DMOI-RF-ROCSI-06,input_output_reading_slot,mapping notation and arrow-reading conventions,,false,,false,false,false,false,false,false,false,false,false,0,false
K-SLOT-RET-017,DMOI-RF-ROCSI-06,function_name_application_slot,mapping notation and arrow-reading conventions,,false,,false,false,false,false,false,false,false,false,false,0,false
