binding_id,parent_artifact,parent_location,lane_or_workstream,observed_state,session_k_support_slice,session_b_consumption_role,owner_route,session_d_route,source_text_or_excerpt_files,mapping_decisions,translations_created,approvals_recorded,readiness_claims
K-BIND-001,NOETHER_NON_SLAVIC_INTERLANGUAGE_FRONTIER_AUDIT_20260703,cross-session-coordination/20260702,non_slavic_core_frontier,"8 lanes; 2 context-note only; 5 manual/source review; 1 source discovery; 153 forms; 0 filled",attach relation/function pointer and review-form binding rows without language terms,package ordinary-size lane binding sidecar,Session C and named language owners,only if ownerless construction-method issue appears,0,0,0,0,0
K-BIND-002,CONTEXT_NOTE_CONFIRMATION_RETURN_LEDGER_TEMPLATE_FRENCH_JAPANESE_20260703,noether-slavic-handoff/20260629,french_japanese_context_note_confirmation,"62 blank return rows; French 21; Japanese 41; returns 0; dispatches 0; applications 0",bind proof/set-function/relation-function review slots to context-note confirmation shell,package ordinary-size review-slot binding sidecar,French lane and Japanese lane,not applicable unless construction-method question appears,0,0,0,0,0
K-BIND-003,OPEN_RELATION_FUNCTION_TRANSLATION_SOURCE_CANDIDATE_SHELF_20260702T131500Z,cross-session-coordination/20260702,open_relation_function_source_shelf,"8 route-verified source rows; 5 packet sequences; exact editions 0; source files cached 0",derive draft source-pointer support rows for translation lanes,package source-pointer sidecar with no source prose,requesting corpus translation lane,Session D for ownerless construction-method disputes,0,0,0,0,0
K-BIND-004,OLP_DMOI_RELATION_FUNCTION_SOURCE_POINTER_PACKET_20260702T133000Z,cross-session-coordination/20260702,olp_dmoi_relation_function_core,"10 source-pointer rows; selected excerpts 0; source prose copied 0; reviewer returns 0",reuse as exact parent for relation/function packet-unit bindings,package relation/function parent pointer sidecar,requesting corpus translation lane,Session D if method authority is ownerless,0,0,0,0,0
K-BIND-005,OPEN_TRANSLATION_REVIEW_ONLY_SOURCE_COORDINATE_SCAN_ROUTER_20260703T081500Z,files-mentioned-by-the-user-worked/outputs,open_translation_review_only_router,"10 router rows; 21 blank route task rows; 5 lane router rows; scan results 0",bind scan-router task families to package-ready support lanes,package router-binding sidecar,source/evidence owner lane by router row,Session D for semi-constructed method shelf only,0,0,0,0,0
K-BIND-006,OPEN_TRANSLATION_PROOF_LITERACY_SOURCE_COORDINATE_POLICY_SHEET_20260703T084500Z,files-mentioned-by-the-user-worked/outputs,proof_literacy_source_policy,"28 policy rows; 3 coordinate-scan candidates after review; policy reviews 0",bind proof-literacy review slots to OLP and Book of Proof support routes,package proof-literacy policy binding sidecar,proof-literacy/source-policy owner,Session D only for construction governance questions,0,0,0,0,0
K-BIND-007,OPEN_TRANSLATION_OPENINTRO_NUMERACY_SOURCE_COORDINATE_POLICY_SHEET_20260703T101500Z,files-mentioned-by-the-user-worked/outputs,openintro_numeracy_source_policy,"33 policy rows; 7 candidate-after-review rows; blank policy review cells 330",bind numeracy-to-function packet slots for public-service translation lanes,package numeracy function-bridge sidecar,statistics/public-numeracy owner lane,not applicable unless ownerless construction-method issue appears,0,0,0,0,0
K-BIND-008,OPEN_TRANSLATION_OPENINTRO_NUMERACY_NORMALIZATION_MAPPING_GATE_FRONTIER_INDEX_20260703T141500Z,files-mentioned-by-the-user-worked/outputs,openintro_numeracy_mapping_frontier,"17 frontier package rows; mapping returns 0; decisions 0; authorizations 0; activations 0",expose mapping gate dependencies to Session B while keeping mapping counts zero,package gate-frontier sidecar for Session B,statistics/public-numeracy owner lane,not applicable,0,0,0,0,0
K-BIND-009,MALAY_INDONESIAN_OPERATOR_SLOT_FUNCTION_DOMAIN_RETURN_LEDGER_TEMPLATE_V2_20260701T091500Z,files-mentioned-by-the-user-worked/outputs,malay_indonesian_operator_slot_support,"operator/function-domain return ledger template; language-specific content routed away from Session K",record dependency route only; no terms or translations in Session K,package route-only dependency sidecar,Session G / Malay-Indonesian lane,not applicable,0,0,0,0,0
K-BIND-010,SEMI_CONSTRUCTED_RELATION_FUNCTION_REVIEW_ONLY_SLOT_RETURN_LEDGER_TEMPLATE_20260703T071500Z,cross-session-coordination/20260703,package148_review_only_slot_ledger,"17 blank slot-return rows; 4 parent seed rows; 170 blank return cells; dated returns 0",anchor Session K slot ledgers to package-148 semantics,package continuation-safe slot-ledger sidecar,requesting corpus translation lane plus language owner,Session D for ownerless construction-method issue,0,0,0,0,0
K-BIND-011,NOETHER_PC_BRANCH_STATUS_THROUGH_PACKAGE148_20260703,cross-session-coordination/20260703,session_b_branch_frontier,"latest package 148; package 149 absent at generation; source-text/excerpt gate 0",make new Session K output bundle consumable as package-compatible support material,Session B intake candidate; no Git push by Session K,Session B branch steward,not applicable,0,0,0,0,0
