layer	page	authority_physical	printed_page	render_path	inspection_result	layout_checks	content_checks	notes
AUTHORITY	1	1		audit/renders/authority/page-01.png	PASS	full page; no crop; cover legible	copy-matter topology	NUMDAM/SMF cover, rights/access copy, digitization notice; excluded from both readers
AUTHORITY	2	2	23	audit/renders/authority/page-02.png	PASS	full page; no crop; title page legible	publication line; title; byline; redactor; summary; Section 1	Authority pixels show SOCIÉTÉ MATHÉMATIQUE DE FRANCE with both accents
AUTHORITY	3	3	24	audit/renders/authority/page-03.png	PASS	full page; no crop; formulae legible	motives; Betti realization; Hodge decomposition; analytic exact sequence	Page continuation and folio verified
AUTHORITY	4	4	25	audit/renders/authority/page-04.png	PASS	full page; no crop; formulae legible	ell-adic and de Rham realizations; strict p-prime-greater-than-p filtration	No tensor-over-Q scalar subscript in the printed comparison
AUTHORITY	5	5	26	audit/renders/authority/page-05.png	PASS	full page; no crop; determinant and formulae legible	Examples 1-2; Tate motive; exterior square; Legendre relation	Explicit multiplication points confirmed
AUTHORITY	6	6	27	audit/renders/authority/page-06.png	PASS	full page; no crop; matrix display legible	Example 3; n-by-2n matrices; alternating form; Section 2	Source reads ces plongements complexes
AUTHORITY	7	7	28	audit/renders/authority/page-07.png	PASS	full page; no crop; all H-phi lines legible	complete H-phi definition; inverse embedding; period invariant	No clipped Hodge-type clause
AUTHORITY	8	8	29	audit/renders/authority/page-08.png	PASS	full page; no crop; two-column table legible	Inf/Res; four period identities; four motive relations; p_K; Section 3	Native two-column topology verified
AUTHORITY	9	9	30	audit/renders/authority/page-09.png	PASS	full page; no crop; formulae legible	absolute Hodge cycles; ell-adic/de Rham groups; motive category; Künneth decomposition	Printed X has no algebraic-closure base change
AUTHORITY	10	10	31	audit/renders/authority/page-10.png	PASS	full page; no crop; underlined results legible	Theorem 1; unnumbered Corollary (Borovoï); Hodge group; Theorem 2 opens	Multiplicative-group image mu(G_m) verified
AUTHORITY	11	11	32	audit/renders/authority/page-11.png	PASS	full page; no crop; proof endings legible	Theorem 2 proof; lemma; C.Q.F.D.; remark; CM corollary/proof; strict inequalities	No proof square after either proof
AUTHORITY	12	12	33	audit/renders/authority/page-12.png	PASS	full page; no crop; blank remainder preserved	References [1]-[7]; both addresses; folio 33; EOF	Terminal topology verified
FRENCH	1	2	23	audit/renders/french/page-01.png	PASS	no clipping; no overlap; no missing glyphs; margins clear	publication/title/byline/redactor/summary/Section 1	Corrected authority accents render in SOCIÉTÉ MATHÉMATIQUE
FRENCH	2	3	24	audit/renders/french/page-02.png	PASS	no clipping; no overlap; no missing glyphs; margins clear	Betti/Hodge formulae and analytic exact sequence	All arrows, indices, conjugation bar, and integral label legible
