"category","required_lane_action","standard_id","status_label","branch_floor","standard_title","r3_application"
"branch-weight","ensure branch-weight ledger rows cite source body/path/hash and use State C for Interslavic where applicable","8F7D-STANDARD-01","source-use/provenance/gap/draft-noncanonical","8f7d1cb30ca4347812d05bfbe110b134bb758870","branch-weight witness measure and Interslavic State C correction","Per-gate source witness rows only; no Arabic/Persian/Urdu/Ottoman bridge weighting."
"marginal-intelligibility","queue owner-lane review of marginal-intelligibility criteria before generated-draft terminology","8F7D-STANDARD-02","source-use/provenance/gap/draft-noncanonical","8f7d1cb30ca4347812d05bfbe110b134bb758870","marginal-intelligibility scoring and review queue","No marginal-intelligibility promotion for R3; owner-lane review questions only."
"source-use","require source-canon/source-body path, hash, access label, and gap state before draft work","8F7D-STANDARD-03","source-use/provenance/gap/draft-noncanonical","8f7d1cb30ca4347812d05bfbe110b134bb758870","source-use policy and source-canon sufficiency gate","All draft rows retain source_file/context and witness rows carry hashes where available."
"adverse-evidence","block or flag candidate forms through adverse-evidence/do-not-use rows before term promotion","8F7D-STANDARD-04","source-use/provenance/gap/draft-noncanonical","8f7d1cb30ca4347812d05bfbe110b134bb758870","adverse-evidence/false-friend/do-not-use exclusion","Do-not-use rows block cross-gate inheritance and false native-witness use."
"normalization","route as normalization draft rule with source pointer and adverse-evidence check","8F7D-STANDARD-05","source-use/provenance/gap/draft-noncanonical","8f7d1cb30ca4347812d05bfbe110b134bb758870","normalization decisions and script/register handling","RTL/script/register notes are scaffold support, not accepted terminology."
"marker-table","route as interlinear/marker scaffold support; no accepted bridge surface","8F7D-STANDARD-06","source-use/provenance/gap/draft-noncanonical","8f7d1cb30ca4347812d05bfbe110b134bb758870","interlingual marker table and interlinear scaffold support","Interlinear rows are semi-constructed support, not a bridge/pilot surface."
"authority-boundary","preserve noncanonical/no-review/no-approval/no-completion labels in every owner lane","8F7D-STANDARD-07","source-use/provenance/gap/draft-noncanonical","8f7d1cb30ca4347812d05bfbe110b134bb758870","review, approval, license, gate, finality, and completion boundaries","No review/approval/license/gate/final/source-certification/completion claim."
"do-not-use/adverse","block inheritance or promotion","POSTPUSH-DNU-AR-FA","active boundary","8f7d1cb30ca4347812d05bfbe110b134bb758870","Do not use Arabic rows as Persian/Farsi evidence.","manager directives plus standardization do-not-use/source-use ledgers"
"do-not-use/adverse","block inheritance or promotion","POSTPUSH-DNU-FA-AR","active boundary","8f7d1cb30ca4347812d05bfbe110b134bb758870","Do not use fa_IR rows as Arabic evidence.","manager directives plus standardization do-not-use/source-use ledgers"
"do-not-use/adverse","block inheritance or promotion","POSTPUSH-DNU-FA-PRS-TG","active boundary","8f7d1cb30ca4347812d05bfbe110b134bb758870","Do not use fa_IR rows as Dari/Tajik evidence.","manager directives plus standardization do-not-use/source-use ledgers"
"do-not-use/adverse","block inheritance or promotion","POSTPUSH-DNU-UR-HIND","active boundary","8f7d1cb30ca4347812d05bfbe110b134bb758870","Do not use Urdu rows as Hindustani/Hindi evidence.","manager directives plus standardization do-not-use/source-use ledgers"
"do-not-use/adverse","block inheritance or promotion","POSTPUSH-DNU-OTA-PAN-TURKIC","active boundary","8f7d1cb30ca4347812d05bfbe110b134bb758870","Do not use Ottoman/Turkic provenance leads as Pan-Turkic witness bodies.","manager directives plus standardization do-not-use/source-use ledgers"
"do-not-use/adverse","block inheritance or promotion","POSTPUSH-DNU-DRAFT-WITNESS","active boundary","8f7d1cb30ca4347812d05bfbe110b134bb758870","Do not use generated drafts as native witness, accepted terminology, or review.","manager directives plus standardization do-not-use/source-use ledgers"
