"source_title","local_or_remote_path","bytes","access_license_signal","source_type","authority_gate","language_gate","next_action","witness_id","branch_floor","sha256","source_use_label"
"لکیری_الجبرا","source-bodies\ur_Arab\UR-WB-LA-000_main_ur_wikibooks_linear_algebra_raw.wikitext","996","Urdu Wikibooks/MediaWiki public page; likely wiki license context; no license-clearance claim","MediaWiki raw wikitext source-body candidate","source-body-present when body/hash present; draft/noncanonical only","ur_Arab","extract exact contexts; keep Urdu/Hindustani separate from Arabic/Persian; seek additional university/open-course PDF witnesses","UR-WB-LA-000","8f7d1cb30ca4347812d05bfbe110b134bb758870","f026efe306d9e5759c6605682664714e94a812c74595e93a4bbc5b7864ae46f6","Urdu-script mathematical source-body candidate; source-acquisition/support only; not Arabic/Persian authorization"
"لکیری_الجبرا/باب_1","source-bodies\ur_Arab\UR-WB-LA-001_bab1_ur_wikibooks_linear_algebra_raw.wikitext","15007","Urdu Wikibooks/MediaWiki public page; likely wiki license context; no license-clearance claim","MediaWiki raw wikitext source-body candidate","source-body-present when body/hash present; draft/noncanonical only","ur_Arab","extract exact contexts; keep Urdu/Hindustani separate from Arabic/Persian; seek additional university/open-course PDF witnesses","UR-WB-LA-001","8f7d1cb30ca4347812d05bfbe110b134bb758870","6986ffa44e1b11c69642bc31a2b4fa3a9f5ad89ab8e66f08ea9e66cec6cbfbdb","Urdu-script mathematical source-body candidate; source-acquisition/support only; not Arabic/Persian authorization"
"لکیری_الجبرا/باب_2","source-bodies\ur_Arab\UR-WB-LA-002_bab2_ur_wikibooks_linear_algebra_raw.wikitext","27043","Urdu Wikibooks/MediaWiki public page; likely wiki license context; no license-clearance claim","MediaWiki raw wikitext source-body candidate","source-body-present when body/hash present; draft/noncanonical only","ur_Arab","extract exact contexts; keep Urdu/Hindustani separate from Arabic/Persian; seek additional university/open-course PDF witnesses","UR-WB-LA-002","8f7d1cb30ca4347812d05bfbe110b134bb758870","7f159a655be44f4ac555a322a3e0fffd9a4456f090a0dd554dec791b4cff9237","Urdu-script mathematical source-body candidate; source-acquisition/support only; not Arabic/Persian authorization"
"لکیری_الجبرا/باب_3","source-bodies\ur_Arab\UR-WB-LA-003_bab3_ur_wikibooks_linear_algebra_raw.wikitext","9159","Urdu Wikibooks/MediaWiki public page; likely wiki license context; no license-clearance claim","MediaWiki raw wikitext source-body candidate","source-body-present when body/hash present; draft/noncanonical only","ur_Arab","extract exact contexts; keep Urdu/Hindustani separate from Arabic/Persian; seek additional university/open-course PDF witnesses","UR-WB-LA-003","8f7d1cb30ca4347812d05bfbe110b134bb758870","ea5e7f629cc1d07d5b70be5c7fd29b4a17d19a53dbc152239b178b4f44ed0ff6","Urdu-script mathematical source-body candidate; source-acquisition/support only; not Arabic/Persian authorization"
"لکیری_الجبرا/باب_4","source-bodies\ur_Arab\UR-WB-LA-004_bab4_ur_wikibooks_linear_algebra_raw.wikitext","31701","Urdu Wikibooks/MediaWiki public page; likely wiki license context; no license-clearance claim","MediaWiki raw wikitext source-body candidate","source-body-present when body/hash present; draft/noncanonical only","ur_Arab","extract exact contexts; keep Urdu/Hindustani separate from Arabic/Persian; seek additional university/open-course PDF witnesses","UR-WB-LA-004","8f7d1cb30ca4347812d05bfbe110b134bb758870","eccee2ed8693a2e60e0890053f65b2766ca677bff1cd822e9783cd8293e27d42","Urdu-script mathematical source-body candidate; source-acquisition/support only; not Arabic/Persian authorization"
"لکیری_الجبرا/باب_5","source-bodies\ur_Arab\UR-WB-LA-005_bab5_ur_wikibooks_linear_algebra_raw.wikitext","16543","Urdu Wikibooks/MediaWiki public page; likely wiki license context; no license-clearance claim","MediaWiki raw wikitext source-body candidate","source-body-present when body/hash present; draft/noncanonical only","ur_Arab","extract exact contexts; keep Urdu/Hindustani separate from Arabic/Persian; seek additional university/open-course PDF witnesses","UR-WB-LA-005","8f7d1cb30ca4347812d05bfbe110b134bb758870","8806f2b3e8f7e6d4f10517a4449e8cc5c1b0fa0a265a4c1abb3bc43fed5ee4b9","Urdu-script mathematical source-body candidate; source-acquisition/support only; not Arabic/Persian authorization"
"لکیری_الجبرا/باب_6","source-bodies\ur_Arab\UR-WB-LA-006_bab6_ur_wikibooks_linear_algebra_raw.wikitext","11061","Urdu Wikibooks/MediaWiki public page; likely wiki license context; no license-clearance claim","MediaWiki raw wikitext source-body candidate","source-body-present when body/hash present; draft/noncanonical only","ur_Arab","extract exact contexts; keep Urdu/Hindustani separate from Arabic/Persian; seek additional university/open-course PDF witnesses","UR-WB-LA-006","8f7d1cb30ca4347812d05bfbe110b134bb758870","21c66b2a3832303cd1c6cbd379526995a48ddb00c2e0439ee831f31f8360e207","Urdu-script mathematical source-body candidate; source-acquisition/support only; not Arabic/Persian authorization"
"لکیری_الجبرا/باب_7","source-bodies\ur_Arab\UR-WB-LA-007_bab7_ur_wikibooks_linear_algebra_raw.wikitext","17521","Urdu Wikibooks/MediaWiki public page; likely wiki license context; no license-clearance claim","MediaWiki raw wikitext source-body candidate","source-body-present when body/hash present; draft/noncanonical only","ur_Arab","extract exact contexts; keep Urdu/Hindustani separate from Arabic/Persian; seek additional university/open-course PDF witnesses","UR-WB-LA-007","8f7d1cb30ca4347812d05bfbe110b134bb758870","7dcbd4e6d434d7c51208f1411e66361b7571a31e11d79ba5997863322e3961d5","Urdu-script mathematical source-body candidate; source-acquisition/support only; not Arabic/Persian authorization"
"لکیری_الجبرا/باب_8","source-bodies\ur_Arab\UR-WB-LA-008_bab8_ur_wikibooks_linear_algebra_raw.wikitext","20447","Urdu Wikibooks/MediaWiki public page; likely wiki license context; no license-clearance claim","MediaWiki raw wikitext source-body candidate","source-body-present when body/hash present; draft/noncanonical only","ur_Arab","extract exact contexts; keep Urdu/Hindustani separate from Arabic/Persian; seek additional university/open-course PDF witnesses","UR-WB-LA-008","8f7d1cb30ca4347812d05bfbe110b134bb758870","8816e9349b30a7d415452a1731783f333e8cf73dea6b5e850d9ce8591fba1f6d","Urdu-script mathematical source-body candidate; source-acquisition/support only; not Arabic/Persian authorization"
"Takiyuddin'in Cebir Risalesi DergiPark PDF","source-bodies\ota_Arab\OTA-CEBIR-003_DergiPark_Takiyuddin_Cebir_Risalesi.pdf","11264217","public web/PDF access signal; no license-clearance claim","PDF provenance lead","source-body-present when body/hash present; draft/noncanonical only","ota_Arab","trace manuscript image/call-number source body for Cebir/Ilm-i Cebir/Hesab Tahlili; keep Pan-Turkic separate","OTA-CEBIR-003","8f7d1cb30ca4347812d05bfbe110b134bb758870","a6a1b0e09ec00894c136376686a8545c8e9248a5776d8fc536affc2532fb4f3a","Ottoman/Turkic RTL-adjacent provenance lead; not literal Ottoman Arabic-script mathematical source body"
