"status","next_action","blocker_id","source_basis","language_gate","branch_floor","blocker_or_gap"
"improved source-body recovery; blocker narrowed","Search/capture Urdu university course PDFs, lecture notes, or source archives; keep Urdu separate from Arabic/Persian.","CYCLE3-UR-STRONG-PDF-001","postpush blocker/recovery row","ur_Arab","8f7d1cb30ca4347812d05bfbe110b134bb758870","Urdu Wikibooks raw wikitext is captured as mathematical source-body candidate, but additional university/open-course proof/lecture PDF witnesses are still needed."
"provenance improved; literal source body still blocked","Trace manuscript images/call numbers for Cebir/Ilm-i Cebir/Hesab Tahlili and capture literal Ottoman-script body if accessible.","CYCLE3-OTA-LITERAL-001","postpush blocker/recovery row","ota_Arab","8f7d1cb30ca4347812d05bfbe110b134bb758870","Captured DergiPark/Belleten leads are modern article/provenance carriers, not literal Ottoman Arabic-script mathematical source bodies."
"not authorized by fa_IR","Acquire independent prs_AF and tg_Cyrl_TJ source witnesses before draft row support.","POSTPUSH-DARI-TAJIK-001","postpush blocker/recovery row","prs_AF;tg_Cyrl_TJ","8f7d1cb30ca4347812d05bfbe110b134bb758870","No independent Dari/Tajik source-gated rows are promoted by this packet."
"suppressed","Use local heartbeat/logbook/artifacts and B3 packaging.","POSTPUSH-GITHUB-ISSUE-002","postpush blocker/recovery row","management","8f7d1cb30ca4347812d05bfbe110b134bb758870","GitHub issue #2 is not a management channel."
"open","Search Pakistani/Urdu university course pages, OER repositories, and PDF lecture notes for linear algebra, eigenvalue, matrix, vector-space terms.","C4-UR-PDF-001","cycle4 blocker/recovery row","ur_Arab","8f7d1cb30ca4347812d05bfbe110b134bb758870","Urdu Wikibooks bodies are captured, but independent university/open-course PDF or TeX witnesses remain missing."
"draft-only","Route to Urdu/Hindustani owner only after independent gate; keep Hindustani separate.","C4-UR-REGISTER-001","cycle4 blocker/recovery row","ur_Arab","8f7d1cb30ca4347812d05bfbe110b134bb758870","Urdu target renderings are generated-draft scaffolds from captured source contexts, not accepted terminology."
"open","Trace Cebir Risalesi, Usul-i Cebir/Zeyl-i Usul-i Cebir, and Hesab-i Tahlili call numbers/scans.","C4-OTA-LITERAL-001","cycle4 blocker/recovery row","ota_Arab","8f7d1cb30ca4347812d05bfbe110b134bb758870","Current Ottoman/Turkic leads are modern Turkish articles, PDFs, and catalog/provenance signals, not literal Ottoman Arabic-script source bodies."
"blocked","Keep Ottoman rows in source-canon/provenance recovery until literal source-body gate closes.","C4-OTA-DRAFT-STOP-001","cycle4 blocker/recovery row","ota_Arab","8f7d1cb30ca4347812d05bfbe110b134bb758870","No Ottoman generated target renderings are authorized in this increment."
"active","Require independent source-gated rows and review routing for each gate.","C4-GATE-BOUNDARY-001","cycle4 blocker/recovery row","all","8f7d1cb30ca4347812d05bfbe110b134bb758870","Arabic/fa_IR/prs_AF/tg_Cyrl_TJ/ur_Arab/ota_Arab/ug_Arab evidence remains gate-separated."
"remote advanced beyond requested floor","B3 should package this as exact 8f7 replay, or request another replay if the current remote head is required.","EXACT8F7-REMOTE-ADVANCE-001","git cat-file/ls-tree exact commit check","B3 packaging","8f7d1cb30ca4347812d05bfbe110b134bb758870","Exact replay is keyed to commit 8f7d1cb30ca4347812d05bfbe110b134bb758870; observed origin/codex/noether-pc-20260629 is 96325ddac3afcd358fba7ea69a4689f908df7f15."
