band,chapter,rel_path,bytes,lines,grade,score,math_envs,inline_math,proper_math_cmds,theorem_envs,textasciicircum,broken_spaces,allcaps_sections,raw_prose_ratio,has_documentclass,has_end_doc,flags
16_Gauss_Werke_Band02,gauss_b02_ch1,16_Gauss_Werke_Band02/gauss_b02_ch1.tex,61873,913,A,102,0,871,1028,4,0,0,2,0.042,True,True,GOOD_MATH|HAS_THEOREMS
16_Gauss_Werke_Band02,gauss_b02_ch10,16_Gauss_Werke_Band02/gauss_b02_ch10.tex,12525,487,A,84,0,36,49,0,0,5,0,0.0,True,True,GOOD_MATH
16_Gauss_Werke_Band02,gauss_b02_ch11,16_Gauss_Werke_Band02/gauss_b02_ch11.tex,52166,1010,A,78,0,534,284,0,0,12,0,0.008,True,True,GOOD_MATH
16_Gauss_Werke_Band02,gauss_b02_ch2,16_Gauss_Werke_Band02/gauss_b02_ch2.tex,37901,576,A,111,0,892,597,5,0,0,0,0.099,True,True,GOOD_MATH|HAS_THEOREMS
16_Gauss_Werke_Band02,gauss_b02_ch3,16_Gauss_Werke_Band02/gauss_b02_ch3.tex,39175,500,A,70,0,772,232,0,0,15,0,0.115,True,True,GOOD_MATH
16_Gauss_Werke_Band02,gauss_b02_ch4,16_Gauss_Werke_Band02/gauss_b02_ch4.tex,43350,455,A,79,0,541,175,0,0,0,0,0.228,True,True,GOOD_MATH
16_Gauss_Werke_Band02,gauss_b02_ch5,16_Gauss_Werke_Band02/gauss_b02_ch5.tex,93553,1281,A,87,0,1439,553,0,0,0,0,0.073,True,True,GOOD_MATH
16_Gauss_Werke_Band02,gauss_b02_ch6,16_Gauss_Werke_Band02/gauss_b02_ch6.tex,88962,1499,A,87,0,1120,1167,0,0,0,0,0.07,True,True,GOOD_MATH
16_Gauss_Werke_Band02,gauss_b02_ch7,16_Gauss_Werke_Band02/gauss_b02_ch7.tex,55432,1301,A,88,0,926,638,0,0,0,0,0.054,True,True,GOOD_MATH
16_Gauss_Werke_Band02,gauss_b02_ch8,16_Gauss_Werke_Band02/gauss_b02_ch8.tex,49565,943,A,87,0,848,502,0,0,0,0,0.068,True,True,GOOD_MATH
16_Gauss_Werke_Band02,gauss_b02_ch9,16_Gauss_Werke_Band02/gauss_b02_ch9.tex,56049,1495,D,-38,0,115,130,0,0,128,0,0.006,True,True,OCR_SPACING|GOOD_MATH
17_Gauss_Werke_Band03,gauss_b03_ch1,17_Gauss_Werke_Band03/gauss_b03_ch1.tex,70115,383,A,95,0,909,325,0,0,0,0,0.159,True,True,GOOD_MATH|MULTILINGUAL
17_Gauss_Werke_Band03,gauss_b03_ch10,17_Gauss_Werke_Band03/gauss_b03_ch10.tex,74479,2124,A,90,0,265,1662,0,0,0,0,0.009,True,True,GOOD_MATH
17_Gauss_Werke_Band03,gauss_b03_ch11,17_Gauss_Werke_Band03/gauss_b03_ch11.tex,44740,857,A,89,0,140,207,0,0,0,0,0.029,True,True,GOOD_MATH
17_Gauss_Werke_Band03,gauss_b03_ch2,17_Gauss_Werke_Band03/gauss_b03_ch2.tex,89418,1612,A,86,0,965,678,0,0,0,0,0.087,True,True,GOOD_MATH
17_Gauss_Werke_Band03,gauss_b03_ch3,17_Gauss_Werke_Band03/gauss_b03_ch3.tex,46478,696,A,88,0,366,943,0,0,0,0,0.056,True,True,GOOD_MATH
17_Gauss_Werke_Band03,gauss_b03_ch4,17_Gauss_Werke_Band03/gauss_b03_ch4.tex,105255,1562,A,89,40,1431,1815,0,0,0,0,0.03,True,True,GOOD_MATH
17_Gauss_Werke_Band03,gauss_b03_ch5,17_Gauss_Werke_Band03/gauss_b03_ch5.tex,48300,1046,A,84,0,378,797,0,0,0,2,0.004,True,True,GOOD_MATH
17_Gauss_Werke_Band03,gauss_b03_ch6,17_Gauss_Werke_Band03/gauss_b03_ch6.tex,70716,1382,A,77,0,633,396,0,0,13,0,0.004,True,True,GOOD_MATH
17_Gauss_Werke_Band03,gauss_b03_ch7,17_Gauss_Werke_Band03/gauss_b03_ch7.tex,49963,837,A,93,3,587,874,3,0,2,2,0.093,True,True,GOOD_MATH|HAS_THEOREMS
