paper,old_chars,new_chars,old_tokens,new_tokens,similarity,delta_band,diff_hunks,inserted_tokens,deleted_tokens,replaced_old_tokens,replaced_new_tokens,equal_tokens,old_normalized_sha256,new_normalized_sha256,translation_sync_status
1,7924,7925,1656,1659,0.99728507,small-delta,4,1,0,3,5,1653,96642425555f443ce7fba3b12b44612124483c9c98a24942ded9f07f215bbb9d,f21e00134a5520b85f545e57e59b9988dd3d558bd098921a53e5e2f6f5b208d8,review-and-propagation-required
2,143874,143874,49335,49336,0.99996960,small-delta,2,1,0,1,1,49334,233d1d2bdd3539c06766ef4a6c43ddf5381f65fdc288ffd68b6cbc1aaf2a23cb,116d39c08933b46d6b6a7fcba6d1bc7aae8902010956d4cd216c1c53d50de021,review-and-propagation-required
3,8072,8093,1689,1698,0.99734278,small-delta,6,9,0,0,0,1689,8a8b117d27cf7cb6e763bc73738979eb97f32e42684360414b73a12bc8af6375,32a84492eb887a4df55db02cfa19b59adaceee3d960e94c418a33411ffcd2649,review-and-propagation-required
4,99648,99648,29570,29570,1.00000000,normalized-identical,0,0,0,0,0,29570,7b67d4f6f92d63f062cc2288b2b75c17a81262b0c4f94bbf6e93f2b70bc4cfcf,7b67d4f6f92d63f062cc2288b2b75c17a81262b0c4f94bbf6e93f2b70bc4cfcf,source-identical-no-delta-detected
5,7961,7961,1347,1347,1.00000000,normalized-identical,0,0,0,0,0,1347,b1e60b977a9cb6ddeabc3f1651072c8ce44a832db6e5120c966ae5949bddd5b3,b1e60b977a9cb6ddeabc3f1651072c8ce44a832db6e5120c966ae5949bddd5b3,source-identical-no-delta-detected
6,92162,92162,24654,24654,1.00000000,normalized-identical,0,0,0,0,0,24654,bf02853e324f47327ee1db19afe388bb51bb9a7dbe75f6bc183e53a6b87aa565,bf02853e324f47327ee1db19afe388bb51bb9a7dbe75f6bc183e53a6b87aa565,source-identical-no-delta-detected
7,8264,8264,2223,2223,1.00000000,normalized-identical,0,0,0,0,0,2223,cb9287c69b928735b9346ed56a89ec7e4c3a127121270d20ea1186495e193c58,cb9287c69b928735b9346ed56a89ec7e4c3a127121270d20ea1186495e193c58,source-identical-no-delta-detected
8,24739,24739,6806,6806,1.00000000,normalized-identical,0,0,0,0,0,6806,af4646fe433afa1d71196fc7672cf8c0ed898498fcd2720b704b5da7fd9abfd4,af4646fe433afa1d71196fc7672cf8c0ed898498fcd2720b704b5da7fd9abfd4,source-identical-no-delta-detected
9,76481,76485,17714,17715,0.99997177,small-delta,1,1,0,0,0,17714,f35f81d4d9b7117708b1eb6c4f738de6bcaafee278e05169c811e8642e3536ae,0357af1e3118874681173abf464f976abfd41570c598bf06a03d11a5fb1b5c6b,review-and-propagation-required
10,27650,27650,6989,6989,0.99985692,small-delta,1,0,0,1,1,6988,51645305ba294fc122874f89093b3238c06393d492ba31a2b0d3e1d536973c4e,c6a0121e539ce6ccf9dc7658458dab18177ae0ff9a99c237e77716893d271275,review-and-propagation-required
11,25196,25196,6113,6113,1.00000000,normalized-identical,0,0,0,0,0,6113,74f79e80046c72c20398b62d289f95051b1ceeed6e97e3e1f29bd4d0418c8c39,74f79e80046c72c20398b62d289f95051b1ceeed6e97e3e1f29bd4d0418c8c39,source-identical-no-delta-detected
12,18260,18260,4423,4423,1.00000000,normalized-identical,0,0,0,0,0,4423,fc0722ff6d995ed5ac0f99bcd1f7f81a56cb7def22701011a4d45ad939fcd3ea,fc0722ff6d995ed5ac0f99bcd1f7f81a56cb7def22701011a4d45ad939fcd3ea,source-identical-no-delta-detected
13,56736,56886,14450,14463,0.99484661,moderate-delta,91,60,48,20,21,14382,a8de0f4b98442aa0b873ff239885b5588e94eba816b832bb89ca9ca51ff1ed11,e7407ffe17ed7dc76a4c40f1a10406e02cb2ea7aff42c8663246e65b14b8036c,review-and-propagation-required
14,62727,62723,12795,12798,0.99933576,small-delta,7,5,2,5,5,12788,7f6e3704c6508730a08e36f1303e41606f4e2832e2cf641715ad7cc134129b34,f683b8254bb7dbfbe11392f889ce274e7b27f26033fbdcb3d6a2b8a7e3318c90,review-and-propagation-required
15,44842,45464,12323,12433,0.98925513,moderate-delta,141,122,14,64,66,12245,a8f69ee032c6306bd78c88e608ca2fb40d0a1ca0efd5450ba077e48949fd0c15,052f411b47dc7e7753512bb8353a0aee4a8eca9ed56842d6adbed0263a905749,review-and-propagation-required
16,16231,16231,4388,4388,1.00000000,normalized-identical,0,0,0,0,0,4388,22e3c37ef6a2566439b71eff84eb9ccd4ba57eed884806f611281c84acdd216d,22e3c37ef6a2566439b71eff84eb9ccd4ba57eed884806f611281c84acdd216d,source-identical-no-delta-detected
17,92392,92387,23123,23122,0.99997838,small-delta,1,0,1,0,0,23122,d63dbaed0ac9a6d9088076a67e923d00e0a68d0443c0e782a9df313b26184384,9cad58d0736f59724ee26819e4e003779b1641d466a990c937037caa80d9b639,review-and-propagation-required
18,2345,2345,531,531,1.00000000,normalized-identical,0,0,0,0,0,531,600412d53fde90c5b08c27298a28966d8a340d9f8ea030a4b37a1969d825dc4a,600412d53fde90c5b08c27298a28966d8a340d9f8ea030a4b37a1969d825dc4a,source-identical-no-delta-detected
19,129413,129344,30237,30280,0.99489400,moderate-delta,128,89,40,93,87,30104,b06a918ceec61499b2d5957ea185e884f35811165a7a52b701d7a1fbd7e3d0c3,53fba64adfd52811af5d3aab6dc3b1a4fb92c08fdabd42be600c6156a513a9ec,review-and-propagation-required
20,20514,20793,5590,5734,0.96043801,large-delta,109,143,69,83,153,5438,ed4ff7819b7fe13e902dff7286c8a781103830f3add3cc477f446177c5915c66,81ce8a027229cef7b7e5b97212270929d4169da22f20a4d0f48197c3869eeed6,review-and-propagation-required
21,9757,9757,2318,2318,1.00000000,normalized-identical,0,0,0,0,0,2318,aabe58368396414646aedd9107a485284cde284301ee96a4f47b780466f2f49e,aabe58368396414646aedd9107a485284cde284301ee96a4f47b780466f2f49e,source-identical-no-delta-detected
22,78928,78928,23035,23035,1.00000000,normalized-identical,0,0,0,0,0,23035,66cfa106e2c78f75709dd0258bb504c830cf3108ab333bf2f11fc5f20ff5fe2b,66cfa106e2c78f75709dd0258bb504c830cf3108ab333bf2f11fc5f20ff5fe2b,source-identical-no-delta-detected
23,22118,22118,4684,4684,1.00000000,normalized-identical,0,0,0,0,0,4684,fb79a1dcc462078a8e2aa5513010be5613bf3de185be89c79259694acef5c5f8,fb79a1dcc462078a8e2aa5513010be5613bf3de185be89c79259694acef5c5f8,source-identical-no-delta-detected
24,96507,96622,24142,24240,0.99578356,small-delta,102,90,2,51,61,24089,6dfe21b3687c961932c276997c55942cd384c88397c220f22dd56d7749ae66db,86afbe0b66ff1615fed492fd99cc4b9d391609224e59c669ca3a16e929f30511,review-and-propagation-required
25,12934,12934,2765,2765,1.00000000,normalized-identical,0,0,0,0,0,2765,bae3854163565abffc2b29d32e8e2919b3dea0167b2e8f1ddd618a620bc000d2,bae3854163565abffc2b29d32e8e2919b3dea0167b2e8f1ddd618a620bc000d2,source-identical-no-delta-detected
26,990,981,173,170,0.99125364,moderate-delta,2,0,3,0,0,170,4b9744cec108ce7dc6c0d88353862326820d654c5d544e7ca5989684caeedafa,9ec1556cd294c5ac8270b00ad84f770f0fa73ae42d3f5c41836c944ffe305284,review-and-propagation-required
