concept,form,source_path,source_label,method,window
Artinian,آرتيني,extracted-ocr-witnesses/20260705T061900Z_arabic_damascus_specialist_ring_matrix_probe/downloads/damascus_cayley_hamilton_pdf.first5.txt,OCR-witness,direct_text, الحلقه‪ ،‬وانما محققه علي حلقه التموضع‪ ،‬حلقه‬ ‫االعداد الصحيحه ‪ Z‬ليست حلقه ارتينيه‪ ،‬ولكن حلقه التموضع لها عند مجموعه‬  ‫مغلقه ضربيا }‪ ،S = Z\{0‬تكون حلقه ارتي
Artinian,آرتيني,extracted-ocr-witnesses/20260705T061900Z_arabic_damascus_specialist_ring_matrix_probe/downloads/damascus_prufer_ring_pdf.first5.txt,OCR-witness,direct_text,رهنه (‪ ،)8.3‬وهو‬  ‫تعميم لكون الحلقه االرتينيه تكتب كجداء ديكارتي منته لحلقات ارتينيه محليه‪ ،‬ومن ثم كتابه‬ ‫الحلقه الحسابيه والنوثريه كجداء ديكارتي منته لحلقات حس
Artinian,آرتيني,extracted-ocr-witnesses/20260705T070300Z_arabic_fezzan_shamra_matrix_invariant_probe/downloads/fezzan_matrix_pdf.first5.txt,OCR-witness,direct_text,الوحدات و ‬  ‫‪.1‬المصفوفه الدائريه المعرفه علي ضرب كرونكر‪ :‬حلقه نوثريه وليست ارتينيه‬  ‫ضرب كرونكر يوسع ابعاد المصفوفه‪ ،‬ويضيف تك اررات منظمه من العناصر؛ حيث تزدا
Artinian,آرتيني,extracted-ocr-witnesses/20260705T113500Z_arabic_homomorphism_isomorphism_probe/downloads/damascus_module_representation_pdf.textcheck.txt,OCR-witness,direct_text,ما‪ ،‬و ‬ ‫تمثيل‬ ‫تمثيل جزئي من‬ ‫ان كل تمثيل خزول تماما‬ ‫‬ ‫‬ ‫مباشر‬ ‫مودول ارتيني( يحقق الشرط االصغري) يكتب عمي شكل مجموع‬ ‫معرفا عمي‬ ‫‬  ‫تاريخ االيداع‪2022/02
Artinian,آرتيني,extracted-ocr-witnesses/20260705T140400Z_arabic_artinian_noetherian_chain_probe/downloads/syriamath_structures3_noetherian_artinian_modules.textcheck.txt,OCR-witness,direct_text,لمحاضره‬  ‫المودوالت النوثريه واالرتينيه‬ ‫تعريف ‪ :‬لتكن‬ ‫نوثري‬ ‫فانه يوجد‬ ‫ارتيني‬ ‫فانه يوجد‬  ‫مودول علي‬  ‫عندئذ ‪:‬‬ ‫تنقطع اي‪:‬‬  ‫الجل كل سلسله متزايده من
algebra,جبر,extracted-ocr-witnesses/20260705T035500Z_arabic_official_pdf_probe/downloads/damascus_algebraic_structures_2_ring_theory.first5.txt,OCR-witness,direct_text,      ‫البني الجبريه (‪)2‬‬     ‫‪ -‬نظريه الحلقات ‪-‬‬         ‫السنه الثانيه‬       ‫القسم‪ :‬ال
algebra,جبر,extracted-ocr-witnesses/20260705T035500Z_arabic_official_pdf_probe/downloads/ksu_group_theory_course_spec.first5.txt,OCR-witness,direct_text,hese algebraic structures.‬‬                     ‫ان يعطي امثله علي التركيبات الجبريه‪.‬‬    ‫‪Differentiate between abelian and non-‬‬          ‫ان يميز بين الزمر
algebra,جبر,extracted-ocr-witnesses/20260705T051200Z_arabic_abstract_algebra_module_probe/downloads/mustansiriyah_abstract_algebra_principles.first5.txt,OCR-witness,direct_text, في اختصاص التحليل‬ ‫التابعي من جامعه بيير وماري كوري في ابريس عام ‪.1990‬‬  ‫الجبر‬  ‫يدرس ادلكتور قواب الرايضيات في المعهد العالي للعلوم التطبيقيه والتكنولوجيا م
algebra,جبر,extracted-ocr-witnesses/20260705T051200Z_arabic_abstract_algebra_module_probe/downloads/syriamath_algebraic_structures_3_modules.first5.txt,OCR-witness,direct_text,‫البني الجبريه ‪3‬‬  ‫[‪]WWW.SYRIAMATH.NET‬‬  ‫◄ دكتوره املاده‪ :‬نور غازي‬ ‫عنوان احملاضره‪
algebra,جبر,extracted-ocr-witnesses/20260705T054700Z_arabic_hiast_algebra_shelf_probe/downloads/hiast_algebra_I_abstract_algebra.first5.txt,OCR-witness,direct_text, في اختصاص التحليل‬ ‫التابعي من جامعه بيير وماري كوري في ابريس عام ‪.1990‬‬  ‫الجبر‬  ‫يدرس ادلكتور قواب الرايضيات في المعهد العالي للعلوم التطبيقيه والتكنولوجيا م
automorphism,تماثل ذاتي,source-bodies/native-text/20260705T023000Z_arabic_mediawiki_source_text_probe/downloads/زمرة__رياضيات__oldid_75199155.wiki.txt,native-source-body,direct_text,مصفوفه (رياضيات)|المصفوفات]] التي لا تساوي [[محدد (رياضيات)|محدداتها]] الصفر و[[تماثل ذاتي|التماثلات الذاتيه]] للبني الجبريه المختلفه. تدرس الزمر في فرع من الرياضيات يدعي
basis,أساس,extracted-ocr-witnesses/20260705T061900Z_arabic_damascus_specialist_ring_matrix_probe/downloads/damascus_cayley_hamilton_pdf.first5.txt,OCR-witness,direct_text,"اطق ""‪ ،""Pruefer‬والحلقات الناظميه محليا‪ ،‬وحلقات التقييم‪ ،‬وتعاريف‬ ‫ومفاهيم اساسيه من الجبر التبادلي في الفقره االولي (المقدمه)‪ ،‬وفي الفقره الثانيه‬  ‫مبرهنه "
basis,أساس,extracted-ocr-witnesses/20260705T061900Z_arabic_damascus_specialist_ring_matrix_probe/downloads/damascus_prufer_ring_pdf.first5.txt,OCR-witness,direct_text,هو الحلقه الواحديه التبديليه ما لم يذكر خالف ذلك صراحه‪.‬‬ ‫‪ .1‬تعاريف ومفاهيم اساسيه في الجبر‪:‬‬  ‫‪ 1.1‬تعريف ([‪ :)]2[ ،]1‬لتكن R حلقه‪ ،‬وليكن R ∈ x نقول عن x
basis,أساس,extracted-ocr-witnesses/20260705T070300Z_arabic_fezzan_shamra_matrix_invariant_probe/downloads/fezzan_matrix_pdf.first5.txt,OCR-witness,direct_text,ضرب كرونكر يحافظ علي بعض الخصائص الهيكليه للمصفوفات؛ مما يجعل‬ ‫قويا لمزيد من‬ ‫اساسا ا‬ ‫هذه العمليه مفيده لتطبيقات متنوعه في الحوسبه والمعالجه الرقميه لالشارات‪ .
basis,أساس,extracted-ocr-witnesses/20260705T072800Z_arabic_hindawi_structured_text_probe/downloads/hindawi_numbers.fulltext.txt,OCR-witness,direct_text,ام ع  د يعتمد — علي سبيل املثال — علي العشرات‪ .‬اننا نفرض علي الاطفال مهمتني‬ ‫اساسيتني؛ هما حفظ الحروف الابجديه وتع  لم كيفيه العد‪ .‬هاتان العمليتان متشابهتان‬ ‫
basis,أساس,extracted-ocr-witnesses/20260705T072800Z_arabic_hindawi_structured_text_probe/downloads/hindawi_what_is_the_use.fulltext.txt,OCR-witness,direct_text, السؤالني‪ .‬ان الانسان العادي‬ ‫ ‬ ‫للتحقق من‬ ‫كان يستخدم العمليات الحسابيه الاساسيه طوال الوقت‪ ،‬حتي لو كان فقط‬ ‫قيمه الفواتري عند التسو ق‪ .‬فكان يحتاج النج  
bijective,تقابل,extracted-ocr-witnesses/20260705T051200Z_arabic_abstract_algebra_module_probe/downloads/uobasrah_crossed_modules_thesis_abstract_2010.first5.txt,OCR-witness,direct_text,بعض‬.(‫الموديولات المتصالبه للهياكل السلسليه كفصيله جزئيه منها ) وفقا للتشاكل التقابلي للفصائل‬ ‫ كذلك حصلنا علي زوج مترافق من المقرنات التغايريه بين‬٬‫الخصائص الاول
bijective,تقابل,extracted-ocr-witnesses/20260705T072800Z_arabic_hindawi_structured_text_probe/downloads/hindawi_numbers.fulltext.txt,OCR-witness,direct_text,يه الاخري( في قائمتك‪ .‬بعد ذلك ع د الي بدايه القائمه وارسم دائره حول‬ ‫اول عدد تقابله لم يشطب )والذي سيكون ‪ (3‬ثم اشطب كل مضاعفاته في بقيه القائمه‪.‬‬ ‫‬ ‫ومن خلال
bijective,تقابل,extracted-ocr-witnesses/20260705T072800Z_arabic_hindawi_structured_text_probe/downloads/hindawi_what_is_the_use.fulltext.txt,OCR-witness,direct_text,‬وهذا يعني ان النقاط القريبه جدا‬ ‫بعضها من بعض في فتره الوحده لا تحتاج الي ان تتقابل مع النقاط القريبه جدا بعضها‬ ‫من بعض في مربع الوحده‪.‬‬ ‫كانت افكار كانتور مثري
