concept,stratum,C2,ja_form,ja_hit_count,ja_file_count,ja_status,zh_hans_form,zh_hans_hit_count,zh_hans_file_count,zh_hans_status,ko_form,ko_hit_count,ko_file_count,ko_status,total_native_hit_count,cjk_lane_status,boundary,context_windows_json
Lie group,cjk_scaffold_only,no,リー群,2,1,native_sourcebody_attested,,0,0,no_scaffold_row,리 군,0,0,generated_scaffold_only_no_native_hit,2,ja:native_sourcebody_attested; ko:generated_scaffold_only_no_native_hit,native source-body candidate only; no native review or accepted terminology claim,"[{""concept"": ""Lie group"", ""lane"": ""japanese"", ""form"": ""リー群"", ""source_path"": ""source-files/japanese/rsato64__relativisticQM/app2.tex"", ""window"": "" ここでは、かならずこの形になることを行列の具体的な計算で示す。 佐藤がPhysics Stack Exchangeでも質問してみたところ、リー群、リー代数の定理を使った返答が返ってきた。 https://physics.stackexchange.com/questions/7112""}, {""concept"": ""Lie group"", ""lane"": ""japanese"", ""form"": ""リー群"", ""source_path"": ""source-files/japanese/rsato64__relativisticQM/app2.tex"", ""window"": ""om/questions/711278/non-hermitian-solution-for-su2-lie-algebra ただし、佐藤はリー群、リー代数の深い知識が無いのでちゃんと理解できていない。誰か教えてください...。 A_3 は、ある正則行列 P を用いて、ジョルダン標準形""}]"
Noether/Noetherian,cjk_scaffold_only,no,,0,0,no_scaffold_row,,0,0,no_scaffold_row,뇌터／Noetherian,0,0,generated_scaffold_only_no_native_hit,0,ko:generated_scaffold_only_no_native_hit,native source-body candidate only; no native review or accepted terminology claim,[]
Noetherian,cjk_scaffold_only,no,,0,0,no_scaffold_row,,0,0,no_scaffold_row,뇌터,0,0,generated_scaffold_only_no_native_hit,0,ko:generated_scaffold_only_no_native_hit,native source-body candidate only; no native review or accepted terminology claim,[]
Noetherian/Noether,cjk_scaffold_only,no,,0,0,no_scaffold_row,,0,0,no_scaffold_row,뇌터／Noetherian,0,0,generated_scaffold_only_no_native_hit,0,ko:generated_scaffold_only_no_native_hit,native source-body candidate only; no native review or accepted terminology claim,[]
absolutely complete system,noether_corpus,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
abstract algebra,cjk_scaffold_only,no,,0,0,no_scaffold_row,抽象代数,0,0,generated_scaffold_only_no_native_hit,추상대수학,0,0,generated_scaffold_only_no_native_hit,0,zh_hans:generated_scaffold_only_no_native_hit; ko:generated_scaffold_only_no_native_hit,native source-body candidate only; no native review or accepted terminology claim,[]
algebra,curriculum_algebra,yes,代数,81,13,native_sourcebody_attested,,0,0,no_scaffold_row,대수,15,6,native_sourcebody_attested,96,ja:native_sourcebody_attested; ko:native_sourcebody_attested,native source-body candidate only; no native review or accepted terminology claim,"[{""concept"": ""algebra"", ""lane"": ""japanese"", ""form"": ""代数"", ""source_path"": ""source-files/japanese/HideakiHosaka__2015_linear_algebra/20150415.tex"", ""window"": "" 複素数と代数学の基本定理 2015年4月15日 1限 はじめに ごあいさつ みなさん、はじめまして。この授業のTA (ティーチング・アシスタント)をする""}, {""concept"": ""algebra"", ""lane"": ""japanese"", ""form"": ""代数"", ""source_path"": ""source-files/japanese/HideakiHosaka__2015_linear_algebra/20150415.tex"", ""window"": ""118,67) x+yi picture 複素平面における数と点の対応 center figure 少し大げさに言うと、我々は「複素数という代数的なもの」と「平面という幾何的なもの」を対応付けました。このことには、非常に重要な意味があります。なぜなら 代数の観点と幾何の観点を行ったり""}]"
assumption,proof_grammar,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
automorphism,cjk_scaffold_only,no,自己同型,7,2,native_sourcebody_attested,自同构,19,3,native_sourcebody_attested,,0,0,no_scaffold_row,26,ja:native_sourcebody_attested; zh_hans:native_sourcebody_attested,native source-body candidate only; no native review or accepted terminology claim,"[{""concept"": ""automorphism"", ""lane"": ""japanese"", ""form"": ""自己同型"", ""source_path"": ""source-files/japanese/imamuray__algebraic-systems/ch02-group/ch02-group.tex"", ""window"": ""Z a, b Z , lcm(a, b) = l, gcd(a, b) = m a Z / l Z m Z / b Z exm frame 自己同型写像, 共役類 textExmCount 0 frame defn f G G: iso. f : G の 自己同型写像 または 自己同型 ""}, {""concept"": ""automorphism"", ""lane"": ""japanese"", ""form"": ""自己同型"", ""source_path"": ""source-files/japanese/imamuray__algebraic-systems/ch02-group/ch02-group.tex"", ""window"": ""Z exm frame 自己同型写像, 共役類 textExmCount 0 frame defn f G G: iso. f : G の 自己同型写像 または 自己同型 (automorphism) defn exm I_G G G : aut. exm thm f, g : aut.""}]"
basis,curriculum_algebra,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
basis theorem,cjk_scaffold_only,no,基底定理,0,0,generated_scaffold_only_no_native_hit,基定理,0,0,generated_scaffold_only_no_native_hit,,0,0,no_scaffold_row,0,ja:generated_scaffold_only_no_native_hit; zh_hans:generated_scaffold_only_no_native_hit,native source-body candidate only; no native review or accepted terminology claim,[]
binary form,noether_corpus,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
biquadratic form,noether_corpus,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
character,cjk_scaffold_only,no,指標,0,0,generated_scaffold_only_no_native_hit,特征标,0,0,generated_scaffold_only_no_native_hit,지표,1,1,native_sourcebody_attested,1,ja:generated_scaffold_only_no_native_hit; zh_hans:generated_scaffold_only_no_native_hit; ko:native_sourcebody_attested,native source-body candidate only; no native review or accepted terminology claim,"[{""concept"": ""character"", ""lane"": ""korean_addendum"", ""form"": ""지표"", ""source_path"": ""source-files/korean_addendum/gshstexsociety__examples/2015_Science_Research_Writing/2015_Science_Research_Writing.tex"", ""window"": ""appendices indices matrices vortices tabular & tabular [c] @ l@ 막창자꼬리 지표 자궁, 행렬 회오리 tabular tabular [c] @ l@ E -us -i tabular & tabular [c] @ ""}]"
coefficient,curriculum_algebra,yes,,0,0,no_scaffold_row,,0,0,no_scaffold_row,,0,0,no_scaffold_row,0,no_cjk_scaffold,native source-body candidate only; no native review or accepted terminology claim,[]
