"source_use_label","file_count","meaning"
"concrete-blockers","1","concrete blockers packaged with bodies"
"generated-draft-noncanonical","2","draft support only; target renderings remain owner-filled"
"logbook-excerpt","1","durable excerpt for transfer"
"owner-route-extracted-source-body","2","extracted from owner-route zip; not Session K approval"
"owner-route-source-archive","1","owner-route archive only; not Session K translation evidence"
"package-metadata","1","readme"
"review-only-infrastructure","71","template/support sidecar only; not reviewer return"
"review-template-generator","67","generator script included for reproducibility; not a source witness"
"source-witness-body","50","OpenLogic source body or project witness, not license clearance"
"source-witness-metadata","9","source metadata present; exact TeX body not captured in this cache"
