input_id,key,branch_path,bytes,sha256,row_count,source_use_label,boundary
faa2c330-input-001,r3_0d_micro,interlanguage-sidecar/rtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706/R3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z/R3_0D148231_SOURCE_GATED_MICRO_EVIDENCE_ROWS.csv,226718,86CCA1AC3A18ABD6BAD244BB47B1BCC00CBBD5F35CC7E4A061160108E43DBF62,148,branch-visible input; consume through sublane gate only,no authority merge; no review/approval claim
faa2c330-input-002,r3_0d_formula,interlanguage-sidecar/rtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706/R3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z/R3_0D148231_FORMULA_INTERLINEAR_NOTES.csv,186969,549B1D4D3FD9A3A6729F592432B7FF27EC131F9885D8D9235F66302318BB4585,148,branch-visible input; consume through sublane gate only,no authority merge; no review/approval claim
faa2c330-input-003,r3_0d_terms,interlanguage-sidecar/rtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706/R3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z/R3_0D148231_TERM_ALTERNATIVES_SOURCE_GATED.csv,34342,3D1D53EEC28DEE44C56DE74D058702C683D7437FEFC7C6760274F79FCF01FE40,30,branch-visible input; consume through sublane gate only,no authority merge; no review/approval claim
faa2c330-input-004,r3_0d_blockers,interlanguage-sidecar/rtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706/R3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z/R3_0D148231_CURRENT_HEAD_BLOCKERS_NEXT_ACTIONS.csv,1067,91E9BF74F2A4463A437354B78949EFFC25478B01CA4A0B2A10866C35602E2328,2,branch-visible input; consume through sublane gate only,no authority merge; no review/approval claim
faa2c330-input-005,r3_0d_boundaries,interlanguage-sidecar/rtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706/R3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z/R3_0D148231_REVIEW_ONLY_BOUNDARY_GUARDS.csv,2606,FAFEE313273A918B741506CE0C22AF9AEF1ACB9835BD1FFE144F118E87DD929B,6,branch-visible input; consume through sublane gate only,no authority merge; no review/approval claim
faa2c330-input-006,r3_0d_adverse,interlanguage-sidecar/rtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706/R3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z/R3_0D148231_SOURCE_USE_ADVERSE_LEDGER.csv,330553,87EC5F559FACEDF62E2035783D793BB8AAEDEDDFAB799C25B93368285B4B7061,162,branch-visible input; consume through sublane gate only,no authority merge; no review/approval claim
faa2c330-input-007,r3_0d_counts,interlanguage-sidecar/rtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706/R3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z/R3_0D148231_ROW_COUNT_LEDGER.csv,2146,519C388AB1EA5B5D08395907F78CE9AB8DD71A0331341D25D3FE85A480D5C149,9,branch-visible input; consume through sublane gate only,no authority merge; no review/approval claim
faa2c330-input-008,r3_1233_micro,interlanguage-sidecar/rtl-persianate-arabic-1233d6f-c33-current-head-source-gated-boundary-20260706/R3_1233D6F_C33_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T143733Z/R3_1233D6F_SOURCE_GATED_MICRO_EVIDENCE_ROWS.csv,226866,0415CC0992355D961BA3F31924CE1FF1518A983DC5603A39BC935D9876DEDC8B,148,branch-visible input; consume through sublane gate only,no authority merge; no review/approval claim
faa2c330-input-009,r3_1233_blockers,interlanguage-sidecar/rtl-persianate-arabic-1233d6f-c33-current-head-source-gated-boundary-20260706/R3_1233D6F_C33_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T143733Z/R3_1233D6F_CURRENT_HEAD_BLOCKERS_NEXT_ACTIONS.csv,1069,68CBCF7A4D9E44EF7161953DFA7B285942FC9A0654B96217A808372829F76146,2,branch-visible input; consume through sublane gate only,no authority merge; no review/approval claim
faa2c330-input-010,r6_1233_witness,uploader-transfer/r6-1233d6f-current-head-source-start-continuation-20260706/R6_1233D6F_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260706/witness-index/R6_1233D6F_SOURCE_WITNESS_INDEX_CARRYFORWARD.csv,250777,6BA68CDC6AE57369D5F26A8FBC773B486FDDDE684A019AEEAE16A8EFB2AE28A3,315,branch-visible input; consume through sublane gate only,no authority merge; no review/approval claim
faa2c330-input-011,r6_1233_mutual,uploader-transfer/r6-1233d6f-current-head-source-start-continuation-20260706/R6_1233D6F_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260706/mutual-watch/R6_1233D6F_MUTUAL_WATCH_OBSERVATION.csv,1652,BEF3A9EEBBD9423301530159D12C7DEBCDC519560C5910F0719CED348623208C,4,branch-visible input; consume through sublane gate only,no authority merge; no review/approval claim
