ledger_id,sublane,source_use_label,branch_weight_note,marginal_intelligibility_note,adverse_evidence_or_gap,do_not_use_note,boundary,output_label
faa2c330-fable-gate-001,fa_IR,source-use/provenance/gap generated-draft support only,positive only where independent source-gated fa_IR rows exist; zero for prs_AF/tg_Cyrl_TJ promotion,not scored as approval/native review,R3 0D/1233 source-gated boundary packets visible at FAA2,do not merge fa_IR/prs_AF/tg_Cyrl_TJ or convert R6/Old-B/B3 context into authority,strict sublane separation,"generated-draft/non-canonical/not-native-reviewed/source-use/gap; no native review, community consent, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
faa2c330-fable-gate-002,prs_AF,source-use/provenance/gap generated-draft support only,positive only where independent source-gated fa_IR rows exist; zero for prs_AF/tg_Cyrl_TJ promotion,not scored as approval/native review,R3 blockers state no new independent Dari authority,do not merge fa_IR/prs_AF/tg_Cyrl_TJ or convert R6/Old-B/B3 context into authority,strict sublane separation,"generated-draft/non-canonical/not-native-reviewed/source-use/gap; no native review, community consent, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
faa2c330-fable-gate-003,tg_Cyrl_TJ,source-use/provenance/gap generated-draft support only,positive only where independent source-gated fa_IR rows exist; zero for prs_AF/tg_Cyrl_TJ promotion,not scored as approval/native review,R3 blockers state no new independent Tajik authority; source-discovery carry-forward only,do not merge fa_IR/prs_AF/tg_Cyrl_TJ or convert R6/Old-B/B3 context into authority,strict sublane separation,"generated-draft/non-canonical/not-native-reviewed/source-use/gap; no native review, community consent, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
faa2c330-fable-gate-004,branch/B3,source-use/provenance/gap generated-draft support only,positive only where independent source-gated fa_IR rows exist; zero for prs_AF/tg_Cyrl_TJ promotion,not scored as approval/native review,B3 1C6 SHA ok=0/16; B3 0D SHA ok=0/48,do not merge fa_IR/prs_AF/tg_Cyrl_TJ or convert R6/Old-B/B3 context into authority,strict sublane separation,"generated-draft/non-canonical/not-native-reviewed/source-use/gap; no native review, community consent, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
faa2c330-fable-blocker-001,prs_AF/tg_Cyrl_TJ/adjacent as stated,cross-gate-blocker,blocked or source-owner-routed; no authority promotion,not applicable,branch packages R3 68C refresh plus R6/Old-B context,do not use branch adjacency to authorize Persian/Dari/Tajik rows,strict sublane separation,"generated-draft/non-canonical/not-native-reviewed/source-use/gap; no native review, community consent, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
faa2c330-fable-blocker-002,prs_AF/tg_Cyrl_TJ/adjacent as stated,adjacent-lane-boundary,blocked or source-owner-routed; no authority promotion,not applicable,c33 branch delta includes R6/Old-B audits and upload transfer rows,do not use branch adjacency to authorize Persian/Dari/Tajik rows,strict sublane separation,"generated-draft/non-canonical/not-native-reviewed/source-use/gap; no native review, community consent, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
faa2c330-fable-blocker-003,prs_AF/tg_Cyrl_TJ/adjacent as stated,cross-gate-blocker,blocked or source-owner-routed; no authority promotion,not applicable,branch packages R3 68C refresh plus R6/Old-B context,do not use branch adjacency to authorize Persian/Dari/Tajik rows,strict sublane separation,"generated-draft/non-canonical/not-native-reviewed/source-use/gap; no native review, community consent, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
faa2c330-fable-blocker-004,prs_AF/tg_Cyrl_TJ/adjacent as stated,adjacent-lane-boundary,blocked or source-owner-routed; no authority promotion,not applicable,c33 branch delta includes R6/Old-B audits and upload transfer rows,do not use branch adjacency to authorize Persian/Dari/Tajik rows,strict sublane separation,"generated-draft/non-canonical/not-native-reviewed/source-use/gap; no native review, community consent, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
faa2c330-fable-blocker-005,fa_IR,gap/recovery row,blocked or source-owner-routed; no authority promotion,not applicable,fa_IR rows remain generated-draft/noncanonical with manual/source-review boundaries; FAA2 makes branch-visible support but not approval,strict sublane separation,strict sublane separation,"generated-draft/non-canonical/not-native-reviewed/source-use/gap; no native review, community consent, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
faa2c330-fable-blocker-006,prs_AF,gap/recovery row,blocked or source-owner-routed; no authority promotion,not applicable,FAA2 branch blockers explicitly say no new independent Dari authority,strict sublane separation,strict sublane separation,"generated-draft/non-canonical/not-native-reviewed/source-use/gap; no native review, community consent, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
faa2c330-fable-blocker-007,tg_Cyrl_TJ,gap/recovery row,blocked or source-owner-routed; no authority promotion,not applicable,FAA2 adds no Tajik source-language promotion; original lane remains zero active term rows,strict sublane separation,strict sublane separation,"generated-draft/non-canonical/not-native-reviewed/source-use/gap; no native review, community consent, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
