delta_id,status,path,path_kind,prior_local_head,actual_fetched_head,source_use_label,boundary
faa2c330-delta-0001,A,interlanguage-sidecar/rtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706/R3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z/B3_UPLOADER_READY_SUMMARY.csv,r3_0d_source_gated_boundary,0d148231ec91503b4083a187a738ddaf3a0abeae,faa2c330deb886098750dafb5c500e244e1333fe,branch-visible provenance/source-use context only,consume only through fa_IR/prs_AF/tg_Cyrl_TJ gates; no cross-sublane authority
faa2c330-delta-0002,A,interlanguage-sidecar/rtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706/R3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z/DURABLE_STATE_POINTERS.csv,r3_0d_source_gated_boundary,0d148231ec91503b4083a187a738ddaf3a0abeae,faa2c330deb886098750dafb5c500e244e1333fe,branch-visible provenance/source-use context only,consume only through fa_IR/prs_AF/tg_Cyrl_TJ gates; no cross-sublane authority
faa2c330-delta-0003,A,interlanguage-sidecar/rtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706/R3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z/MANIFEST.csv,r3_0d_source_gated_boundary,0d148231ec91503b4083a187a738ddaf3a0abeae,faa2c330deb886098750dafb5c500e244e1333fe,branch-visible provenance/source-use context only,consume only through fa_IR/prs_AF/tg_Cyrl_TJ gates; no cross-sublane authority
faa2c330-delta-0004,A,interlanguage-sidecar/rtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706/R3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z/PACKAGE_VALIDATION.json,r3_0d_source_gated_boundary,0d148231ec91503b4083a187a738ddaf3a0abeae,faa2c330deb886098750dafb5c500e244e1333fe,branch-visible provenance/source-use context only,consume only through fa_IR/prs_AF/tg_Cyrl_TJ gates; no cross-sublane authority
faa2c330-delta-0005,A,interlanguage-sidecar/rtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706/R3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z/R3_0D148231_BLOCKERS_ACTIVE_RECOVERY_ROWS.csv,r3_0d_source_gated_boundary,0d148231ec91503b4083a187a738ddaf3a0abeae,faa2c330deb886098750dafb5c500e244e1333fe,branch-visible provenance/source-use context only,consume only through fa_IR/prs_AF/tg_Cyrl_TJ gates; no cross-sublane authority
faa2c330-delta-0006,A,interlanguage-sidecar/rtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706/R3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z/R3_0D148231_BRANCH_DELTA_FROM_1233.csv,r3_0d_source_gated_boundary,0d148231ec91503b4083a187a738ddaf3a0abeae,faa2c330deb886098750dafb5c500e244e1333fe,branch-visible provenance/source-use context only,consume only through fa_IR/prs_AF/tg_Cyrl_TJ gates; no cross-sublane authority
faa2c330-delta-0007,A,interlanguage-sidecar/rtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706/R3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z/R3_0D148231_BRANCH_VISIBILITY_AND_LOCAL_ONLY_LEDGER.csv,r3_0d_source_gated_boundary,0d148231ec91503b4083a187a738ddaf3a0abeae,faa2c330deb886098750dafb5c500e244e1333fe,branch-visible provenance/source-use context only,consume only through fa_IR/prs_AF/tg_Cyrl_TJ gates; no cross-sublane authority
faa2c330-delta-0008,A,interlanguage-sidecar/rtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706/R3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z/R3_0D148231_CURRENT_HEAD_BLOCKERS_NEXT_ACTIONS.csv,r3_0d_source_gated_boundary,0d148231ec91503b4083a187a738ddaf3a0abeae,faa2c330deb886098750dafb5c500e244e1333fe,branch-visible provenance/source-use context only,consume only through fa_IR/prs_AF/tg_Cyrl_TJ gates; no cross-sublane authority
faa2c330-delta-0009,A,interlanguage-sidecar/rtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706/R3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z/R3_0D148231_FORMULA_INTERLINEAR_NOTES.csv,r3_0d_source_gated_boundary,0d148231ec91503b4083a187a738ddaf3a0abeae,faa2c330deb886098750dafb5c500e244e1333fe,branch-visible provenance/source-use context only,consume only through fa_IR/prs_AF/tg_Cyrl_TJ gates; no cross-sublane authority
faa2c330-delta-0010,A,interlanguage-sidecar/rtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706/R3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z/R3_0D148231_REVIEW_ONLY_BOUNDARY_GUARDS.csv,r3_0d_source_gated_boundary,0d148231ec91503b4083a187a738ddaf3a0abeae,faa2c330deb886098750dafb5c500e244e1333fe,branch-visible provenance/source-use context only,consume only through fa_IR/prs_AF/tg_Cyrl_TJ gates; no cross-sublane authority
faa2c330-delta-0011,A,interlanguage-sidecar/rtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706/R3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z/R3_0D148231_ROW_COUNT_LEDGER.csv,r3_0d_source_gated_boundary,0d148231ec91503b4083a187a738ddaf3a0abeae,faa2c330deb886098750dafb5c500e244e1333fe,branch-visible provenance/source-use context only,consume only through fa_IR/prs_AF/tg_Cyrl_TJ gates; no cross-sublane authority
