ledger_id,sublane,source_use_label,branch_weight_note,marginal_intelligibility_note,adverse_evidence_or_gap,do_not_use_note,boundary,output_label
0d148231-fable-gate-001,fa_IR,provenance/gap/generated-draft support only,no new positive term-authority weight from Old-B audit; carry forward previous source-gated weights where applicable,not scored as review/approval,Old-B DE6C read-only audit/provenance only,do not merge fa_IR/prs_AF/tg_Cyrl_TJ or convert audit drift into source authority,strict sublane separation,"generated-draft/non-canonical/not-native-reviewed/source-use/gap; no native review, community consent, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
0d148231-fable-gate-002,prs_AF,provenance/gap/generated-draft support only,no new positive term-authority weight from Old-B audit; carry forward previous source-gated weights where applicable,not scored as review/approval,no independent Dari source authority in Old-B DE6C audit,do not merge fa_IR/prs_AF/tg_Cyrl_TJ or convert audit drift into source authority,strict sublane separation,"generated-draft/non-canonical/not-native-reviewed/source-use/gap; no native review, community consent, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
0d148231-fable-gate-003,tg_Cyrl_TJ,provenance/gap/generated-draft support only,no new positive term-authority weight from Old-B audit; carry forward previous source-gated weights where applicable,not scored as review/approval,no Tajik source-language promotion evidence in Old-B DE6C audit,do not merge fa_IR/prs_AF/tg_Cyrl_TJ or convert audit drift into source authority,strict sublane separation,"generated-draft/non-canonical/not-native-reviewed/source-use/gap; no native review, community consent, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
0d148231-fable-gate-004,branch_audit,provenance/gap/generated-draft support only,no new positive term-authority weight from Old-B audit; carry forward previous source-gated weights where applicable,not scored as review/approval,"B3 Old-B packet SHA verify rows ok=17, non-ok=0",do not merge fa_IR/prs_AF/tg_Cyrl_TJ or convert audit drift into source authority,strict sublane separation,"generated-draft/non-canonical/not-native-reviewed/source-use/gap; no native review, community consent, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
0d148231-fable-blocker-001,old-B audit lane,blocker/recovery row,blocked or owner-routed; no authority promotion,not applicable,ls-remote/PR head advanced to de6c1348e78bd4093911830c5690a43cbc07067b,provenance/drift evidence only; no Persianate/Tajik gate change unless matched to independent source body,strict sublane separation,"generated-draft/non-canonical/not-native-reviewed/source-use/gap; no native review, community consent, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
0d148231-fable-blocker-002,B3/package steward,blocker/recovery row,blocked or owner-routed; no authority promotion,not applicable,201 package roots; frontier 637,provenance/drift evidence only; no Persianate/Tajik gate change unless matched to independent source body,strict sublane separation,"generated-draft/non-canonical/not-native-reviewed/source-use/gap; no native review, community consent, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
0d148231-fable-blocker-003,B3 if packaging,blocker/recovery row,blocked or owner-routed; no authority promotion,not applicable,worktree HEAD 4ad9b266e47c2981979d46d2856bd5e3c3da861c; origin 1233d6f1557c831c23f6de8395182d8ae81e2217,provenance/drift evidence only; no Persianate/Tajik gate change unless matched to independent source body,strict sublane separation,"generated-draft/non-canonical/not-native-reviewed/source-use/gap; no native review, community consent, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
0d148231-fable-blocker-004,all lanes,blocker/recovery row,blocked or owner-routed; no authority promotion,not applicable,user boundary,provenance/drift evidence only; no Persianate/Tajik gate change unless matched to independent source body,strict sublane separation,"generated-draft/non-canonical/not-native-reviewed/source-use/gap; no native review, community consent, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
0d148231-fable-blocker-005,fa_IR,blocker/recovery row,blocked or owner-routed; no authority promotion,not applicable,"fa_IR has source-gated support carried from A7/C33, but Old-B DE6C audit is not source review or native review",keep sublane boundary and non-canonical/gap labels,strict sublane separation,"generated-draft/non-canonical/not-native-reviewed/source-use/gap; no native review, community consent, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
0d148231-fable-blocker-006,prs_AF,blocker/recovery row,blocked or owner-routed; no authority promotion,not applicable,no new independent Dari algebra/field/simple/ring authority in 0D148/Old-B DE6C audit,keep sublane boundary and non-canonical/gap labels,strict sublane separation,"generated-draft/non-canonical/not-native-reviewed/source-use/gap; no native review, community consent, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
0d148231-fable-blocker-007,tg_Cyrl_TJ,blocker/recovery row,blocked or owner-routed; no authority promotion,not applicable,Tajik remains discovery-only; 0D148/Old-B DE6C adds no promotion evidence,keep sublane boundary and non-canonical/gap labels,strict sublane separation,"generated-draft/non-canonical/not-native-reviewed/source-use/gap; no native review, community consent, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
