relative_path,bytes,sha256,source_use_label,boundary
ACTIVE_SESSION_STATE.md,911,E60E78B42024D6A076F18535F69875D0E69B7D1DEB680BE9F4C9681C973A41AE,generated package artifact; non-canonical; source-use/provenance/gap support,fa_IR/prs_AF/tg_Cyrl_TJ labels preserved; no cross-sublane authorization
B3_UPLOADER_READY_SUMMARY_FAA2C330.csv,673,EE5B1C4B120BC81ADC8A78A00476E1683A0795FFF47484C63B5BA6CB643C23BC,generated package artifact; non-canonical; source-use/provenance/gap support,fa_IR/prs_AF/tg_Cyrl_TJ labels preserved; no cross-sublane authorization
BRANCH_0D148231_TO_FAA2C330_DELTA_PATHS.csv,37456,D95FDDBD30EEEFFE6753C8FB2600FEFAD9D8CF50818FF6968D81AD69447006BE,generated package artifact; non-canonical; source-use/provenance/gap support,fa_IR/prs_AF/tg_Cyrl_TJ labels preserved; no cross-sublane authorization
BRANCH_INPUT_INDEX_FAA2C330.csv,5500,2442AFCAB23674D09C48560006CCEE57F688D5150CE9032E72BE9560E613A8DF,generated package artifact; non-canonical; source-use/provenance/gap support,fa_IR/prs_AF/tg_Cyrl_TJ labels preserved; no cross-sublane authorization
CARRY_FORWARD_FROM_0D148231_INDEX_FAA2C330.csv,3286,8081FC564700556C8B15C83FAAE1A04E263948CF65A4FADF848A51ADF4D72E9D,generated package artifact; non-canonical; source-use/provenance/gap support,fa_IR/prs_AF/tg_Cyrl_TJ labels preserved; no cross-sublane authorization
EXACT_BLOCKERS_AND_ACTIVE_RECOVERY_FAA2C330.csv,4512,A4C4A10795EFB1C6AF61DC38F88884AC3B38FEE359A67D357AE168E754708274,generated package artifact; non-canonical; source-use/provenance/gap support,fa_IR/prs_AF/tg_Cyrl_TJ labels preserved; no cross-sublane authorization
FABLE_SOURCE_USE_ADVERSE_LEDGER_FAA2C330.csv,6996,D37A770289D6C80E118A37E108BCBE14479687E879CB68B74C3134B1624C6037,generated package artifact; non-canonical; source-use/provenance/gap support,fa_IR/prs_AF/tg_Cyrl_TJ labels preserved; no cross-sublane authorization
FABLE_SOURCE_USE_ADVERSE_LEDGER_FAA2C330_CARRYFORWARD_FROM_0D148231.csv,7042,33417FB05F8319EE943DC47A653E75155356248ED3F32E060CD954EAD78ABBA6,generated package artifact; non-canonical; source-use/provenance/gap support,fa_IR/prs_AF/tg_Cyrl_TJ labels preserved; no cross-sublane authorization
FORMULA_INTERLINEAR_LANE_ROWS_FAA2C330.csv,97535,85F1E0681CE41177BDA64299CA3D54F3221A69C24D73F77BD140EF9B63AB7DB3,generated package artifact; non-canonical; source-use/provenance/gap support,fa_IR/prs_AF/tg_Cyrl_TJ labels preserved; no cross-sublane authorization
FORMULA_INTERLINEAR_LANE_ROWS_FAA2C330_CARRYFORWARD_FROM_0D148231_CARRYFORWARD_FROM_A7D70DEA.csv,78921,D07D3742C2C5DE41050907CEB0C8FB05AE3B8414CD2DCA4F24A86FC5082176DF,generated package artifact; non-canonical; source-use/provenance/gap support,fa_IR/prs_AF/tg_Cyrl_TJ labels preserved; no cross-sublane authorization
HEARTBEAT_20260706.md,496,01F50FDD27CFA97C65718215D7A7332997D25C6C210D7F79F80D547FFA2AAA9A,generated package artifact; non-canonical; source-use/provenance/gap support,fa_IR/prs_AF/tg_Cyrl_TJ labels preserved; no cross-sublane authorization
