"artifact_id","evidence_class","authority_role","unit_id","artifact_path","bytes","sha256","status","confidence","record_revision","continuation_cursor","revisit_condition"
"SGA2-VIII-Q15A-HASH-001","exact_artifact_hash","human_readable_evidence","SGA2-VIII-Q15A","ARTIFACT_TOOL_MANIFEST_QA.md","880","9DBA3E2E05D3A5F6195C397962BED722881E4054D3295C937F1D960483A26F23","exact_hash_verified_self_gated","high","1","French source line2618 after blank line2617","independent review or artifact revision"
"SGA2-VIII-Q15A-HASH-002","exact_artifact_hash","human_readable_evidence","SGA2-VIII-Q15A","ARTIFACT_TOOL_VISUAL_QA.md","996","2475BED50FD4FECE960A4E5A1633DE8B473235379783BD993AF84E97D0C506D9","exact_hash_verified_self_gated","high","1","French source line2618 after blank line2617","independent review or artifact revision"
"SGA2-VIII-Q15A-HASH-003","exact_artifact_hash","machine_readable_ledger","SGA2-VIII-Q15A","AUTHORITY_ARTIFACT_HASHES.csv","1070","D7A5026C103F6CBD90892D279607F88DB2F319169103B54FA9C06D56C80EB116","exact_hash_verified_self_gated","high","1","French source line2618 after blank line2617","independent review or artifact revision"
"SGA2-VIII-Q15A-HASH-004","exact_artifact_hash","machine_readable_ledger","SGA2-VIII-Q15A","DIFFICULTY_REVISION_LEDGER.jsonl","7751","FCF4DBDAA69787B710D305D9A1FA232F626BE4450DCC6FF2EA3A05C621B69519","exact_hash_verified_self_gated","high","1","French source line2618 after blank line2617","independent review or artifact revision"
"SGA2-VIII-Q15A-HASH-005","exact_artifact_hash","human_readable_evidence","SGA2-VIII-Q15A","DRAFT_SOURCE_AUDIT.md","1647","6CE807072CBBC05C74D61B54C1F4D511BE2B8613F993ED04F08479834CDC7580","exact_hash_verified_self_gated","high","1","French source line2618 after blank line2617","independent review or artifact revision"
"SGA2-VIII-Q15A-HASH-006","exact_artifact_hash","machine_readable_ledger","SGA2-VIII-Q15A","FORMULA_SYMBOL_NOTE_STRUCTURE_COMPARISON.csv","8862","27D745F679B26B2D757CCC041245D495D923FEAA7D7C3944A187DE7699DEA455","exact_hash_verified_self_gated","high","1","French source line2618 after blank line2617","independent review or artifact revision"
"SGA2-VIII-Q15A-HASH-007","exact_artifact_hash","human_readable_evidence","SGA2-VIII-Q15A","MACHINE_READABLE_EVIDENCE_SCHEMA.md","864","B09EB4E3880C42AF79E2B64CB88C1568B0C62015C10216A7069EAEB2BDB25234","exact_hash_verified_self_gated","high","1","French source line2618 after blank line2617","independent review or artifact revision"
"SGA2-VIII-Q15A-HASH-008","exact_artifact_hash","pdf_build_evidence","SGA2-VIII-Q15A","PDFFONTS.txt","1235","B576E76D0D082442DF9F9DC1A37B9AB83BA37F7D4B1AB830EE91695EC687FC5F","exact_hash_verified_self_gated","high","1","French source line2618 after blank line2617","independent review or artifact revision"
"SGA2-VIII-Q15A-HASH-009","exact_artifact_hash","pdf_build_evidence","SGA2-VIII-Q15A","PDFINFO.txt","688","C3820659F87A14868621924983EE12D791F7C3CEF7A0539B56D63600419E7591","exact_hash_verified_self_gated","high","1","French source line2618 after blank line2617","independent review or artifact revision"
"SGA2-VIII-Q15A-HASH-010","exact_artifact_hash","human_readable_evidence","SGA2-VIII-Q15A","RENDERED_VISUAL_QA.md","1220","0EE4BB852776F1D69DB2086C652EE6A1EA9544CEAA321E9B3E93C0FBFBF99C1A","exact_hash_verified_self_gated","high","1","French source line2618 after blank line2617","independent review or artifact revision"
