"Root","Files","Bytes","ManifestSha","SourceBodyish","GeneratedDraft","FableLedger"
"00_SET_EVERY_ASSIGNED_GOAL_VERBATIM_NOW_20260705.md","1","4083","0","0","0","0"
"interlanguage-sidecar","25","51924460","0","1","0","4"
"language-source-bodies","195","364134758","44","195","7","2"
"manifests","11","23714","11","0","0","0"
"noether-slavic-handoff","436","8211324","90","24","2","0"
"noether-slavic-source-canon","3","38913","0","3","0","0"
"noether-source-corpus-provenance","3","38913","0","3","0","0"
"publish_staging","1","64544","0","0","0","0"
"sources","6","734806","0","0","0","0"
"transfer-audits","6","59074","4","0","0","0"
"uploader-transfer","37","271394","8","0","1","6"
