"RelativePath","Extension","SizeBytes","LastWriteTimeUtc","SHA256","Category","HasSidecarSha"
"r6-source-body-visible-package-cycle8-20260706\source-bodies\R6_addendum_route_body\Nigerian_Pidgin_Nigeria_language-policy_context\NIGPID-NERDC-RETRY-002__nerdc_national_language_policy_pidgin_context.pdf",".pdf","45623069","2026-07-05T13:11:19.9693742Z","C60E71FF8CCF55D7399A69ABE6526E3A90C61BC63A3A06C353EBC0AB31A55977","pdf_body_or_witness","False"
"R6_ACCESS_SOURCE_START_PAYLOAD_20260706\literal-source-witnesses\source-bodies\R6_addendum_route_body\Nigerian_Pidgin_Nigeria_language-policy_context\NIGPID-NERDC-RETRY-002__nerdc_national_language_policy_pidgin_context.pdf",".pdf","45623069","2026-07-05T13:11:19.9693742Z","C60E71FF8CCF55D7399A69ABE6526E3A90C61BC63A3A06C353EBC0AB31A55977","pdf_body_or_witness","False"
"r6-source-body-visible-package-cycle8-20260706\source-bodies\Indigenous_Americas\Quechua_Central\R6-QA-SAR-001__minedu_quechua_central_1_yupana_matematicas_1primaria.pdf",".pdf","43460173","2026-06-30T17:53:46.2137948Z","2DD710AC1F78DD0EFBFCDC2D031F7D2EF16BD477A525F4E9E23C11A99813E284","pdf_body_or_witness","False"
"R6_ACCESS_SOURCE_START_PAYLOAD_20260706\literal-source-witnesses\source-bodies\Indigenous_Americas\Quechua_Central\R6-QA-SAR-001__minedu_quechua_central_1_yupana_matematicas_1primaria.pdf",".pdf","43460173","2026-06-30T17:53:46.2137948Z","2DD710AC1F78DD0EFBFCDC2D031F7D2EF16BD477A525F4E9E23C11A99813E284","pdf_body_or_witness","False"
"r6-source-body-visible-package-cycle8-20260706\source-bodies\Indigenous_Americas\Quechua_Chanka\R6-QA-SAR-002__minedu_quechua_chanka_1_yupana_matematicas_1primaria.pdf",".pdf","43286073","2026-06-30T17:55:00.7832825Z","006DE1956E982CFEF9E8C75D7A54C7B06B7745DC8561383070E24F7672C68D05","pdf_body_or_witness","False"
"R6_ACCESS_SOURCE_START_PAYLOAD_20260706\literal-source-witnesses\source-bodies\Indigenous_Americas\Quechua_Chanka\R6-QA-SAR-002__minedu_quechua_chanka_1_yupana_matematicas_1primaria.pdf",".pdf","43286073","2026-06-30T17:55:00.7832825Z","006DE1956E982CFEF9E8C75D7A54C7B06B7745DC8561383070E24F7672C68D05","pdf_body_or_witness","False"
"R6_ACCESS_SOURCE_START_PAYLOAD_20260706\literal-source-witnesses\source-bodies\Indigenous_Americas\Aymara\R6-QA-SAR-003__minedu_aymara_jakhukipawinaka_matematicas_1primaria.pdf",".pdf","34464079","2026-06-30T17:56:04.0643628Z","702B3F1DCF4D949F653C696B58C22B5D060F1274EF9BD51F13A42516C9B5EA90","pdf_body_or_witness","False"
"r6-source-body-visible-package-cycle8-20260706\source-bodies\Indigenous_Americas\Aymara\R6-QA-SAR-003__minedu_aymara_jakhukipawinaka_matematicas_1primaria.pdf",".pdf","34464079","2026-06-30T17:56:04.0643628Z","702B3F1DCF4D949F653C696B58C22B5D060F1274EF9BD51F13A42516C9B5EA90","pdf_body_or_witness","False"
"R6_ACCESS_SOURCE_START_PAYLOAD_20260706\literal-source-witnesses\source-bodies\R6_addendum_route_body\Bislama\R6-BISLAMA-RETRY-002__vanuatu_education_saens_2017.pdf",".pdf","26318188","2026-07-04T23:47:05.7771175Z","1E457D222C87DB1ED6D247455314D4D7CAA1CF27B26F448F99DF375EAE5C59FE","pdf_body_or_witness","False"
"r6-source-body-visible-package-cycle8-20260706\source-bodies\R6_addendum_route_body\Bislama\R6-BISLAMA-RETRY-002__vanuatu_education_saens_2017.pdf",".pdf","26318188","2026-07-04T23:47:05.7771175Z","1E457D222C87DB1ED6D247455314D4D7CAA1CF27B26F448F99DF375EAE5C59FE","pdf_body_or_witness","False"
"R6_ACCESS_SOURCE_START_PAYLOAD_20260706\literal-source-witnesses\source-bodies\R6_addendum_route_body\Bislama\R6-BISLAMA-RETRY-004__vanuatu_moet_saens_2017.pdf",".pdf","26318188","2026-07-04T23:47:19.2933983Z","1E457D222C87DB1ED6D247455314D4D7CAA1CF27B26F448F99DF375EAE5C59FE","pdf_body_or_witness","False"
"r6-source-body-visible-package-cycle8-20260706\source-bodies\R6_addendum_route_body\Bislama\R6-BISLAMA-RETRY-004__vanuatu_moet_saens_2017.pdf",".pdf","26318188","2026-07-04T23:47:19.2933983Z","1E457D222C87DB1ED6D247455314D4D7CAA1CF27B26F448F99DF375EAE5C59FE","pdf_body_or_witness","False"
