relative_path,bytes,pages,pdfinfo_ok,pdftotext_rc,text_nonspace_chars_sampled,flags,tofu_or_replacement_chars,log_missing_character_count,log_latex_error_count,log_overfull_hbox_count,recommended_public_surface
chinese/cyhj_detail.pdf,1213497,6,True,0,6018,,0,0,0,0,True
chinese/jiuzhang-suanshu-vols1-3.pdf,227075,25,True,0,24328,log_missing_characters;log_latex_errors,0,723,11,0,True
chinese/jiuzhang-suanshu-vols4-6.pdf,312532,32,True,0,31634,translator_or_process_note;tofu_or_replacement_char;log_missing_characters;log_latex_errors,4,2,2,0,True
chinese/jiuzhang-suanshu-vols7-9.pdf,205320,27,True,0,24432,,0,0,0,0,True
chinese/li-ye-ceyuan-haijing-fenlei-shishu-vols1-3.pdf,246946,36,True,0,27147,,0,0,0,0,True
chinese/li-ye-ceyuan-haijing-fenlei-shishu-vols4-5.pdf,188831,43,True,0,40246,,0,0,0,0,True
chinese/li-ye-ceyuan-haijing-fenlei-shishu-vols6-10.pdf,174180,40,True,0,32220,,0,0,0,0,True
chinese/li-ye-ceyuan-haijing-vols1-3.pdf,229178,22,True,0,26150,,0,0,0,0,True
chinese/li-ye-ceyuan-haijing-vols10-12.pdf,197343,27,True,0,20406,,0,0,0,0,True
chinese/li-ye-ceyuan-haijing-vols4-6.pdf,161776,21,True,0,20018,,0,0,0,0,True
chinese/li-ye-ceyuan-haijing-vols7-9.pdf,191617,25,True,0,23562,tofu_or_replacement_char,496,0,0,0,True
chinese/qin-jiushao-shuxue-jiuzhang-fascicle1.pdf,254295,25,True,0,22885,,0,0,0,0,True
chinese/qin-jiushao-shuxue-jiuzhang-fascicle2.pdf,207347,20,True,0,21726,,0,0,0,0,True
chinese/qin-jiushao-shuxue-jiuzhang-fascicle3.pdf,148820,14,True,0,10771,,0,0,0,0,True
chinese/qin-jiushao-shuxue-jiuzhang-fascicles3-4.pdf,187525,24,True,0,24335,,0,0,0,0,True
chinese/qin-jiushao-shuxue-jiuzhang-fascicles5-6.pdf,197034,20,True,0,23932,,0,0,0,0,True
chinese/qin-jiushao-shuxue-jiuzhang-fascicles7-9.pdf,177559,15,True,0,1374,,0,0,0,0,True
chinese/sunzi-suanjing.pdf,182701,33,True,0,10779,log_missing_characters;log_latex_errors,0,18798,5,0,True
chinese/yang-hui-xiangjie-jiuzhang-part1.pdf,230334,20,True,0,17864,log_missing_characters;log_latex_errors,0,1169,15,1,True
chinese/yang-hui-xiangjie-jiuzhang-part2.pdf,196001,39,True,0,9393,,0,0,0,0,True
chinese/yang-hui-xiangjie-jiuzhang-part3.pdf,224627,32,True,0,18924,log_missing_characters;log_latex_errors,0,1732,8,0,True
chinese/zhu-shijie-suanxue-qimeng-part1.pdf,193363,17,True,0,17756,,0,0,0,0,True
chinese/zhu-shijie-suanxue-qimeng-part2.pdf,1464482,37,True,0,29943,,0,0,0,0,True
indian/aryabhata-aryabhatiya.pdf,78353,15,True,0,7124,tofu_or_replacement_char;log_missing_characters;log_latex_errors,1330,15968,1,0,True
indian/bhaskara-ii-bijaganita-part1.pdf,90506,39,True,0,11819,tofu_or_replacement_char;log_missing_characters;log_latex_errors,194,15360,3,0,True
indian/bhaskara-ii-bijaganita-part2.pdf,125284,26,True,0,17026,tofu_or_replacement_char;log_missing_characters,128,373,0,2,True
indian/bhaskara-ii-bijaganita-part3.pdf,59847,13,True,0,7257,tofu_or_replacement_char;log_missing_characters;log_latex_errors,46,11707,8,1,True
indian/bhaskara-ii-lilavati.pdf,66908,14,True,0,5234,tofu_or_replacement_char;log_missing_characters,1130,19500,0,0,True
