"current_head","previous_head","branch_status","filename","github_status","additions","deletions","changes","artifact_class","source_gate_status","fable_coverage","raw_url"
"faa2c330deb886098750dafb5c500e244e1333fe","0d148231ec91503b4083a187a738ddaf3a0abeae","ahead","interlanguage-sidecar/rtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706/R3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z/B3_UPLOADER_READY_SUMMARY.csv","added","3","0","3","source-canon/source-body/source-witness","source-gate-record","fable-routing-required","https://github.com/KokunoYumeto/modern-latex-manuscripts/raw/faa2c330deb886098750dafb5c500e244e1333fe/interlanguage-sidecar%2Frtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706%2FR3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z%2FB3_UPLOADER_READY_SUMMARY.csv"
"faa2c330deb886098750dafb5c500e244e1333fe","0d148231ec91503b4083a187a738ddaf3a0abeae","ahead","interlanguage-sidecar/rtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706/R3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z/DURABLE_STATE_POINTERS.csv","added","4","0","4","source-canon/source-body/source-witness","source-gate-record","fable-routing-required","https://github.com/KokunoYumeto/modern-latex-manuscripts/raw/faa2c330deb886098750dafb5c500e244e1333fe/interlanguage-sidecar%2Frtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706%2FR3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z%2FDURABLE_STATE_POINTERS.csv"
"faa2c330deb886098750dafb5c500e244e1333fe","0d148231ec91503b4083a187a738ddaf3a0abeae","ahead","interlanguage-sidecar/rtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706/R3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z/MANIFEST.csv","added","16","0","16","source-canon/source-body/source-witness","source-gate-record","fable-routing-required","https://github.com/KokunoYumeto/modern-latex-manuscripts/raw/faa2c330deb886098750dafb5c500e244e1333fe/interlanguage-sidecar%2Frtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706%2FR3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z%2FMANIFEST.csv"
"faa2c330deb886098750dafb5c500e244e1333fe","0d148231ec91503b4083a187a738ddaf3a0abeae","ahead","interlanguage-sidecar/rtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706/R3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z/PACKAGE_VALIDATION.json","added","26","0","26","source-canon/source-body/source-witness","source-gate-record","fable-routing-required","https://github.com/KokunoYumeto/modern-latex-manuscripts/raw/faa2c330deb886098750dafb5c500e244e1333fe/interlanguage-sidecar%2Frtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706%2FR3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z%2FPACKAGE_VALIDATION.json"
"faa2c330deb886098750dafb5c500e244e1333fe","0d148231ec91503b4083a187a738ddaf3a0abeae","ahead","interlanguage-sidecar/rtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706/R3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z/R3_0D148231_BLOCKERS_ACTIVE_RECOVERY_ROWS.csv","added","1157","0","1157","source-canon/source-body/source-witness","source-recovery-or-manual-review","fable-routing-required","https://github.com/KokunoYumeto/modern-latex-manuscripts/raw/faa2c330deb886098750dafb5c500e244e1333fe/interlanguage-sidecar%2Frtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706%2FR3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z%2FR3_0D148231_BLOCKERS_ACTIVE_RECOVERY_ROWS.csv"
"faa2c330deb886098750dafb5c500e244e1333fe","0d148231ec91503b4083a187a738ddaf3a0abeae","ahead","interlanguage-sidecar/rtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706/R3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z/R3_0D148231_BRANCH_DELTA_FROM_1233.csv","added","51","0","51","source-canon/source-body/source-witness","source-gate-record","fable-routing-required","https://github.com/KokunoYumeto/modern-latex-manuscripts/raw/faa2c330deb886098750dafb5c500e244e1333fe/interlanguage-sidecar%2Frtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706%2FR3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z%2FR3_0D148231_BRANCH_DELTA_FROM_1233.csv"
"faa2c330deb886098750dafb5c500e244e1333fe","0d148231ec91503b4083a187a738ddaf3a0abeae","ahead","interlanguage-sidecar/rtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706/R3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z/R3_0D148231_BRANCH_VISIBILITY_AND_LOCAL_ONLY_LEDGER.csv","added","4","0","4","source-canon/source-body/source-witness","source-gate-record","fable-routing-required","https://github.com/KokunoYumeto/modern-latex-manuscripts/raw/faa2c330deb886098750dafb5c500e244e1333fe/interlanguage-sidecar%2Frtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706%2FR3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z%2FR3_0D148231_BRANCH_VISIBILITY_AND_LOCAL_ONLY_LEDGER.csv"
"faa2c330deb886098750dafb5c500e244e1333fe","0d148231ec91503b4083a187a738ddaf3a0abeae","ahead","interlanguage-sidecar/rtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706/R3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z/R3_0D148231_CURRENT_HEAD_BLOCKERS_NEXT_ACTIONS.csv","added","3","0","3","source-canon/source-body/source-witness","source-recovery-or-manual-review","fable-routing-required","https://github.com/KokunoYumeto/modern-latex-manuscripts/raw/faa2c330deb886098750dafb5c500e244e1333fe/interlanguage-sidecar%2Frtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706%2FR3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z%2FR3_0D148231_CURRENT_HEAD_BLOCKERS_NEXT_ACTIONS.csv"
"faa2c330deb886098750dafb5c500e244e1333fe","0d148231ec91503b4083a187a738ddaf3a0abeae","ahead","interlanguage-sidecar/rtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706/R3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z/R3_0D148231_FORMULA_INTERLINEAR_NOTES.csv","added","149","0","149","source-canon/source-body/source-witness","draft-capable-if-source-gated","fable-routing-required","https://github.com/KokunoYumeto/modern-latex-manuscripts/raw/faa2c330deb886098750dafb5c500e244e1333fe/interlanguage-sidecar%2Frtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706%2FR3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z%2FR3_0D148231_FORMULA_INTERLINEAR_NOTES.csv"
"faa2c330deb886098750dafb5c500e244e1333fe","0d148231ec91503b4083a187a738ddaf3a0abeae","ahead","interlanguage-sidecar/rtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706/R3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z/R3_0D148231_REVIEW_ONLY_BOUNDARY_GUARDS.csv","added","7","0","7","source-canon/source-body/source-witness","source-gate-record","fable-routing-required","https://github.com/KokunoYumeto/modern-latex-manuscripts/raw/faa2c330deb886098750dafb5c500e244e1333fe/interlanguage-sidecar%2Frtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706%2FR3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z%2FR3_0D148231_REVIEW_ONLY_BOUNDARY_GUARDS.csv"
