"decision_id","source_locator","exact_german_phrase","concept_scope","zh_hans_cn_choice","sense_window","excluded_senses","alternatives_considered","lexical_attractor_basin","mandarin_simplified_dominance_risk_debt","evidence_class","controlled_hant_form","controlled_hant_status","independent_check_status","producer_note"
"P32-ZH-T001","segments A-D, governing term","Zerfällungskörper","field that makes the indicated representation or division algebra split","分裂域","A field extension over which the relevant irreducible representation or associated noncommutative division algebra splits in the paper's representation-theoretic sense.","a splitting field of one polynomial only; a decomposition field in algebraic number theory without the representation-theoretic role; a physical fracture region","分解域; 劈裂域","modern Sino-xenic coinage/calque","High: 分裂域 is dominant on the Mandarin-Simplified producer shelf, while regional usage and the competing 分解域/劈裂域 traditions are untested.","producer editorial choice recorded in the assembled Hans target plus the inherited Simplified-Chinese drafting witness; independent checking absent","分裂域","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Applied as the paper's central term; no readiness claim."
"P32-ZH-T002","segment A title; segments A-D","minimaler Zerfällungskörper","splitting field none of whose proper subfields is a splitting field","极小分裂域","A splitting field minimal under inclusion, exactly as defined in the article; it need not have the smallest degree among all splitting fields.","a splitting field of globally minimum degree; a minimal polynomial's splitting field; merely a small field","最小分裂域; 极小分解域","modern Sino-xenic coinage/calque","High: 极小/最小 is a Mandarin trap because the article distinguishes inclusion-minimal from least degree; regional mathematical wording is untested.","producer editorial choice recorded in the assembled Hans target plus the inherited Simplified-Chinese drafting witness; independent checking absent","極小分裂域","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Producer uses 极小 for inclusion-minimal and 次数最小 for least-degree."
"P32-ZH-T003","segments A-B","Zahlkörper","finite algebraic number field in the article","数域","An algebraic number field occurring as a candidate splitting field or subfield in the arithmetic discussion.","an arbitrary field of numbers; a numeric domain in computing; a finite field","代数数域; 数体","Sino-xenic inherited","Medium: 数域 is standard-looking in Mandarin but may under-specify algebraicity and differs from regional preferences such as 数体.","producer editorial choice recorded in the assembled Hans target plus the inherited Simplified-Chinese drafting witness; independent checking absent","數域","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The surrounding prose supplies algebraic-number-field scope."
"P32-ZH-T004","segments A and D","Grundkörper","base field relative to which representations and degrees are taken","基域","The coefficient/base field over which the hypercomplex system, extension degrees, or relative norm is considered.","a geometric base space; an underlying set; a computer database domain","基础域; 底域","modern Sino-xenic coinage/calque","Medium: 基域 reflects Mainland algebra usage; cross-regional preference between 基域/底域/基础域 is untested.","producer editorial choice recorded in the assembled Hans target plus the inherited Simplified-Chinese drafting witness; independent checking absent","基域","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Kept distinct from characteristic fields and extension fields."
"P32-ZH-T005","title and segments A-C","irreduzible Darstellung","representation with no proper invariant reduction in the article's sense","不可约表示","A group or hypercomplex-system representation that is irreducible over the stated coefficient field.","an indecomposable but reducible representation; a representation that cannot be simplified computationally; a literary depiction","既约表示; 不可分解表示","modern Sino-xenic coinage/calque","Medium: 不可约表示 follows current Mandarin convention, but older and regional shelves can prefer 既约 or distinguish indecomposable language differently.","producer editorial choice recorded in the assembled Hans target plus the inherited Simplified-Chinese drafting witness; independent checking absent","不可約表示","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Used throughout without claiming regional equivalence."
"P32-ZH-T006","segment A opening","absolut irreduzibler Bestandteil","absolutely irreducible constituent after scalar extension","绝对不可约分量","A constituent remaining irreducible after all relevant field extensions, counted in Schur's result.","an absolute value component; a direct-sum component lacking the scalar-extension condition; a physical constituent","绝对不可约组成部分; 绝对既约分量","modern Sino-xenic coinage/calque","High: 分量 is concise Mandarin terminology, but the inherited witness used 组成部分 and regional/older representation-theory practice is untested.","producer editorial choice recorded in the assembled Hans target plus the inherited Simplified-Chinese drafting witness; independent checking absent","絕對不可約分量","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Segment A consistently uses 分量 in the opening statement."
"P32-ZH-T007","segment A opening and characterization theorem","Charakter","character of a representation","特征标","The trace character associated with the representation and its corresponding field, not a scalar characteristic.","characteristic of a field; an eigenvalue; a personality trait; a printed character","特征; 表示特征","modern Sino-xenic coinage/calque","High: 特征标 disambiguates Mandarin mathematical senses but its regional Traditional-Chinese lexical acceptance is untested.","producer editorial choice recorded in the assembled Hans target plus the inherited Simplified-Chinese drafting witness; independent checking absent","特徵標","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Kept distinct from field characteristic."
"P32-ZH-T008","segments A-D","Schurscher Index; Index","Schur index governing degrees and splitting","Schur 指数","The Schur index attached to the character or division algebra, used as the divisor of splitting-field degrees.","an array index; a book index; a subgroup index unless explicitly related; an economic index","舒尔指数; Schur 示性数","global modern loan","Medium: retaining the personal name in Latin script follows the producer shelf and avoids name-transliteration variation, but regional typography is untested.","producer editorial choice recorded in the assembled Hans target plus the inherited Simplified-Chinese drafting witness; independent checking absent","Schur 指數","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Bare 指数 is used only where the local discourse has already fixed the Schur-index sense."
"P32-ZH-T009","segment A program and theorem","nichtkommutativer Körper","finite-dimensional noncommutative division algebra over its center","非交换除环","The associated skew field/division ring whose nonzero elements are invertible; the historical German Körper is not being rendered as an ordinary field.","a noncommutative ordinary field; any noncommutative ring; a physical body","非交换体; 斜域; 非可换除环","mixed/contested","High: 非交换除环 is an explicit Mandarin disambiguation; historical and regional shelves may prefer 斜域 or 非交换体.","producer editorial choice recorded in the assembled Hans target plus the inherited Simplified-Chinese drafting witness; independent checking absent","非交換除環","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Major historical sense trap; producer choice is unvalidated."
"P32-ZH-T010","segment A characterization","zweiseitig einfacher Ring","ring simple as a two-sided ring","双侧单环","A ring with no nontrivial two-sided ideals in the article's structure-theoretic discussion.","a ring that is simple on both visual sides; a one-sided simple module; a principal ideal ring","双边单环; 二侧单环","modern Sino-xenic coinage/calque","Medium: 双侧 follows Mandarin module terminology; regional preference for 双边 or other forms is untested.","producer editorial choice recorded in the assembled Hans target plus the inherited Simplified-Chinese drafting witness; independent checking absent","雙側單環","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Used for the rings invariantly attached to the division algebra."
