"lane_scope","route_or_language","blocker_status","next_action","ac6f_decision"
"creole_contact","Bislama, Papiamento/Papiamentu, Mauritian/Seychellois/Indian Ocean Creoles, Sranan/Guyanas, Jamaican Creole/Patois, Nigerian Pidgin, Krio, Tok Pisin, others","active source/reviewer/ethics recovery blocker","Kreyol, Mauritius, Krio, Tok Pisin, Nigerian Pidgin, and Cape Verdean Kriolu route/candidate-source addenda are metadata only; continue named-language mathematical source-archive discovery before any source-archive claim.","still active after ac6f branch pickup; branch audit does not close blocker"
"creole_contact","Cape Verdean Kriolu / Belize Kriol / other T0 creole rows","active source/reviewer/ethics recovery blocker","Use NOETHER_R6_CAPE_VERDEAN_KRIOLU_SOURCE_ROUTE_ADDENDUM_20260705.csv for Cape Verdean Kriolu route/context provenance; exact Kriolu mathematics/STEM body or validated mathematical source archive, source-owner/reviewer return, and reuse decision remain required. Belize Kriol and other T0 creole rows remain separate blockers.","still active after ac6f branch pickup; branch audit does not close blocker"
"creole_contact","Jamaican Creole / Jamaican Patois","active source/reviewer/ethics recovery blocker","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot | no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot | Find Jamaican Creole/Patois math/numeracy/literacy-STEM source or reviewer route; English curriculum remains comparator only.","still active after ac6f branch pickup; branch audit does not close blocker"
"creole_contact","Jamaican Creole/Patois","active source/reviewer/ethics recovery blocker","Find Patois STEM/numeracy witness or reviewer route.","still active after ac6f branch pickup; branch audit does not close blocker"
"creole_contact","Kreyol/Haitian Creole, Bislama, Papiamento/Papiamentu, Mauritian/Seychellois/Indian Ocean Creoles, Jamaican Creole/Patois, Nigerian Pidgin, Krio, Tok Pisin, Sranan/Guyanas, and adjacent named creole/contact rows","active source/reviewer/ethics recovery blocker","Use Kreyol GitHub candidate rows, Nigerian Pidgin pcm source-file candidates, and Mauritius/Krio/Tok Pisin/Cape Verdean Kriolu official route captures as blocker metadata only; keep named creole/contact repositories separate and require file-level capture policy, license scope, mathematical content review, and reviewer/source-owner route.","still active after ac6f branch pickup; branch audit does not close blocker"
"creole_contact","Krio","active source/reviewer/ethics recovery blocker","Use NOETHER_R6_KRIO_SIERRA_LEONE_MBSSE_SOURCE_ROUTE_ADDENDUM_20260705.csv for Krio/Sierra Leone route/context provenance; exact Krio mathematics/STEM body, source-owner/reviewer return, and reuse decision remain required.","still active after ac6f branch pickup; branch audit does not close blocker"
"creole_contact","Nigerian Pidgin","active source/reviewer/ethics recovery blocker","Use NOETHER_R6_NIGERIAN_PIDGIN_SOURCE_ROUTE_ADDENDUM_20260705.csv for Nigerian Pidgin route/context/candidate-source provenance; exact Nigerian Pidgin mathematics/STEM body or validated mathematical source archive, source-owner/reviewer return, and reuse decision remain required.","still active after ac6f branch pickup; branch audit does not close blocker"
"creole_contact","Nigerian Pidgin/Krio/Tok Pisin/Cape Verdean/Belize","active source/reviewer/ethics recovery blocker","Nigerian Pidgin, Krio, Tok Pisin, and Cape Verdean Kriolu route contexts are now recorded in dated addenda; keep Belize Kriol and other rows separate and unresolved until exact named-language evidence lands.","still active after ac6f branch pickup; branch audit does not close blocker"
"creole_contact","Papiamento/Papiamentu","active source/reviewer/ethics recovery blocker","Use the 20260705 Aruba route retry addendum for EA.AW blocker provenance; still split Aruba Papiamento vs Curacao Papiamentu and resolve exact source-body access before concept or support movement.","still active after ac6f branch pickup; branch audit does not close blocker"
"creole_contact","Papiamento/Papiamentu - Aruba","active source/reviewer/ethics recovery blocker","Existing strict context rows do not close EA.AW catalog blockers. Use the 20260705 Aruba route retry addendum for Map/Rampa route evidence; resolve PDF source-body access, Aruba Papiamento reviewer/source-owner route, and reuse/license signal before source-authority or support movement.","still active after ac6f branch pickup; branch audit does not close blocker"
"creole_contact","Tok Pisin","active source/reviewer/ethics recovery blocker","Use NOETHER_R6_TOK_PISIN_PNG_FODE_SOURCE_ROUTE_ADDENDUM_20260705.csv for Tok Pisin/PNG route/context provenance; exact Tok Pisin mathematics/STEM body, source-owner/reviewer return, and reuse decision remain required.","still active after ac6f branch pickup; branch audit does not close blocker"
"indigenous","Ecuador EIB","active source/reviewer/ethics recovery blocker","Use NOETHER_R6_ECUADOR_EIB_KICHWA_CNIB_ROUTE_RETRY_ADDENDUM_20260705.csv as route blocker/provenance metadata only; resolve official CNIB/Kichwa PDF source-body access or source-owner route before any support movement.","still active after ac6f branch pickup; branch audit does not close blocker"
"indigenous","Guarani/Paraguay","active source/reviewer/ethics recovery blocker","Resolve MEC page/direct file links through allowed browser/API/source-owner/manual route; if captured later, record exact URL, local path, byte count, SHA-256, language/topic tags, source-owner/reviewer route, and reuse/license signal before support movement.","still active after ac6f branch pickup; branch audit does not close blocker"
"creole_contact","Krio/Sierra Leone","active source/reviewer/ethics recovery blocker","Retry via browser/manual stack; classify as national curriculum context, not Krio STEM witness until language-specific evidence exists.","still active after ac6f branch pickup; branch audit does not close blocker"
"creole_contact","Papiamento/Papiamentu - Aruba","active source/reviewer/ethics recovery blocker","Use NOETHER_R6_ARUBA_PAPIAMENTO_SOURCE_ROUTE_RETRY_ADDENDUM_20260705.csv as route blocker/provenance metadata only; resolve EA.AW PDF source-body access, official mirror/archive, or source-owner route before any support movement.","still active after ac6f branch pickup; branch audit does not close blocker"
"indigenous","Ecuador EIB","active source/reviewer/ethics recovery blocker","Use NOETHER_R6_ECUADOR_EIB_KICHWA_CNIB_ROUTE_RETRY_ADDENDUM_20260705.csv as route blocker/provenance metadata only; resolve official CNIB/Kichwa PDF source-body access and keep each Ecuador CNIB language/level separate before support movement.","still active after ac6f branch pickup; branch audit does not close blocker"
"indigenous","Ecuador Ministry EIB pages","active source/reviewer/ethics recovery blocker","Use NOETHER_R6_ECUADOR_EIB_KICHWA_CNIB_ROUTE_RETRY_ADDENDUM_20260705.csv for the CNIB/Kichwa route blocker; keep R6-IA-P3-005 unresolved separately until the EGB Intercultural Bilingue page is retried.","still active after ac6f branch pickup; branch audit does not close blocker"
"indigenous","Paraguay Guarani","active source/reviewer/ethics recovery blocker","Resolve MEC page/direct file links through allowed browser/API/source-owner/manual route; if captured later, record exact URL, local path, byte count, SHA-256, language/topic tags, source-owner/reviewer route, and reuse/license signal before support movement.","still active after ac6f branch pickup; branch audit does not close blocker"
"indigenous","Paraguay Guarani/Matematica PRODEPA","active source/reviewer/ethics recovery blocker","Resolve MEC page/direct file links through allowed browser/API/source-owner/manual route; if captured later, record exact URL, local path, byte count, SHA-256, language/topic tags, source-owner/reviewer route, and reuse/license signal before support movement.","still active after ac6f branch pickup; branch audit does not close blocker"
"indigenous","Quechua/Kichwa, Aymara, Guarani, and adjacent Indigenous-language targets","active source/reviewer/ethics recovery blocker","Continue official source capture and reviewer/source-owner routes; do not infer technical register from TeX gap.","still active after ac6f branch pickup; branch audit does not close blocker"
"indigenous","Quechua/Kichwa, Aymara, Guarani, Uspanteko, Nahuatl/Hnahnu/Maya/Nanahuatzin, and adjacent Indigenous-language targets","active source/reviewer/ethics recovery blocker","If a repository is found, verify target-language mathematical content, license/access status, hashable source files, and reviewer/source-owner route before any use.","still active after ac6f branch pickup; branch audit does not close blocker"
"sign_access","ASL","active source/reviewer/ethics recovery blocker","no accepted sign, copied video/media, derived still, translation, constructed surface, or pilot | no accepted sign, copied video/media, derived still, translation, constructed surface, or pilot | no accepted sign, copied video/media, derived still, translation, constructed surface, or pilot","still active after ac6f branch pickup; branch audit does not close blocker"
"sign_access","ASL, LSQ, DGS, International Sign comparator, and future signed-language rows","active source/reviewer/ethics recovery blocker","If a sign/access repository is found, verify media/source ownership, license/access, video/sign authority, reviewer route, and captions/transcripts separately.","still active after ac6f branch pickup; branch audit does not close blocker"
"sign_access","ASL, LSQ, DGS, International Sign, future signed-language rows","active source/reviewer/ethics recovery blocker","Use local signed-language source routes, video/access metadata, and media/reviewer gates.","still active after ac6f branch pickup; branch audit does not close blocker"
"sign_access","DGS","active source/reviewer/ethics recovery blocker","no category row accepted as sign authority; no media copy, no translation, no surface, no pilot | no category row accepted as sign authority; no media copy, no translation, no surface, no pilot | no category row accepted as sign authority; no media copy, no translation, no surface, no pilot","still active after ac6f branch pickup; branch audit does not close blocker"
"sign_access","LSQ","active source/reviewer/ethics recovery blocker","no accepted sign, no lexical equivalence claim, no copied media, no translation, no constructed surface, no pilot | no accepted sign, no lexical equivalence claim, no copied media, no translation, no constructed surface, no pilot | no accepted sign, no lexical equivalence claim, no copied media, no translation, no constructed surface, no pilot","still active after ac6f branch pickup; branch audit does not close blocker"
"sign_access","International Sign comparator","active source/reviewer/ethics recovery blocker","no lexicon authority, no accepted signs, no national signbank transfer, no translation, no constructed surface, no pilot | no normal national-language lane treatment, no dictionary acceptance, no translation, no constructed surface, no pilot | no one-sign-per-word normalization, no forced standard technical lexicon, no sign acceptance, no translation, no surface, no pilot","still active after ac6f branch pickup; branch audit does not close blocker"
"indigenous","Ecuador Kichwa CNIB","active source/reviewer/ethics recovery blocker","retry official CNIB body route and source-owner path","still active after ac6f branch pickup; branch audit does not close blocker"
"indigenous","Paraguay Guarani/PRODEPA","active source/reviewer/ethics recovery blocker","retry MEC/PRODEPA routes and alternate official indexes","still active after ac6f branch pickup; branch audit does not close blocker"
"sign_access","DGS/ASL/LSQ sign/access","active source/reviewer/ethics recovery blocker","complete media/source-owner permission and accessibility review before visual inventory or sign rendering","still active after ac6f branch pickup; branch audit does not close blocker"
