"scope_id","printed_range","body_page_keys","closed_on_controlling_record","active_or_open_page_keys","audit_tier","controlling_status","controlling_evidence","next_action"
"P01","176-179","4","4","0","A_current_head_complete_page","closed_after independent Web complete-page reaudit and local merge","P01 full-page audit plus Web early-paper audit","Reopen only on concrete source contradiction"
"P02","23-92","70","47","23","D_partial_open","pp23-34 and pp58-92 closed; pp35-57 remain without a controlling page-level current-head pass","Web early pp23-27; LocalCodex direct pp28-34 audit; 39-row pp58-90/table audit; local content reconciliation","Continue direct source-critical audit at printed p35 through p57; merge only source-confirmed changes"
"P03","101-104","4","4","0","A_current_head_complete_page","closed current-head complete-page source checked","Canonical page-QC rows and current-head source audit","Reopen only on concrete source contradiction"
"P04","118-154","37","37","0","A_current_head_independent_complete_page_audit","pp118-143 closed after independent Web full-page pass and bounded LocalCodex integration; pp144-154 closed after deep follow-up","Web P04 pp118-143 26-row page audit plus bounded source-backed diff; LocalCodex content-survival/source/build/render adjudication; P04 pp144-154 deep follow-up","Reopen only on a concrete original-source contradiction"
"P05","316-319","4","4","0","A_current_head_complete_page_source_audit_render_verified","closed current-head direct full-paper source re-audit; p316 repaired and render verified","Noether_LocalCodex_20260719_P05p316_Sperrdruck_SourceFix_COMPLETE; canonical page-QC rows; native GDZ600 pp316-319","Reopen only on concrete source contradiction"
"P06","161-196","36","36","0","A_current_head_complete_page","closed complete-page source audit with exact body survival","Canonical page-QC rows and current-body survival check","Reopen only on concrete source contradiction"
"P07","89-92","4","4","0","B_historical_audit_exact_current_span","closed legacy complete-page audit with false patch superseded and exact span survival","Canonical page-QC rows and exact-span survival record","Preserve mixed Phi and partial-derivative negative controls"
"P08","93-102","10","10","0","A_current_head_complete_page","closed independent complete current-head source audit","P08 complete current-head audit and rendered QA","Reopen only on concrete source contradiction"
"P09","103-128","26","26","0","B_historical_audit_exact_current_span","closed historical page audit plus exact current span survival","Canonical page-QC rows and exact-span survival record","Reopen only on concrete source contradiction"
"P10","536-545","10","10","0","B_historical_audit_exact_current_span","closed imported complete-page audit with live span equal to R796","P10 pp536-545 visual dispositions plus exact current-span comparison","Reopen only on concrete source contradiction"
"P11","221-229","9","9","0","B_historical_audit_exact_current_span","closed historical page audit plus exact current span survival","Canonical page-QC rows and exact-span survival record","Reopen only on concrete source contradiction"
"P12","37-44","8","8","0","B_historical_audit_exact_current_span","closed historical page audit plus exact current span survival","Canonical page-QC rows and exact-span survival record","Reopen only on concrete source contradiction"
