marker_uid,concept,lane,language,marker,evidence_channel,base_weight,source_use,risk_flags,main_sources,source,note
MK6_2_000000,ring,slavic_east,uk,власне підкільце,sourcebody_internal_candidate,0.6,,review_priority; WS_competitor_only_both; internal_variance,bg:bulgarian_sofia_noncommutative_body_problem.txt; cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; interslavic:noether_paper02_section03_terms.json; malay_indonesian:UIN ring/gelanggang; UKM/UMT gelanggang; pan_romance:es:cum_es.tex:8054; pan_romance:fr:french/0711.3658v2/rat1e.tex:66; pl:polish_impan_algebra_lecture3.txt; sk:slovak_abstraktna_algebra.txt; sl:slovenian_komutativna_algebra_noetherian.txt; sr:serbian_belgrade_algebra_i_lecture9.txt; ws:bulgarian_so,marker_table_v3_3,
MK6_2_000001,ring,slavic_east,ru,двусторонне неразложимые кольца,sourcebody_internal_candidate,0.6,,review_priority; WS_competitor_only_both; internal_variance,bg:bulgarian_sofia_noncommutative_body_problem.txt; cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; interslavic:noether_paper02_section03_terms.json; malay_indonesian:UIN ring/gelanggang; UKM/UMT gelanggang; pan_romance:es:cum_es.tex:8054; pan_romance:fr:french/0711.3658v2/rat1e.tex:66; pl:polish_impan_algebra_lecture3.txt; sk:slovak_abstraktna_algebra.txt; sl:slovenian_komutativna_algebra_noetherian.txt; sr:serbian_belgrade_algebra_i_lecture9.txt; ws:bulgarian_so,marker_table_v3_3,
MK6_2_000002,ring,slavic_west,cs,okruh [C],competitor,0.75,,review_priority; WS_competitor_only_both; internal_variance,bg:bulgarian_sofia_noncommutative_body_problem.txt; cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; interslavic:noether_paper02_section03_terms.json; malay_indonesian:UIN ring/gelanggang; UKM/UMT gelanggang; pan_romance:es:cum_es.tex:8054; pan_romance:fr:french/0711.3658v2/rat1e.tex:66; pl:polish_impan_algebra_lecture3.txt; sk:slovak_abstraktna_algebra.txt; sl:slovenian_komutativna_algebra_noetherian.txt; sr:serbian_belgrade_algebra_i_lecture9.txt; ws:bulgarian_so,marker_table_v3_3,
MK6_2_000003,ring,slavic_west,sk,okruh [C],competitor,0.75,,review_priority; WS_competitor_only_both; internal_variance,bg:bulgarian_sofia_noncommutative_body_problem.txt; cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; interslavic:noether_paper02_section03_terms.json; malay_indonesian:UIN ring/gelanggang; UKM/UMT gelanggang; pan_romance:es:cum_es.tex:8054; pan_romance:fr:french/0711.3658v2/rat1e.tex:66; pl:polish_impan_algebra_lecture3.txt; sk:slovak_abstraktna_algebra.txt; sl:slovenian_komutativna_algebra_noetherian.txt; sr:serbian_belgrade_algebra_i_lecture9.txt; ws:bulgarian_so,marker_table_v3_3,
MK6_2_000004,ring,slavic_west,pl,pierścień [C],competitor,0.75,,review_priority; WS_competitor_only_both; internal_variance,bg:bulgarian_sofia_noncommutative_body_problem.txt; cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; interslavic:noether_paper02_section03_terms.json; malay_indonesian:UIN ring/gelanggang; UKM/UMT gelanggang; pan_romance:es:cum_es.tex:8054; pan_romance:fr:french/0711.3658v2/rat1e.tex:66; pl:polish_impan_algebra_lecture3.txt; sk:slovak_abstraktna_algebra.txt; sl:slovenian_komutativna_algebra_noetherian.txt; sr:serbian_belgrade_algebra_i_lecture9.txt; ws:bulgarian_so,marker_table_v3_3,
MK6_2_000005,ring,slavic_south,sl,kolobar [C],competitor,0.75,,review_priority; WS_competitor_only_both; internal_variance,bg:bulgarian_sofia_noncommutative_body_problem.txt; cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; interslavic:noether_paper02_section03_terms.json; malay_indonesian:UIN ring/gelanggang; UKM/UMT gelanggang; pan_romance:es:cum_es.tex:8054; pan_romance:fr:french/0711.3658v2/rat1e.tex:66; pl:polish_impan_algebra_lecture3.txt; sk:slovak_abstraktna_algebra.txt; sl:slovenian_komutativna_algebra_noetherian.txt; sr:serbian_belgrade_algebra_i_lecture9.txt; ws:bulgarian_so,marker_table_v3_3,
MK6_2_000006,ring,slavic_south,hr_sr,prsten [C],competitor,0.75,,review_priority; WS_competitor_only_both; internal_variance,bg:bulgarian_sofia_noncommutative_body_problem.txt; cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; interslavic:noether_paper02_section03_terms.json; malay_indonesian:UIN ring/gelanggang; UKM/UMT gelanggang; pan_romance:es:cum_es.tex:8054; pan_romance:fr:french/0711.3658v2/rat1e.tex:66; pl:polish_impan_algebra_lecture3.txt; sk:slovak_abstraktna_algebra.txt; sl:slovenian_komutativna_algebra_noetherian.txt; sr:serbian_belgrade_algebra_i_lecture9.txt; ws:bulgarian_so,marker_table_v3_3,
MK6_2_000007,ring,slavic_south,bg,prăsten [C],competitor,0.75,,review_priority; WS_competitor_only_both; internal_variance,bg:bulgarian_sofia_noncommutative_body_problem.txt; cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; interslavic:noether_paper02_section03_terms.json; malay_indonesian:UIN ring/gelanggang; UKM/UMT gelanggang; pan_romance:es:cum_es.tex:8054; pan_romance:fr:french/0711.3658v2/rat1e.tex:66; pl:polish_impan_algebra_lecture3.txt; sk:slovak_abstraktna_algebra.txt; sl:slovenian_komutativna_algebra_noetherian.txt; sr:serbian_belgrade_algebra_i_lecture9.txt; ws:bulgarian_so,marker_table_v3_3,
MK6_2_000008,ring,pan_romance,es,anillo,sourcebody_internal_candidate,0.6,,review_priority; WS_competitor_only_both; internal_variance,bg:bulgarian_sofia_noncommutative_body_problem.txt; cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; interslavic:noether_paper02_section03_terms.json; malay_indonesian:UIN ring/gelanggang; UKM/UMT gelanggang; pan_romance:es:cum_es.tex:8054; pan_romance:fr:french/0711.3658v2/rat1e.tex:66; pl:polish_impan_algebra_lecture3.txt; sk:slovak_abstraktna_algebra.txt; sl:slovenian_komutativna_algebra_noetherian.txt; sr:serbian_belgrade_algebra_i_lecture9.txt; ws:bulgarian_so,marker_table_v3_3,
MK6_2_000009,ring,pan_romance,fr,anneau,sourcebody_internal_candidate,0.6,,review_priority; WS_competitor_only_both; internal_variance,bg:bulgarian_sofia_noncommutative_body_problem.txt; cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; interslavic:noether_paper02_section03_terms.json; malay_indonesian:UIN ring/gelanggang; UKM/UMT gelanggang; pan_romance:es:cum_es.tex:8054; pan_romance:fr:french/0711.3658v2/rat1e.tex:66; pl:polish_impan_algebra_lecture3.txt; sk:slovak_abstraktna_algebra.txt; sl:slovenian_komutativna_algebra_noetherian.txt; sr:serbian_belgrade_algebra_i_lecture9.txt; ws:bulgarian_so,marker_table_v3_3,
MK6_2_000010,ring,pan_romance,pt,aneis,sourcebody_internal_candidate,0.6,,review_priority; WS_competitor_only_both; internal_variance,bg:bulgarian_sofia_noncommutative_body_problem.txt; cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; interslavic:noether_paper02_section03_terms.json; malay_indonesian:UIN ring/gelanggang; UKM/UMT gelanggang; pan_romance:es:cum_es.tex:8054; pan_romance:fr:french/0711.3658v2/rat1e.tex:66; pl:polish_impan_algebra_lecture3.txt; sk:slovak_abstraktna_algebra.txt; sl:slovenian_komutativna_algebra_noetherian.txt; sr:serbian_belgrade_algebra_i_lecture9.txt; ws:bulgarian_so,marker_table_v3_3,
MK6_2_000011,ring,pan_romance,gl,anel,sourcebody_internal_candidate,0.6,,review_priority; WS_competitor_only_both; internal_variance,bg:bulgarian_sofia_noncommutative_body_problem.txt; cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; interslavic:noether_paper02_section03_terms.json; malay_indonesian:UIN ring/gelanggang; UKM/UMT gelanggang; pan_romance:es:cum_es.tex:8054; pan_romance:fr:french/0711.3658v2/rat1e.tex:66; pl:polish_impan_algebra_lecture3.txt; sk:slovak_abstraktna_algebra.txt; sl:slovenian_komutativna_algebra_noetherian.txt; sr:serbian_belgrade_algebra_i_lecture9.txt; ws:bulgarian_so,marker_table_v3_3,
MK6_2_000012,ring,pan_romance,ca,anell,sourcebody_internal_candidate,0.6,,review_priority; WS_competitor_only_both; internal_variance,bg:bulgarian_sofia_noncommutative_body_problem.txt; cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; interslavic:noether_paper02_section03_terms.json; malay_indonesian:UIN ring/gelanggang; UKM/UMT gelanggang; pan_romance:es:cum_es.tex:8054; pan_romance:fr:french/0711.3658v2/rat1e.tex:66; pl:polish_impan_algebra_lecture3.txt; sk:slovak_abstraktna_algebra.txt; sl:slovenian_komutativna_algebra_noetherian.txt; sr:serbian_belgrade_algebra_i_lecture9.txt; ws:bulgarian_so,marker_table_v3_3,
MK6_2_000013,ring,pan_romance,it,anelli,sourcebody_internal_candidate,0.6,,review_priority; WS_competitor_only_both; internal_variance,bg:bulgarian_sofia_noncommutative_body_problem.txt; cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; interslavic:noether_paper02_section03_terms.json; malay_indonesian:UIN ring/gelanggang; UKM/UMT gelanggang; pan_romance:es:cum_es.tex:8054; pan_romance:fr:french/0711.3658v2/rat1e.tex:66; pl:polish_impan_algebra_lecture3.txt; sk:slovak_abstraktna_algebra.txt; sl:slovenian_komutativna_algebra_noetherian.txt; sr:serbian_belgrade_algebra_i_lecture9.txt; ws:bulgarian_so,marker_table_v3_3,
