lane,concepts,markers,languages,support_rows,candidate_rows,adverse_competitor_rows,gap_rows,support_candidate_mass,adverse_mass,readiness_proxy_0_100,next_action
pan_romance,93,543,8,139,401,3,0,244.2,2.7,98.5,sense_audit_and_adverse_review
slavic_east,66,125,2,0,125,0,0,34.2,0.0,97.2,sourcebody_context_review
interslavic,79,117,2,0,117,0,0,31.0,0.0,96.9,sourcebody_context_review
persianate,62,62,1,0,62,0,0,30.4,0.0,96.8,sourcebody_context_review
malay_indonesian,60,60,1,0,60,0,0,24.8,0.0,96.1,sourcebody_context_review
interslavic_proof_register,67,67,1,0,67,0,0,23.45,0.0,95.9,sourcebody_context_review
turkic_source_canon,8,19,3,19,0,0,0,10.315,0.0,91.2,sourcebody_context_review
controlled_arabic,75,92,3,16,71,5,0,47.55,4.5,89.6,sense_audit_and_adverse_review
cjk,90,195,4,0,184,11,0,77.25,9.9,87.6,sense_audit_and_adverse_review
slavic_south,38,92,3,72,0,20,0,54.0,15.0,77.1,sense_audit_and_adverse_review
arabic_farsi_persianate,4,4,1,2,2,0,0,2.2,0.0,68.8,sourcebody_context_review
turkic_frontier,5,9,5,4,0,0,5,1.4,0.0,58.3,sourcebody_context_review
slavic_west,39,107,3,61,0,46,0,45.75,34.5,56.3,sense_audit_and_adverse_review
generic,16,16,1,0,0,16,0,0.0,14.4,0.0,sense_audit_and_adverse_review
olp_source_side,14,14,1,0,0,0,0,0.0,0.0,0.0,source_collection_or_mapping
