concept,lane_count,language_count,marker_count,support_mass,adverse_or_competitor_mass,gap_mass,lanes,languages,channel_weight_json,risk_flags,priority_score,recommended_next_action
covariant,4,5,7,2.4,0.0,0.0,controlled_arabic;malay_indonesian;pan_romance;persianate,ar;es;fa;fr;my_id,"{""sourcebody_internal_candidate"": 2.4}",F14_trap_candidate,100,P0_sense_audit
ground form,5,8,8,1.95,0.9,0.0,controlled_arabic;interslavic;pan_romance;persianate;slavic_east,ar;es;fa;isv;isv_cyr;nan;ru;uk,"{""adverse_or_false_sense"": 0.9, ""sourcebody_internal_candidate"": 1.2000000000000002, ""support"": 0.75}",has_adverse_or_competitor;F14_trap_candidate,100,P0_sense_audit
modulus,3,5,7,4.15,0.0,0.0,controlled_arabic;pan_romance;persianate,ar;es;fa;fr;nan,"{""sourcebody_internal_candidate"": 0.4, ""support"": 3.75}",F14_trap_candidate,100,P0_sense_audit
contravariant,3,4,5,1.75,0.0,0.0,controlled_arabic;pan_romance;persianate,ar;es;fa;fr,"{""sourcebody_internal_candidate"": 1.75}",F14_trap_candidate,97,P0_sense_audit
binary form,3,3,3,0.4,0.9,0.0,controlled_arabic;pan_romance;persianate,ar;es;fa,"{""adverse_or_false_sense"": 0.9, ""sourcebody_internal_candidate"": 0.4}",has_adverse_or_competitor;F14_trap_candidate,92,P0_sense_audit
complete system,3,3,3,0.4,0.9,0.0,controlled_arabic;pan_romance;persianate,ar;es;fa,"{""adverse_or_false_sense"": 0.9, ""sourcebody_internal_candidate"": 0.4}",has_adverse_or_competitor;F14_trap_candidate,92,P0_sense_audit
absolutely complete system,2,2,2,0.4,0.0,0.0,controlled_arabic;persianate,ar;fa,"{""sourcebody_internal_candidate"": 0.4}",F14_trap_candidate,54,P0_sense_audit
relatively complete system,2,2,2,0.4,0.0,0.0,controlled_arabic;persianate,ar;fa,"{""sourcebody_internal_candidate"": 0.4}",F14_trap_candidate,54,P0_sense_audit
,1,0,1,0.0,0.9,0.0,generic,,"{""adverse_or_false_sense"": 0.9}",has_adverse_or_competitor;adverse_without_support,33,P0_sense_audit
ALL,1,0,1,0.0,0.9,0.0,controlled_arabic,,"{""adverse_or_false_sense"": 0.9}",has_adverse_or_competitor;adverse_without_support,33,P0_sense_audit
CJK-W4-LEX-artin-artinian-finiteness-d5fab98be6,1,0,1,0.0,0.9,0.0,cjk,,"{""adverse_or_false_sense"": 0.9}",has_adverse_or_competitor;adverse_without_support,33,P0_sense_audit
CJK-W4-LEX-completely-reducible-representation-theory-16a17e71af,1,0,1,0.0,0.9,0.0,cjk,,"{""adverse_or_false_sense"": 0.9}",has_adverse_or_competitor;adverse_without_support,33,P0_sense_audit
CJK-W4-LEX-harish-chandra-representation-theory-a419b6bd13,1,0,1,0.0,0.9,0.0,cjk,,"{""adverse_or_false_sense"": 0.9}",has_adverse_or_competitor;adverse_without_support,33,P0_sense_audit
Korean rows are addendum/source-routing unless exact owner evidence changes that,1,0,1,0.0,0.9,0.0,cjk,,"{""adverse_or_false_sense"": 0.9}",has_adverse_or_competitor;adverse_without_support,33,P0_sense_audit
all,1,0,1,0.0,0.9,0.0,generic,,"{""adverse_or_false_sense"": 0.9}",has_adverse_or_competitor;adverse_without_support,33,P0_sense_audit
all ledgers,1,0,1,0.0,0.9,0.0,generic,,"{""adverse_or_false_sense"": 0.9}",has_adverse_or_competitor;adverse_without_support,33,P0_sense_audit
all relation/function terms,1,0,1,0.0,0.9,0.0,generic,,"{""adverse_or_false_sense"": 0.9}",has_adverse_or_competitor;adverse_without_support,33,P0_sense_audit
ar-lex-field,1,0,1,0.0,0.9,0.0,controlled_arabic,,"{""adverse_or_false_sense"": 0.9}",has_adverse_or_competitor;adverse_without_support,33,P0_sense_audit
ar-lex-homomorphism,1,0,1,0.0,0.9,0.0,controlled_arabic,,"{""adverse_or_false_sense"": 0.9}",has_adverse_or_competitor;adverse_without_support,33,P0_sense_audit
ar-lex-isomorphism,1,0,1,0.0,0.9,0.0,controlled_arabic,,"{""adverse_or_false_sense"": 0.9}",has_adverse_or_competitor;adverse_without_support,33,P0_sense_audit
ar-lex-ring,1,0,1,0.0,0.9,0.0,controlled_arabic,,"{""adverse_or_false_sense"": 0.9}",has_adverse_or_competitor;adverse_without_support,33,P0_sense_audit
cross-Turkic transfer,1,0,1,0.0,0.9,0.0,generic,,"{""adverse_or_false_sense"": 0.9}",has_adverse_or_competitor;adverse_without_support,33,P0_sense_audit
draft scaffolds are generated-draft/non-canonical review material only,1,0,1,0.0,0.9,0.0,cjk,,"{""adverse_or_false_sense"": 0.9}",has_adverse_or_competitor;adverse_without_support,33,P0_sense_audit
function terminology,1,0,1,0.0,0.9,0.0,generic,,"{""adverse_or_false_sense"": 0.9}",has_adverse_or_competitor;adverse_without_support,33,P0_sense_audit
generated output is not a native source witness,1,0,1,0.0,0.9,0.0,cjk,,"{""adverse_or_false_sense"": 0.9}",has_adverse_or_competitor;adverse_without_support,33,P0_sense_audit
