work_id,kind,priority,target,reason,next_action,source
CW-0001,concept_review,P0_sense_audit,covariant,F14_trap_candidate,P0_sense_audit,concept_summary_v6_2
CW-0002,concept_review,P0_sense_audit,ground form,has_adverse_or_competitor;F14_trap_candidate,P0_sense_audit,concept_summary_v6_2
CW-0003,concept_review,P0_sense_audit,modulus,F14_trap_candidate,P0_sense_audit,concept_summary_v6_2
CW-0004,concept_review,P0_sense_audit,contravariant,F14_trap_candidate,P0_sense_audit,concept_summary_v6_2
CW-0005,concept_review,P0_sense_audit,binary form,has_adverse_or_competitor;F14_trap_candidate,P0_sense_audit,concept_summary_v6_2
CW-0006,concept_review,P0_sense_audit,complete system,has_adverse_or_competitor;F14_trap_candidate,P0_sense_audit,concept_summary_v6_2
CW-0007,concept_review,P0_sense_audit,absolutely complete system,F14_trap_candidate,P0_sense_audit,concept_summary_v6_2
CW-0008,concept_review,P0_sense_audit,relatively complete system,F14_trap_candidate,P0_sense_audit,concept_summary_v6_2
CW-0009,concept_review,P0_sense_audit,,has_adverse_or_competitor;adverse_without_support,P0_sense_audit,concept_summary_v6_2
CW-0010,concept_review,P0_sense_audit,ALL,has_adverse_or_competitor;adverse_without_support,P0_sense_audit,concept_summary_v6_2
CW-0011,concept_review,P0_sense_audit,CJK-W4-LEX-artin-artinian-finiteness-d5fab98be6,has_adverse_or_competitor;adverse_without_support,P0_sense_audit,concept_summary_v6_2
CW-0012,concept_review,P0_sense_audit,CJK-W4-LEX-completely-reducible-representation-theory-16a17e71af,has_adverse_or_competitor;adverse_without_support,P0_sense_audit,concept_summary_v6_2
CW-0013,concept_review,P0_sense_audit,CJK-W4-LEX-harish-chandra-representation-theory-a419b6bd13,has_adverse_or_competitor;adverse_without_support,P0_sense_audit,concept_summary_v6_2
CW-0014,concept_review,P0_sense_audit,Korean rows are addendum/source-routing unless exact owner evidence changes that,has_adverse_or_competitor;adverse_without_support,P0_sense_audit,concept_summary_v6_2
