src,dst,edge_type,weight,marker_uid
concept:ring,lane:slavic_east,has_lane,0.6,MK6_2_000000
lane:slavic_east,lang:uk,has_language,0.6,MK6_2_000000
lang:uk,marker:MK6_2_000000,has_marker,0.6,MK6_2_000000
marker:MK6_2_000000,evidence:sourcebody_internal_candidate,has_evidence_channel,0.6,MK6_2_000000
concept:ring,lane:slavic_east,has_lane,0.6,MK6_2_000001
lane:slavic_east,lang:ru,has_language,0.6,MK6_2_000001
lang:ru,marker:MK6_2_000001,has_marker,0.6,MK6_2_000001
marker:MK6_2_000001,evidence:sourcebody_internal_candidate,has_evidence_channel,0.6,MK6_2_000001
concept:ring,lane:slavic_west,has_lane,0.75,MK6_2_000002
lane:slavic_west,lang:cs,has_language,0.75,MK6_2_000002
lang:cs,marker:MK6_2_000002,has_marker,0.75,MK6_2_000002
marker:MK6_2_000002,evidence:competitor,has_evidence_channel,0.75,MK6_2_000002
concept:ring,lane:slavic_west,has_lane,0.75,MK6_2_000003
lane:slavic_west,lang:sk,has_language,0.75,MK6_2_000003
lang:sk,marker:MK6_2_000003,has_marker,0.75,MK6_2_000003
marker:MK6_2_000003,evidence:competitor,has_evidence_channel,0.75,MK6_2_000003
concept:ring,lane:slavic_west,has_lane,0.75,MK6_2_000004
lane:slavic_west,lang:pl,has_language,0.75,MK6_2_000004
lang:pl,marker:MK6_2_000004,has_marker,0.75,MK6_2_000004
marker:MK6_2_000004,evidence:competitor,has_evidence_channel,0.75,MK6_2_000004
concept:ring,lane:slavic_south,has_lane,0.75,MK6_2_000005
lane:slavic_south,lang:sl,has_language,0.75,MK6_2_000005
lang:sl,marker:MK6_2_000005,has_marker,0.75,MK6_2_000005
marker:MK6_2_000005,evidence:competitor,has_evidence_channel,0.75,MK6_2_000005
concept:ring,lane:slavic_south,has_lane,0.75,MK6_2_000006
lane:slavic_south,lang:hr_sr,has_language,0.75,MK6_2_000006
lang:hr_sr,marker:MK6_2_000006,has_marker,0.75,MK6_2_000006
marker:MK6_2_000006,evidence:competitor,has_evidence_channel,0.75,MK6_2_000006
concept:ring,lane:slavic_south,has_lane,0.75,MK6_2_000007
lane:slavic_south,lang:bg,has_language,0.75,MK6_2_000007
lang:bg,marker:MK6_2_000007,has_marker,0.75,MK6_2_000007
marker:MK6_2_000007,evidence:competitor,has_evidence_channel,0.75,MK6_2_000007
concept:ring,lane:pan_romance,has_lane,0.6,MK6_2_000008
lane:pan_romance,lang:es,has_language,0.6,MK6_2_000008
lang:es,marker:MK6_2_000008,has_marker,0.6,MK6_2_000008
marker:MK6_2_000008,evidence:sourcebody_internal_candidate,has_evidence_channel,0.6,MK6_2_000008
concept:ring,lane:pan_romance,has_lane,0.6,MK6_2_000009
lane:pan_romance,lang:fr,has_language,0.6,MK6_2_000009
lang:fr,marker:MK6_2_000009,has_marker,0.6,MK6_2_000009
marker:MK6_2_000009,evidence:sourcebody_internal_candidate,has_evidence_channel,0.6,MK6_2_000009
concept:ring,lane:pan_romance,has_lane,0.6,MK6_2_000010
lane:pan_romance,lang:pt,has_language,0.6,MK6_2_000010
lang:pt,marker:MK6_2_000010,has_marker,0.6,MK6_2_000010
marker:MK6_2_000010,evidence:sourcebody_internal_candidate,has_evidence_channel,0.6,MK6_2_000010
concept:ring,lane:pan_romance,has_lane,0.6,MK6_2_000011
lane:pan_romance,lang:gl,has_language,0.6,MK6_2_000011
lang:gl,marker:MK6_2_000011,has_marker,0.6,MK6_2_000011
marker:MK6_2_000011,evidence:sourcebody_internal_candidate,has_evidence_channel,0.6,MK6_2_000011
concept:ring,lane:pan_romance,has_lane,0.6,MK6_2_000012
lane:pan_romance,lang:ca,has_language,0.6,MK6_2_000012
lang:ca,marker:MK6_2_000012,has_marker,0.6,MK6_2_000012
marker:MK6_2_000012,evidence:sourcebody_internal_candidate,has_evidence_channel,0.6,MK6_2_000012
concept:ring,lane:pan_romance,has_lane,0.6,MK6_2_000013
lane:pan_romance,lang:it,has_language,0.6,MK6_2_000013
lang:it,marker:MK6_2_000013,has_marker,0.6,MK6_2_000013
marker:MK6_2_000013,evidence:sourcebody_internal_candidate,has_evidence_channel,0.6,MK6_2_000013
concept:ring,lane:pan_romance,has_lane,0.6,MK6_2_000014
lane:pan_romance,lang:ro,has_language,0.6,MK6_2_000014
lang:ro,marker:MK6_2_000014,has_marker,0.6,MK6_2_000014
marker:MK6_2_000014,evidence:sourcebody_internal_candidate,has_evidence_channel,0.6,MK6_2_000014
concept:ring,lane:pan_romance,has_lane,0.6,MK6_2_000015
lane:pan_romance,lang:rm,has_language,0.6,MK6_2_000015
lang:rm,marker:MK6_2_000015,has_marker,0.6,MK6_2_000015
marker:MK6_2_000015,evidence:sourcebody_internal_candidate,has_evidence_channel,0.6,MK6_2_000015
concept:ring,lane:controlled_arabic,has_lane,0.6,MK6_2_000016
lane:controlled_arabic,lang:ar,has_language,0.6,MK6_2_000016
lang:ar,marker:MK6_2_000016,has_marker,0.6,MK6_2_000016
marker:MK6_2_000016,evidence:sourcebody_internal_candidate,has_evidence_channel,0.6,MK6_2_000016
concept:ring,lane:persianate,has_lane,0.6,MK6_2_000017
lane:persianate,lang:fa,has_language,0.6,MK6_2_000017
lang:fa,marker:MK6_2_000017,has_marker,0.6,MK6_2_000017
marker:MK6_2_000017,evidence:sourcebody_internal_candidate,has_evidence_channel,0.6,MK6_2_000017
concept:ring,lane:malay_indonesian,has_lane,0.6,MK6_2_000018
lane:malay_indonesian,lang:my_id,has_language,0.6,MK6_2_000018
lang:my_id,marker:MK6_2_000018,has_marker,0.6,MK6_2_000018
marker:MK6_2_000018,evidence:sourcebody_internal_candidate,has_evidence_channel,0.6,MK6_2_000018
concept:ring,lane:cjk,has_lane,0.6,MK6_2_000019
lane:cjk,lang:ja,has_language,0.6,MK6_2_000019
lang:ja,marker:MK6_2_000019,has_marker,0.6,MK6_2_000019
marker:MK6_2_000019,evidence:sourcebody_internal_candidate,has_evidence_channel,0.6,MK6_2_000019
concept:ring,lane:cjk,has_lane,0.6,MK6_2_000020
lane:cjk,lang:ko,has_language,0.6,MK6_2_000020
lang:ko,marker:MK6_2_000020,has_marker,0.6,MK6_2_000020
marker:MK6_2_000020,evidence:sourcebody_internal_candidate,has_evidence_channel,0.6,MK6_2_000020
concept:quotient field,lane:slavic_east,has_lane,0.2,MK6_2_000021
lane:slavic_east,lang:uk,has_language,0.2,MK6_2_000021
lang:uk,marker:MK6_2_000021,has_marker,0.2,MK6_2_000021
marker:MK6_2_000021,evidence:sourcebody_internal_candidate,has_evidence_channel,0.2,MK6_2_000021
concept:quotient field,lane:slavic_east,has_lane,0.2,MK6_2_000022
lane:slavic_east,lang:ru,has_language,0.2,MK6_2_000022
lang:ru,marker:MK6_2_000022,has_marker,0.2,MK6_2_000022
marker:MK6_2_000022,evidence:sourcebody_internal_candidate,has_evidence_channel,0.2,MK6_2_000022
concept:quotient field,lane:interslavic,has_lane,0.2,MK6_2_000023
lane:interslavic,lang:isv,has_language,0.2,MK6_2_000023
lang:isv,marker:MK6_2_000023,has_marker,0.2,MK6_2_000023
marker:MK6_2_000023,evidence:sourcebody_internal_candidate,has_evidence_channel,0.2,MK6_2_000023
concept:quotient field,lane:interslavic,has_lane,0.2,MK6_2_000024
lane:interslavic,lang:isv_cyr,has_language,0.2,MK6_2_000024
lang:isv_cyr,marker:MK6_2_000024,has_marker,0.2,MK6_2_000024
marker:MK6_2_000024,evidence:sourcebody_internal_candidate,has_evidence_channel,0.2,MK6_2_000024
concept:quotient field,lane:slavic_west,has_lane,0.75,MK6_2_000025
lane:slavic_west,lang:cs,has_language,0.75,MK6_2_000025
lang:cs,marker:MK6_2_000025,has_marker,0.75,MK6_2_000025
marker:MK6_2_000025,evidence:competitor,has_evidence_channel,0.75,MK6_2_000025
concept:quotient field,lane:slavic_west,has_lane,0.75,MK6_2_000026
lane:slavic_west,lang:pl,has_language,0.75,MK6_2_000026
lang:pl,marker:MK6_2_000026,has_marker,0.75,MK6_2_000026
marker:MK6_2_000026,evidence:competitor,has_evidence_channel,0.75,MK6_2_000026
concept:corollary,lane:slavic_east,has_lane,0.6,MK6_2_000027
lane:slavic_east,lang:uk,has_language,0.6,MK6_2_000027
lang:uk,marker:MK6_2_000027,has_marker,0.6,MK6_2_000027
marker:MK6_2_000027,evidence:sourcebody_internal_candidate,has_evidence_channel,0.6,MK6_2_000027
concept:corollary,lane:slavic_east,has_lane,0.6,MK6_2_000028
lane:slavic_east,lang:ru,has_language,0.6,MK6_2_000028
lang:ru,marker:MK6_2_000028,has_marker,0.6,MK6_2_000028
marker:MK6_2_000028,evidence:sourcebody_internal_candidate,has_evidence_channel,0.6,MK6_2_000028
concept:corollary,lane:slavic_west,has_lane,0.75,MK6_2_000029
lane:slavic_west,lang:cs,has_language,0.75,MK6_2_000029
lang:cs,marker:MK6_2_000029,has_marker,0.75,MK6_2_000029
marker:MK6_2_000029,evidence:competitor,has_evidence_channel,0.75,MK6_2_000029
concept:corollary,lane:slavic_west,has_lane,0.75,MK6_2_000030
lane:slavic_west,lang:pl,has_language,0.75,MK6_2_000030
lang:pl,marker:MK6_2_000030,has_marker,0.75,MK6_2_000030
marker:MK6_2_000030,evidence:competitor,has_evidence_channel,0.75,MK6_2_000030
concept:corollary,lane:slavic_south,has_lane,0.75,MK6_2_000031
lane:slavic_south,lang:hr_sr,has_language,0.75,MK6_2_000031
lang:hr_sr,marker:MK6_2_000031,has_marker,0.75,MK6_2_000031
marker:MK6_2_000031,evidence:competitor,has_evidence_channel,0.75,MK6_2_000031
concept:corollary,lane:slavic_south,has_lane,0.75,MK6_2_000032
lane:slavic_south,lang:bg,has_language,0.75,MK6_2_000032
lang:bg,marker:MK6_2_000032,has_marker,0.75,MK6_2_000032
marker:MK6_2_000032,evidence:competitor,has_evidence_channel,0.75,MK6_2_000032
concept:corollary,lane:controlled_arabic,has_lane,0.6,MK6_2_000033
lane:controlled_arabic,lang:ar,has_language,0.6,MK6_2_000033
lang:ar,marker:MK6_2_000033,has_marker,0.6,MK6_2_000033
marker:MK6_2_000033,evidence:sourcebody_internal_candidate,has_evidence_channel,0.6,MK6_2_000033
concept:corollary,lane:persianate,has_lane,0.6,MK6_2_000034
lane:persianate,lang:fa,has_language,0.6,MK6_2_000034
lang:fa,marker:MK6_2_000034,has_marker,0.6,MK6_2_000034
marker:MK6_2_000034,evidence:sourcebody_internal_candidate,has_evidence_channel,0.6,MK6_2_000034
concept:corollary,lane:malay_indonesian,has_lane,0.6,MK6_2_000035
lane:malay_indonesian,lang:my_id,has_language,0.6,MK6_2_000035
lang:my_id,marker:MK6_2_000035,has_marker,0.6,MK6_2_000035
marker:MK6_2_000035,evidence:sourcebody_internal_candidate,has_evidence_channel,0.6,MK6_2_000035
concept:theorem,lane:slavic_east,has_lane,0.6,MK6_2_000036
lane:slavic_east,lang:uk,has_language,0.6,MK6_2_000036
lang:uk,marker:MK6_2_000036,has_marker,0.6,MK6_2_000036
marker:MK6_2_000036,evidence:sourcebody_internal_candidate,has_evidence_channel,0.6,MK6_2_000036
concept:theorem,lane:slavic_east,has_lane,0.6,MK6_2_000037
lane:slavic_east,lang:ru,has_language,0.6,MK6_2_000037
lang:ru,marker:MK6_2_000037,has_marker,0.6,MK6_2_000037
marker:MK6_2_000037,evidence:sourcebody_internal_candidate,has_evidence_channel,0.6,MK6_2_000037
concept:theorem,lane:slavic_west,has_lane,0.75,MK6_2_000038
lane:slavic_west,lang:cs,has_language,0.75,MK6_2_000038
lang:cs,marker:MK6_2_000038,has_marker,0.75,MK6_2_000038
marker:MK6_2_000038,evidence:competitor,has_evidence_channel,0.75,MK6_2_000038
concept:theorem,lane:slavic_west,has_lane,0.75,MK6_2_000039
lane:slavic_west,lang:sk,has_language,0.75,MK6_2_000039
lang:sk,marker:MK6_2_000039,has_marker,0.75,MK6_2_000039
marker:MK6_2_000039,evidence:competitor,has_evidence_channel,0.75,MK6_2_000039
concept:theorem,lane:slavic_west,has_lane,0.75,MK6_2_000040
lane:slavic_west,lang:pl,has_language,0.75,MK6_2_000040
lang:pl,marker:MK6_2_000040,has_marker,0.75,MK6_2_000040
marker:MK6_2_000040,evidence:competitor,has_evidence_channel,0.75,MK6_2_000040
concept:theorem,lane:slavic_south,has_lane,0.75,MK6_2_000041
lane:slavic_south,lang:hr_sr,has_language,0.75,MK6_2_000041
lang:hr_sr,marker:MK6_2_000041,has_marker,0.75,MK6_2_000041
