"crosswalk_id","term_decision_id","source_locator","exact_german_phrase","zh_hans_cn_producer_form","zh_hant_controlled_form","zh_hant_status","ja_form","ko_form","ja_ko_evidence_status","sense_window","excluded_senses","lexical_attractor_basin","mandarin_simplified_dominance_risk_debt","evidence_class","independent_check_status"
"P10-ZH-X001","P10-ZH-T001","segments/zh-Hans-CN/P10_A_zh-Hans-CN.tex title and definition; worker_returns/P10_A_TRANSLATOR_RETURN.md row isomorphe Abbildung","isomorphe Abbildung","同构映射","同構映射","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO unconsulted, fields blank, and non-authorizing for Chinese","The map preserves addition, subtraction, multiplication, and division and is later shown reversible onto the image field.","an arbitrary image; a geometric mapping; a nonbijective homomorphism; a representation of a group","modern Sino-xenic coinage/calque","Qualitative debt: 同构映射 is strongly Mainland-normalized, while 映射/映照 and regional conventions were not researched; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 10 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","independent check absent; pending"
"P10-ZH-X002","P10-ZH-T002","segments/zh-Hans-CN/P10_A_zh-Hans-CN.tex definition; worker_returns/P10_A_TRANSLATOR_RETURN.md row eindeutige Zuordnung","eindeutige Zuordnung","单值对应","單值對應","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO unconsulted, fields blank, and non-authorizing for Chinese","Forward single-valuedness in the initial definition, before reverse uniqueness is established.","two-sided bijection automatically; unique existence in both directions; an arbitrary deterministic rule","mixed/contested","Qualitative debt: 单值 is common Mainland function language but may under-express the historical wording, and regional usage is absent; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 10 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","independent check absent; pending"
"P10-ZH-X003","P10-ZH-T003","segments/zh-Hans-CN/P10_A_zh-Hans-CN.tex section 1; worker_returns/P10_A_TRANSLATOR_RETURN.md row eineindeutig / umkehrbar eindeutig","eineindeutig / umkehrbar eindeutig","一一对应 / 可逆单值","一一對應 / 可逆單值","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO unconsulted, fields blank, and non-authorizing for Chinese","Every image value corresponds to exactly one source value and the inverse map is defined.","mere injectivity; mere single-valuedness; surjectivity onto an unrelated codomain","mixed/contested","Qualitative debt: the producer uses both 一一 and 可逆单值 in Mainland prose, while a single corpus form and regional equivalents remain unresearched; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 10 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","independent check absent; pending"
"P10-ZH-X004","P10-ZH-T004","segments/zh-Hans-CN/P10_A_zh-Hans-CN.tex section 1; worker_returns/P10_A_TRANSLATOR_RETURN.md row Abbildungssystem","Abbildungssystem","映射系统","映射系統","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO unconsulted, fields blank, and non-authorizing for Chinese","The image-value collection equipped with the transported field operations.","a software mapping system; the mapping function itself; a bare codomain with no field operations","mixed/contested","Qualitative debt: 映射系统 is a literal Mainland-readable choice but 像域/值域 attract strongly and regional usage was not consulted; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 10 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","independent check absent; pending"
"P10-ZH-X005","P10-ZH-T005","segments/zh-Hans-CN/P10_A_zh-Hans-CN.tex throughout; worker_returns/P10_A_TRANSLATOR_RETURN.md row Funktionalgleichung","Funktionalgleichung","函数方程","函數方程","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO unconsulted, fields blank, and non-authorizing for Chinese","The displayed equations for f(x+y), f(x-y), f(xy), and f(x/y).","a differential equation; an ordinary algebraic equation in values only; a generic functional identity with no displayed operations","mixed/contested","Qualitative debt: 函数方程 is Mainland-readable while 泛函方程 is a strong modern alternate and regional evidence is absent; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 10 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","independent check absent; pending"
"P10-ZH-X006","P10-ZH-T006","segments/zh-Hans-CN/P10_A_zh-Hans-CN.tex and P10_C_zh-Hans-CN.tex; worker_returns/P10_A_TRANSLATOR_RETURN.md and P10_C_TRANSLATOR_RETURN.md lineare Basis entries","lineare Basis","线性基","線性基","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO unconsulted, fields blank, and non-authorizing for Chinese","Rational linear representability with finite rational linear independence, as the producer note states.","an arbitrary finite-dimensional basis; a basis over the complex numbers; a merely ordered list","modern Sino-xenic coinage/calque","Qualitative debt: 线性基 is normalized Mainland prose but can hide the Hamel scope, and name/regional standards were not researched; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 10 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","independent check absent; pending"
"P10-ZH-X007","P10-ZH-T007","segments/zh-Hans-CN/P10_A_zh-Hans-CN.tex and P10_B_zh-Hans-CN.tex; worker_returns/P10_A_TRANSLATOR_RETURN.md and P10_B_TRANSLATOR_RETURN.md rationale Basis rows","rationale Basis","有理基","有理基","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO unconsulted, fields blank, and non-authorizing for Chinese","A basis for rational expression with rational-number coefficients, not automatically a Q-linear basis.","a basis whose elements are rational numbers; a Hamel basis by default; ordinary rational reasoning","mixed/contested","Qualitative debt: 有理基 is a compact Mainland calque with a strong Q-linear attractor and no regional historical evidence; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 10 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","independent check absent; pending"
"P10-ZH-X008","P10-ZH-T008","segments/zh-Hans-CN/P10_A_zh-Hans-CN.tex and P10_B_zh-Hans-CN.tex; worker_returns/P10_A_TRANSLATOR_RETURN.md and P10_B_TRANSLATOR_RETURN.md algebraische Basis rows","algebraische Basis","代数基","代數基","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO unconsulted, fields blank, and non-authorizing for Chinese","The field-theoretic algebraic-independence basis H or Z in the producer construction.","a vector-space basis of an algebra; a basis consisting only of algebraic numbers; a polynomial basis","mixed/contested","Qualitative debt: 代数基 is Mainland-readable but may obscure the transcendence-basis sense, and regional terminology was not consulted; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 10 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","independent check absent; pending"
"P10-ZH-X009","P10-ZH-T009","segments/zh-Hans-CN/P10_A_zh-Hans-CN.tex well-order construction; worker_returns/P10_A_TRANSLATOR_RETURN.md row rational unabhängig","rational unabhängig","有理无关","有理無關","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO unconsulted, fields blank, and non-authorizing for Chinese","No rational-function expression from finitely many preceding basis elements in the stated well-order.","linear independence over Q only; statistical independence; ordinary logical independence","mixed/contested","Qualitative debt: 有理无关 is a literal Mainland producer form whose exact historical convention and regional alternatives were not researched; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 10 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","independent check absent; pending"
"P10-ZH-X010","P10-ZH-T010","segments/zh-Hans-CN/P10_A_zh-Hans-CN.tex and P10_B_zh-Hans-CN.tex; all A/B return dependence rows","algebraisch unabhängig / abhängig","代数无关 / 代数相关","代數無關 / 代數相關","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO unconsulted, fields blank, and non-authorizing for Chinese","Polynomial-relation dependence in the field-extension induction.","linear dependence; statistical dependence; causal dependence; functional similarity without a polynomial relation","modern Sino-xenic coinage/calque","Qualitative debt: 无关/相关 and 独立/依赖 compete in Mainland terminology, and regional choices were not consulted; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 10 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","independent check absent; pending"
"P10-ZH-X011","P10-ZH-T011","segments/zh-Hans-CN/P10_A_zh-Hans-CN.tex and P10_B_zh-Hans-CN.tex; worker_returns/P10_A_TRANSLATOR_RETURN.md and P10_B_TRANSLATOR_RETURN.md rows Abschnittskörper","Abschnittskörper","截段域","截段域","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO unconsulted, fields blank, and non-authorizing for Chinese","A well-order initial-segment field in the induction.","a geometric section field; a piecewise domain; an arbitrary subfield unrelated to the well-order","mixed/contested","Qualitative debt: 截段域 is a transparent Mainland coinage without external historical evidence, while 初段域 is a strong alternate; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 10 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","independent check absent; pending"
"P10-ZH-X012","P10-ZH-T012","segments/zh-Hans-CN/P10_A_zh-Hans-CN.tex section 1; worker_returns/P10_A_TRANSLATOR_RETURN.md row Integritätsbereich","Integritätsbereich","整环","整環","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO unconsulted, fields blank, and non-authorizing for Chinese","A commutative domain without zero divisors in the local mapping definition.","an integrally closed domain; a complete ring; an integer-only domain; a field automatically","modern Sino-xenic coinage/calque","Qualitative debt: 整环 is Mainland-standard-looking, while 整域 and regional 环/環 conventions were not independently researched; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 10 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","independent check absent; pending"
"P10-ZH-X013","P10-ZH-T013","segments/zh-Hans-CN/P10_A_zh-Hans-CN.tex and P10_C_zh-Hans-CN.tex; worker_returns/P10_A_TRANSLATOR_RETURN.md and P10_C_TRANSLATOR_RETURN.md Wertsystem entries","Wertsystem","值组 / 值系统","值組 / 值系統","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO unconsulted, fields blank, and non-authorizing for Chinese","Plural or organized values in the basis construction and complex-value discussion.","an ethical value system; one scalar value; an independently adjudicated tuple structure","mixed/contested","Qualitative debt: A and C diverge between 值组 and 值系统 in Mainland prose, while regional practice is absent; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 10 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","independent check absent; pending"
