"adverse_id","term_decision_id","source_locator","exact_german_phrase","zh_hans_cn_producer_choice","trap_or_adverse_reading","contextual_reason_for_exclusion","alternative_held_for_independent_review","lexical_attractor_basin","mandarin_simplified_dominance_risk_debt","evidence_class","controlled_hant_status","review_state"
"P10-ZH-A001","P10-ZH-T001","segments/zh-Hans-CN/P10_A_zh-Hans-CN.tex title and definition; worker_returns/P10_A_TRANSLATOR_RETURN.md row isomorphe Abbildung","isomorphe Abbildung","同构映射","an arbitrary image; a geometric mapping; a nonbijective homomorphism; a representation of a group","The map preserves addition, subtraction, multiplication, and division and is later shown reversible onto the image field.","同构映照; 同构对应; 保留 Isomorphismus","modern Sino-xenic coinage/calque","Qualitative debt: 同构映射 is strongly Mainland-normalized, while 映射/映照 and regional conventions were not researched; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 10 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P10-ZH-A002","P10-ZH-T002","segments/zh-Hans-CN/P10_A_zh-Hans-CN.tex definition; worker_returns/P10_A_TRANSLATOR_RETURN.md row eindeutige Zuordnung","eindeutige Zuordnung","单值对应","two-sided bijection automatically; unique existence in both directions; an arbitrary deterministic rule","Forward single-valuedness in the initial definition, before reverse uniqueness is established.","唯一对应; 确定对应; 单一对应","mixed/contested","Qualitative debt: 单值 is common Mainland function language but may under-express the historical wording, and regional usage is absent; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 10 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P10-ZH-A003","P10-ZH-T003","segments/zh-Hans-CN/P10_A_zh-Hans-CN.tex section 1; worker_returns/P10_A_TRANSLATOR_RETURN.md row eineindeutig / umkehrbar eindeutig","eineindeutig / umkehrbar eindeutig","一一对应 / 可逆单值","mere injectivity; mere single-valuedness; surjectivity onto an unrelated codomain","Every image value corresponds to exactly one source value and the inverse map is defined.","双射; 一对一对应; 可逆的一一函数","mixed/contested","Qualitative debt: the producer uses both 一一 and 可逆单值 in Mainland prose, while a single corpus form and regional equivalents remain unresearched; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 10 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P10-ZH-A004","P10-ZH-T004","segments/zh-Hans-CN/P10_A_zh-Hans-CN.tex section 1; worker_returns/P10_A_TRANSLATOR_RETURN.md row Abbildungssystem","Abbildungssystem","映射系统","a software mapping system; the mapping function itself; a bare codomain with no field operations","The image-value collection equipped with the transported field operations.","像系统; 值域; 映射值集","mixed/contested","Qualitative debt: 映射系统 is a literal Mainland-readable choice but 像域/值域 attract strongly and regional usage was not consulted; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 10 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P10-ZH-A005","P10-ZH-T005","segments/zh-Hans-CN/P10_A_zh-Hans-CN.tex throughout; worker_returns/P10_A_TRANSLATOR_RETURN.md row Funktionalgleichung","Funktionalgleichung","函数方程","a differential equation; an ordinary algebraic equation in values only; a generic functional identity with no displayed operations","The displayed equations for f(x+y), f(x-y), f(xy), and f(x/y).","泛函方程; 函数等式","mixed/contested","Qualitative debt: 函数方程 is Mainland-readable while 泛函方程 is a strong modern alternate and regional evidence is absent; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 10 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P10-ZH-A006","P10-ZH-T006","segments/zh-Hans-CN/P10_A_zh-Hans-CN.tex and P10_C_zh-Hans-CN.tex; worker_returns/P10_A_TRANSLATOR_RETURN.md and P10_C_TRANSLATOR_RETURN.md lineare Basis entries","lineare Basis","线性基","an arbitrary finite-dimensional basis; a basis over the complex numbers; a merely ordered list","Rational linear representability with finite rational linear independence, as the producer note states.","线性基底; Hamel 基; 哈梅尔基","modern Sino-xenic coinage/calque","Qualitative debt: 线性基 is normalized Mainland prose but can hide the Hamel scope, and name/regional standards were not researched; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 10 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P10-ZH-A007","P10-ZH-T007","segments/zh-Hans-CN/P10_A_zh-Hans-CN.tex and P10_B_zh-Hans-CN.tex; worker_returns/P10_A_TRANSLATOR_RETURN.md and P10_B_TRANSLATOR_RETURN.md rationale Basis rows","rationale Basis","有理基","a basis whose elements are rational numbers; a Hamel basis by default; ordinary rational reasoning","A basis for rational expression with rational-number coefficients, not automatically a Q-linear basis.","有理基底; 有理函数基; 有理表示基","mixed/contested","Qualitative debt: 有理基 is a compact Mainland calque with a strong Q-linear attractor and no regional historical evidence; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 10 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P10-ZH-A008","P10-ZH-T008","segments/zh-Hans-CN/P10_A_zh-Hans-CN.tex and P10_B_zh-Hans-CN.tex; worker_returns/P10_A_TRANSLATOR_RETURN.md and P10_B_TRANSLATOR_RETURN.md algebraische Basis rows","algebraische Basis","代数基","a vector-space basis of an algebra; a basis consisting only of algebraic numbers; a polynomial basis","The field-theoretic algebraic-independence basis H or Z in the producer construction.","代数基底; 超越基; 代数无关基","mixed/contested","Qualitative debt: 代数基 is Mainland-readable but may obscure the transcendence-basis sense, and regional terminology was not consulted; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 10 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P10-ZH-A009","P10-ZH-T009","segments/zh-Hans-CN/P10_A_zh-Hans-CN.tex well-order construction; worker_returns/P10_A_TRANSLATOR_RETURN.md row rational unabhängig","rational unabhängig","有理无关","linear independence over Q only; statistical independence; ordinary logical independence","No rational-function expression from finitely many preceding basis elements in the stated well-order.","有理独立; 关于有理函数无关; 有理表示无关","mixed/contested","Qualitative debt: 有理无关 is a literal Mainland producer form whose exact historical convention and regional alternatives were not researched; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 10 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P10-ZH-A010","P10-ZH-T010","segments/zh-Hans-CN/P10_A_zh-Hans-CN.tex and P10_B_zh-Hans-CN.tex; all A/B return dependence rows","algebraisch unabhängig / abhängig","代数无关 / 代数相关","linear dependence; statistical dependence; causal dependence; functional similarity without a polynomial relation","Polynomial-relation dependence in the field-extension induction.","代数独立 / 代数依赖; 代数无关于 / 代数依赖于","modern Sino-xenic coinage/calque","Qualitative debt: 无关/相关 and 独立/依赖 compete in Mainland terminology, and regional choices were not consulted; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 10 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
