"decision_id","source_locator","exact_german_phrase","concept_scope","zh_hans_cn_choice","sense_window","excluded_senses","alternatives_considered","lexical_attractor_basin","mandarin_simplified_dominance_risk_debt","evidence_class","controlled_hant_form","controlled_hant_status","independent_check_status","producer_note"
"P10-ZH-T001","segments/zh-Hans-CN/P10_A_zh-Hans-CN.tex title and definition; worker_returns/P10_A_TRANSLATOR_RETURN.md row isomorphe Abbildung","isomorphe Abbildung","a field map preserving the displayed rational operations and bijective onto its image field","同构映射","The map preserves addition, subtraction, multiplication, and division and is later shown reversible onto the image field.","an arbitrary image; a geometric mapping; a nonbijective homomorphism; a representation of a group","同构映照; 同构对应; 保留 Isomorphismus","modern Sino-xenic coinage/calque","Qualitative debt: 同构映射 is strongly Mainland-normalized, while 映射/映照 and regional conventions were not researched; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 10 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","同構映射","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The title and definition use one producer form without independent certification."
"P10-ZH-T002","segments/zh-Hans-CN/P10_A_zh-Hans-CN.tex definition; worker_returns/P10_A_TRANSLATOR_RETURN.md row eindeutige Zuordnung","eindeutige Zuordnung","each source element has exactly one assigned image element","单值对应","Forward single-valuedness in the initial definition, before reverse uniqueness is established.","two-sided bijection automatically; unique existence in both directions; an arbitrary deterministic rule","唯一对应; 确定对应; 单一对应","mixed/contested","Qualitative debt: 单值 is common Mainland function language but may under-express the historical wording, and regional usage is absent; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 10 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","單值對應","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The sense window separates this row from the later eineindeutig claim."
"P10-ZH-T003","segments/zh-Hans-CN/P10_A_zh-Hans-CN.tex section 1; worker_returns/P10_A_TRANSLATOR_RETURN.md row eineindeutig / umkehrbar eindeutig","eineindeutig / umkehrbar eindeutig","two-sided uniqueness or a bijection between the field and its image field","一一对应 / 可逆单值","Every image value corresponds to exactly one source value and the inverse map is defined.","mere injectivity; mere single-valuedness; surjectivity onto an unrelated codomain","双射; 一对一对应; 可逆的一一函数","mixed/contested","Qualitative debt: the producer uses both 一一 and 可逆单值 in Mainland prose, while a single corpus form and regional equivalents remain unresearched; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 10 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","一一對應 / 可逆單值","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Internal surface variation is retained for checker-owned convergence."
"P10-ZH-T004","segments/zh-Hans-CN/P10_A_zh-Hans-CN.tex section 1; worker_returns/P10_A_TRANSLATOR_RETURN.md row Abbildungssystem","Abbildungssystem","the system of all image values f(z), shown to form a field","映射系统","The image-value collection equipped with the transported field operations.","a software mapping system; the mapping function itself; a bare codomain with no field operations","像系统; 值域; 映射值集","mixed/contested","Qualitative debt: 映射系统 is a literal Mainland-readable choice but 像域/值域 attract strongly and regional usage was not consulted; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 10 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","映射系統","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The producer keeps the historical system noun visible."
"P10-ZH-T005","segments/zh-Hans-CN/P10_A_zh-Hans-CN.tex throughout; worker_returns/P10_A_TRANSLATOR_RETURN.md row Funktionalgleichung","Funktionalgleichung","equations constraining a function under field operations","函数方程","The displayed equations for f(x+y), f(x-y), f(xy), and f(x/y).","a differential equation; an ordinary algebraic equation in values only; a generic functional identity with no displayed operations","泛函方程; 函数等式","mixed/contested","Qualitative debt: 函数方程 is Mainland-readable while 泛函方程 is a strong modern alternate and regional evidence is absent; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 10 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","函數方程","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The producer does not adjudicate the corpus-wide 函数/泛函 choice."
"P10-ZH-T006","segments/zh-Hans-CN/P10_A_zh-Hans-CN.tex and P10_C_zh-Hans-CN.tex; worker_returns/P10_A_TRANSLATOR_RETURN.md and P10_C_TRANSLATOR_RETURN.md lineare Basis entries","lineare Basis","a Hamel-type basis over the rational numbers in the additive functional-equation construction","线性基","Rational linear representability with finite rational linear independence, as the producer note states.","an arbitrary finite-dimensional basis; a basis over the complex numbers; a merely ordered list","线性基底; Hamel 基; 哈梅尔基","modern Sino-xenic coinage/calque","Qualitative debt: 线性基 is normalized Mainland prose but can hide the Hamel scope, and name/regional standards were not researched; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 10 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","線性基","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The C return avoids 基数 for basis elements because of the cardinal-number homonym."
"P10-ZH-T007","segments/zh-Hans-CN/P10_A_zh-Hans-CN.tex and P10_B_zh-Hans-CN.tex; worker_returns/P10_A_TRANSLATOR_RETURN.md and P10_B_TRANSLATOR_RETURN.md rationale Basis rows","rationale Basis","the well-ordered basis through which field elements are represented by rational functions","有理基","A basis for rational expression with rational-number coefficients, not automatically a Q-linear basis.","a basis whose elements are rational numbers; a Hamel basis by default; ordinary rational reasoning","有理基底; 有理函数基; 有理表示基","mixed/contested","Qualitative debt: 有理基 is a compact Mainland calque with a strong Q-linear attractor and no regional historical evidence; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 10 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","有理基","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The sense window follows the producer returns rather than an external terminology source."
"P10-ZH-T008","segments/zh-Hans-CN/P10_A_zh-Hans-CN.tex and P10_B_zh-Hans-CN.tex; worker_returns/P10_A_TRANSLATOR_RETURN.md and P10_B_TRANSLATOR_RETURN.md algebraische Basis rows","algebraische Basis","a basis permitting algebraic expression of all numbers while its members have no algebraic relations","代数基","The field-theoretic algebraic-independence basis H or Z in the producer construction.","a vector-space basis of an algebra; a basis consisting only of algebraic numbers; a polynomial basis","代数基底; 超越基; 代数无关基","mixed/contested","Qualitative debt: 代数基 is Mainland-readable but may obscure the transcendence-basis sense, and regional terminology was not consulted; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 10 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","代數基","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The competing producer alternative 超越基 remains open."
"P10-ZH-T009","segments/zh-Hans-CN/P10_A_zh-Hans-CN.tex well-order construction; worker_returns/P10_A_TRANSLATOR_RETURN.md row rational unabhängig","rational unabhängig","independence from predecessors under rational expression","有理无关","No rational-function expression from finitely many preceding basis elements in the stated well-order.","linear independence over Q only; statistical independence; ordinary logical independence","有理独立; 关于有理函数无关; 有理表示无关","mixed/contested","Qualitative debt: 有理无关 is a literal Mainland producer form whose exact historical convention and regional alternatives were not researched; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 10 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","有理無關","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The row explicitly excludes automatic Q-linear interpretation."
"P10-ZH-T010","segments/zh-Hans-CN/P10_A_zh-Hans-CN.tex and P10_B_zh-Hans-CN.tex; all A/B return dependence rows","algebraisch unabhängig / abhängig","algebraic independence or dependence over the preceding initial-segment field","代数无关 / 代数相关","Polynomial-relation dependence in the field-extension induction.","linear dependence; statistical dependence; causal dependence; functional similarity without a polynomial relation","代数独立 / 代数依赖; 代数无关于 / 代数依赖于","modern Sino-xenic coinage/calque","Qualitative debt: 无关/相关 and 独立/依赖 compete in Mainland terminology, and regional choices were not consulted; this is not a readiness score.","producer terminology proposal extracted only from the three supplied Paper 10 PRC-oriented Hans producer segments and their three worker returns; German source and inherited witness files unconsulted in this packaging subtask; no source or witness comparison, semantic or formula checking, terminology adjudication, translation review, external validation, or Japanese/Korean consultation","代數無關 / 代數相關","controlled generic script proposal only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","A and B use slightly different producer syntax, preserved here as alternatives."
