"span","class","path_count","decision"
"5838ea80..2c2df6b0","draft-or-interlinear-context","16","route/package/source-use context only"
"5838ea80..2c2df6b0","manifest-or-package-metadata","31","route/package/source-use context only"
"5838ea80..2c2df6b0","Non-Slavic-route-context","28","route/package/source-use context only"
"5838ea80..2c2df6b0","OLP-route-context","87","route/package/source-use context only"
"5838ea80..2c2df6b0","transfer-audits","21","route/package/source-use context only"
"5838ea80..2c2df6b0","uploader-transfer","66","route/package/source-use context only"
"61f213fa..2c2df6b0","draft-or-interlinear-context","69","route/package/source-use context only"
"61f213fa..2c2df6b0","manifest-or-package-metadata","82","route/package/source-use context only"
"61f213fa..2c2df6b0","Non-Slavic-route-context","82","route/package/source-use context only"
"61f213fa..2c2df6b0","OLP-route-context","183","route/package/source-use context only"
"61f213fa..2c2df6b0","transfer-audits","63","route/package/source-use context only"
"61f213fa..2c2df6b0","uploader-transfer","148","route/package/source-use context only"
