authority_page	printed_folio	authority_render	french_render	english_render	visual_control	result
1	299	qa/rendered/authority/authority-01.png	qa/rendered/fr/page-01.png	qa/rendered/en/page-01.png	title, byline, dedication, contents, section opening, equations (1.1.1)-(1.1.4), corrected outer exponent	PASS
2	300	qa/rendered/authority/authority-02.png	qa/rendered/fr/page-02.png	qa/rendered/en/page-02.png	continuous prose, reciprocity isomorphism, integral normalization, equations (1.2.1)-(1.2.5)	PASS
3	301	qa/rendered/authority/authority-03.png	qa/rendered/fr/page-03.png	qa/rendered/en/page-03.png	page transition, Stiefel-Whitney notation, composite arrow diagram, Theorem 1.5	PASS
4	302	qa/rendered/authority/authority-04.png	qa/rendered/fr/page-04.png	qa/rendered/en/page-04.png	section-2 real-representation heading, Propositions 2.1-2.2, two commuting diagrams	PASS
5	303	qa/rendered/authority/authority-05.png	qa/rendered/fr/page-05.png	qa/rendered/en/page-05.png	exact sequence, lifting triangle, additive obstruction square, equation (2.2.1)	PASS
6	304	qa/rendered/authority/authority-06.png	qa/rendered/fr/page-06.png	qa/rendered/en/page-06.png	French lemma repairs, determinant identities, dihedral induction formula	PASS
7	305	qa/rendered/authority/authority-07.png	qa/rendered/fr/page-07.png	qa/rendered/en/page-07.png	three-line character expansion, printed plus-or-minus, Lemmas 2.7-2.8	PASS
8	306	qa/rendered/authority/authority-08.png	qa/rendered/fr/page-08.png	qa/rendered/en/page-08.png	induction/restriction proof, repaired finite verb, cases and page boundary	PASS
9	307	qa/rendered/authority/authority-09.png	qa/rendered/fr/page-09.png	qa/rendered/en/page-09.png	section 3, H^1 repair, exact sequence, Theorem 3.2 and epsilon factors	PASS
10	308	qa/rendered/authority/authority-10.png	qa/rendered/fr/page-10.png	qa/rendered/en/page-10.png	Fourier transform, Tate functional equation, full integral chain, psi_L and bound-variable repairs	PASS
11	309	qa/rendered/authority/authority-11.png	qa/rendered/fr/page-11.png	qa/rendered/en/page-11.png	O(2) computation, K-star repair, section 4, Galois/Weil comparison	PASS
12	310	qa/rendered/authority/authority-12.png	qa/rendered/fr/page-12.png	qa/rendered/en/page-12.png	Kummer sequences, covering-group domain, spectral-sequence array and d_3 topology	PASS
13	311	qa/rendered/authority/authority-13.png	qa/rendered/fr/page-13.png	qa/rendered/en/page-13.png	periodicity, exponential sequence, Proposition 4.6, typed exponential reciprocity identity	PASS
14	312	qa/rendered/authority/authority-14.png	qa/rendered/fr/page-14.png	qa/rendered/en/page-14.png	local Weil H^2 target, exactness, Lemmas 4.9.1-4.9.3, corrected cross-reference	PASS
15	313	qa/rendered/authority/authority-15.png	qa/rendered/fr/page-15.png	qa/rendered/en/page-15.png	Q/Z local factors, full two-row exactness diagram with A and vertical arrows, section 5	PASS
16	314	qa/rendered/authority/authority-16.png	qa/rendered/fr/page-16.png	qa/rendered/en/page-16.png	isotropic decomposition, c^1 identity, Proposition 5.2, Corollary 5.3	PASS
17	315	qa/rendered/authority/authority-17.png	qa/rendered/fr/page-17.png	qa/rendered/en/page-17.png	epsilon(V,0), corrected (5.4.1), pair (rho-prime,N), q^{-s}, determinant, Lemma 5.6	PASS
18	316	qa/rendered/authority/authority-18.png	qa/rendered/fr/page-18.png	qa/rendered/en/page-18.png	bibliography 1-3, received date, full multiline address, terminal blank remainder excluded	PASS
