source_rst,output_tex,source_bytes,output_bytes
intro.rst,00_intro.tex,10159,10827
sampling.rst,01_sampling_iq.tex,62404,61840
frequency_domain.rst,02_frequency_domain.tex,65808,63125
filters.rst,03_filters.tex,59643,57547
noise.rst,04_noise_db.tex,25327,25158
digital_modulation.rst,05_digital_modulation.tex,36268,33150
pulse_shaping.rst,06_pulse_shaping.tex,29690,29278
sync.rst,07_sync.tex,70459,69885
channel_coding.rst,08_channel_coding.tex,30947,30224
iq_files.rst,09_iq_files_sigmf.tex,35964,37279
