fallback_id	physical_page	printed_page	pixel_bounds	authority_crop_sha256	presentation_derivative_sha256	render_parameters	operations	disposition	authority_asset	presentation_asset
FB-P001	1	58	0,0,1920,2850	74FF38A78A0F44EFDD638CF91F7A6C444F7CF64B00F9A6288D534CAD6B506DBA	BEB999EB0BFEA157FA70106A5BB710DA60DB03E644D94998C780F6A7C8D675C3	pdfimages -png from controlling authority; normalized 1-bit PNG; 1920x2850	full-page lossless extraction; 8-bit grayscale presentation derivative; no OCR; no redraw	DIPLOMATIC_FRENCH_FACSIMILE_ONLY; ENGLISH_TRANSLATED_SEPARATELY	assets/source_pages/lossless/p01.png	assets/source_pages/presentation/p01.png
FB-P002	2	59	0,0,1920,2850	40BB58860CB2E2229FAA786E1FC618018A47C1ACF9904AA6179452E9A68E33AB	2514AECECDF734656C0EE0E0DCF35989BCD929646B680B82E523789A91870A03	pdfimages -png from controlling authority; normalized 1-bit PNG; 1920x2850	full-page lossless extraction; 8-bit grayscale presentation derivative; no OCR; no redraw	DIPLOMATIC_FRENCH_FACSIMILE_ONLY; ENGLISH_TRANSLATED_SEPARATELY	assets/source_pages/lossless/p02.png	assets/source_pages/presentation/p02.png
FB-P003	3	60	0,0,1920,2850	F617B75F27D8AC4F8833C7D9B47962080CB721CE56B1B05A2AFD32EC6916C4D7	C96CCC2B5CD2B1B50AAA0E0C08816FD234189554A7295AE5E6F8FB08C40BA107	pdfimages -png from controlling authority; normalized 1-bit PNG; 1920x2850	full-page lossless extraction; 8-bit grayscale presentation derivative; no OCR; no redraw	DIPLOMATIC_FRENCH_FACSIMILE_ONLY; ENGLISH_TRANSLATED_SEPARATELY	assets/source_pages/lossless/p03.png	assets/source_pages/presentation/p03.png
FB-P004	4	61	0,0,1920,2850	FDA49730F8523EB014B9EAA4A1EDF19D26A0EC65BA338CC80F951D45B18A9FEA	CC3ED7F3B8024CAA93627D2EA18C60A69F7839D2FD9F9B2E3E8AF859C44766BB	pdfimages -png from controlling authority; normalized 1-bit PNG; 1920x2850	full-page lossless extraction; 8-bit grayscale presentation derivative; no OCR; no redraw	DIPLOMATIC_FRENCH_FACSIMILE_ONLY; ENGLISH_TRANSLATED_SEPARATELY	assets/source_pages/lossless/p04.png	assets/source_pages/presentation/p04.png
FB-P005	5	62	0,0,1920,2850	224FF2C7FABFF903F59EAFEF30DCF984DF938619B664A26CCA67A9CAAAE8D6EF	8BD6869DE5947BC9CAD143CF9CC6B207A23FE954A738D1119D94B0E6A622FA62	pdfimages -png from controlling authority; normalized 1-bit PNG; 1920x2850	full-page lossless extraction; 8-bit grayscale presentation derivative; no OCR; no redraw	DIPLOMATIC_FRENCH_FACSIMILE_ONLY; ENGLISH_TRANSLATED_SEPARATELY	assets/source_pages/lossless/p05.png	assets/source_pages/presentation/p05.png
FB-P006	6	63	0,0,1920,2850	15AFA77A191814508D969E187FD61E7BD00D9667039ABB8B467BFF33B7EA58A7	2F575F5AEB1EF32A659184B31197F6906474386106EA8F1EA53204F0FC58E487	pdfimages -png from controlling authority; normalized 1-bit PNG; 1920x2850	full-page lossless extraction; 8-bit grayscale presentation derivative; no OCR; no redraw	DIPLOMATIC_FRENCH_FACSIMILE_ONLY; ENGLISH_TRANSLATED_SEPARATELY	assets/source_pages/lossless/p06.png	assets/source_pages/presentation/p06.png
FB-P007	7	64	0,0,1920,2850	A3FE950FB694FB99C2649DF1400C95AC4F5734562824E9B7E25F6E4F86AE45BE	48E7F80E428BAC700FEAD2B4C8602F6AAB1E84F52D45588F7EC1B2FA4659B48F	pdfimages -png from controlling authority; normalized 1-bit PNG; 1920x2850	full-page lossless extraction; 8-bit grayscale presentation derivative; no OCR; no redraw	DIPLOMATIC_FRENCH_FACSIMILE_ONLY; ENGLISH_TRANSLATED_SEPARATELY	assets/source_pages/lossless/p07.png	assets/source_pages/presentation/p07.png
FB-P008	8	65	0,0,1920,2850	50B8C3017CAC8E2AC5A0D0376CAC04DC1ACA9BBF86E2B8954AB744EF0E0BF8C4	BB04C9F905D847F5C9E90FA767A1078DC9A9D5722461ED4A375AFF3305736027	pdfimages -png from controlling authority; normalized 1-bit PNG; 1920x2850	full-page lossless extraction; 8-bit grayscale presentation derivative; no OCR; no redraw	DIPLOMATIC_FRENCH_FACSIMILE_ONLY; ENGLISH_TRANSLATED_SEPARATELY	assets/source_pages/lossless/p08.png	assets/source_pages/presentation/p08.png
FB-P009	9	66	0,0,1920,2850	8CD0406AAA8629084F4422A5CA0C85060E485128E1974F582F8D0BAA97F829D9	B20069B972C642F257EE02DADC395612560D735879508EE5678402D7DC581B61	pdfimages -png from controlling authority; normalized 1-bit PNG; 1920x2850	full-page lossless extraction; 8-bit grayscale presentation derivative; no OCR; no redraw	DIPLOMATIC_FRENCH_FACSIMILE_ONLY; ENGLISH_TRANSLATED_SEPARATELY	assets/source_pages/lossless/p09.png	assets/source_pages/presentation/p09.png
FB-P010	10	67	0,0,1920,2850	304C8988D10B65819D1DADB1CE82609BA7169FC7C1E54C349BA8CD68F3ED5A74	E446C50BE7181A1B5D1CB79AE9DDF600126BB1E01E50908D441467C487412409	pdfimages -png from controlling authority; normalized 1-bit PNG; 1920x2850	full-page lossless extraction; 8-bit grayscale presentation derivative; no OCR; no redraw	DIPLOMATIC_FRENCH_FACSIMILE_ONLY; ENGLISH_TRANSLATED_SEPARATELY	assets/source_pages/lossless/p10.png	assets/source_pages/presentation/p10.png
FB-P011	11	68	0,0,1920,2850	9C66E3F76CF676BD12CD848C7D84B0EA8659D1D47BA6235A7807985DB73E28A8	91F6CEF24D9B844EA8EC9CA5A982181FE5319D803C40A70ED8EA63B71BDB0F5F	pdfimages -png from controlling authority; normalized 1-bit PNG; 1920x2850	full-page lossless extraction; 8-bit grayscale presentation derivative; no OCR; no redraw	DIPLOMATIC_FRENCH_FACSIMILE_ONLY; ENGLISH_TRANSLATED_SEPARATELY	assets/source_pages/lossless/p11.png	assets/source_pages/presentation/p11.png
FB-P012	12	69	0,0,1920,2850	605DECB5BCF668F9C49B0D2B5DB31AA0681AE712A76C7F366F31280DB6B8D971	474F5535416E4FA75FD3C613F6775216C36A9BD54A05E5FEA9510F00836394F1	pdfimages -png from controlling authority; normalized 1-bit PNG; 1920x2850	full-page lossless extraction; 8-bit grayscale presentation derivative; no OCR; no redraw	DIPLOMATIC_FRENCH_FACSIMILE_ONLY; ENGLISH_TRANSLATED_SEPARATELY	assets/source_pages/lossless/p12.png	assets/source_pages/presentation/p12.png
FB-P013	13	70	0,0,1920,2850	C8A66F6D4EC739786F7A3B67B3BB3B187165B374776A9FB60740D10DD80F42F8	58CF8F08DEE2CEC1DE59BD99255593AD25CC5068BEA33AE6B9F12E269C1B45B1	pdfimages -png from controlling authority; normalized 1-bit PNG; 1920x2850	full-page lossless extraction; 8-bit grayscale presentation derivative; no OCR; no redraw	DIPLOMATIC_FRENCH_FACSIMILE_ONLY; ENGLISH_TRANSLATED_SEPARATELY	assets/source_pages/lossless/p13.png	assets/source_pages/presentation/p13.png
