physical_page	authority_pdf_page	printed_page	printed_folio_visible	comparator_pdf_page	source_language	authorship_scope	byline_role	content_anchor	reader_copy_matter_rule
1	1	58	NO_UNNUMBERED_OPENING	1	French	PIERRE_DELIGNE_MAIN_AUTHOR__LUC_ILLUSIE_REDACTOR	MAIN_EXPOSITION	Exposé IV; full title; `par P. DELIGNE`; `(rédigé par Luc ILLUSIE) (*)`; CNRS footnote; opening scope; W=W(k)	PRESERVE_AUTHORIAL_MATTER; EXCLUDE_RUNNING_FOLIO_AS_PROSE_AND_SCANNER_OR_LIBRARY_COPY_MATTER; LOG_IN_APPARATUS
2	2	59	YES	2	French	PIERRE_DELIGNE_MAIN_AUTHOR__LUC_ILLUSIE_REDACTOR	MAIN_EXPOSITION	Section 1; Proposition 1.1; Hodge and crystalline ranks; proof begins	PRESERVE_AUTHORIAL_MATTER; EXCLUDE_RUNNING_FOLIO_AS_PROSE_AND_SCANNER_OR_LIBRARY_COPY_MATTER; LOG_IN_APPARATUS
3	3	60	YES	3	French	PIERRE_DELIGNE_MAIN_AUTHOR__LUC_ILLUSIE_REDACTOR	MAIN_EXPOSITION	Proposition 1.1 closes; Corollary 1.2; display (1.3); subsection 1.4 begins	PRESERVE_AUTHORIAL_MATTER; EXCLUDE_RUNNING_FOLIO_AS_PROSE_AND_SCANNER_OR_LIBRARY_COPY_MATTER; LOG_IN_APPARATUS
4	4	61	YES	4	French	PIERRE_DELIGNE_MAIN_AUTHOR__LUC_ILLUSIE_REDACTOR	MAIN_EXPOSITION	Subsection 1.4 continues; Proposition 1.5 and its proof	PRESERVE_AUTHORIAL_MATTER; EXCLUDE_RUNNING_FOLIO_AS_PROSE_AND_SCANNER_OR_LIBRARY_COPY_MATTER; LOG_IN_APPARATUS
5	5	62	YES	5	French	PIERRE_DELIGNE_MAIN_AUTHOR__LUC_ILLUSIE_REDACTOR	MAIN_EXPOSITION	Proposition 1.5 proof closes; Theorem 1.6 begins	PRESERVE_AUTHORIAL_MATTER; EXCLUDE_RUNNING_FOLIO_AS_PROSE_AND_SCANNER_OR_LIBRARY_COPY_MATTER; LOG_IN_APPARATUS
6	6	63	YES	6	French	PIERRE_DELIGNE_MAIN_AUTHOR__LUC_ILLUSIE_REDACTOR	MAIN_EXPOSITION	Theorem 1.6; Corollaries 1.7-1.8; Remark 1.9; Corollary 1.10 begins	PRESERVE_AUTHORIAL_MATTER; EXCLUDE_RUNNING_FOLIO_AS_PROSE_AND_SCANNER_OR_LIBRARY_COPY_MATTER; LOG_IN_APPARATUS
7	7	64	YES	7	French	PIERRE_DELIGNE_MAIN_AUTHOR__LUC_ILLUSIE_REDACTOR	MAIN_EXPOSITION	Corollary 1.10 closes; Section 2 and subsection 2.1 begin	PRESERVE_AUTHORIAL_MATTER; EXCLUDE_RUNNING_FOLIO_AS_PROSE_AND_SCANNER_OR_LIBRARY_COPY_MATTER; LOG_IN_APPARATUS
8	8	65	YES	8	French	PIERRE_DELIGNE_MAIN_AUTHOR__LUC_ILLUSIE_REDACTOR	MAIN_EXPOSITION	Proposition 2.2; subsection 2.3 Gauss-Manin and Hodge setup	PRESERVE_AUTHORIAL_MATTER; EXCLUDE_RUNNING_FOLIO_AS_PROSE_AND_SCANNER_OR_LIBRARY_COPY_MATTER; LOG_IN_APPARATUS
9	9	66	YES	9	French	PIERRE_DELIGNE_MAIN_AUTHOR__LUC_ILLUSIE_REDACTOR	MAIN_EXPOSITION	Subsection 2.3; connection, filtration, cup-product, and numbered displays	PRESERVE_AUTHORIAL_MATTER; EXCLUDE_RUNNING_FOLIO_AS_PROSE_AND_SCANNER_OR_LIBRARY_COPY_MATTER; LOG_IN_APPARATUS
10	10	67	YES	10	French	PIERRE_DELIGNE_MAIN_AUTHOR__LUC_ILLUSIE_REDACTOR	MAIN_EXPOSITION	Subsection 2.3; graded connection, Kodaira-Spencer, duality, and displays	PRESERVE_AUTHORIAL_MATTER; EXCLUDE_RUNNING_FOLIO_AS_PROSE_AND_SCANNER_OR_LIBRARY_COPY_MATTER; LOG_IN_APPARATUS
11	11	68	YES	11	French	PIERRE_DELIGNE_MAIN_AUTHOR__LUC_ILLUSIE_REDACTOR	MAIN_EXPOSITION	Proposition 2.4 and proof; exact displayed maps and indices	PRESERVE_AUTHORIAL_MATTER; EXCLUDE_RUNNING_FOLIO_AS_PROSE_AND_SCANNER_OR_LIBRARY_COPY_MATTER; LOG_IN_APPARATUS
12	12	69	YES	12	French	PIERRE_DELIGNE_MAIN_AUTHOR__LUC_ILLUSIE_REDACTOR	MAIN_EXPOSITION	Proposition 2.4 proof closes; Corollary 2.4.3; subsection 2.5 begins	PRESERVE_AUTHORIAL_MATTER; EXCLUDE_RUNNING_FOLIO_AS_PROSE_AND_SCANNER_OR_LIBRARY_COPY_MATTER; LOG_IN_APPARATUS
13	13	70	YES	13	French	PIERRE_DELIGNE_MAIN_AUTHOR__LUC_ILLUSIE_REDACTOR	MAIN_EXPOSITION	Subsection 2.5 Frobenius continuation; Proposition 2.6 begins	PRESERVE_AUTHORIAL_MATTER; EXCLUDE_RUNNING_FOLIO_AS_PROSE_AND_SCANNER_OR_LIBRARY_COPY_MATTER; LOG_IN_APPARATUS
14	14	71	YES	14	French	PIERRE_DELIGNE_MAIN_AUTHOR__LUC_ILLUSIE_REDACTOR	MAIN_EXPOSITION	Proposition 2.6 and proof; Hodge/conjugate spectral-sequence displays	PRESERVE_AUTHORIAL_MATTER; EXCLUDE_RUNNING_FOLIO_AS_PROSE_AND_SCANNER_OR_LIBRARY_COPY_MATTER; LOG_IN_APPARATUS
