authority_pdf_page	source_volume_page	paper_folio	archive_path	finding	disposition
1	245	245	batch06_current/tex/Paper_23_cleaned.tex	Broad prose agrees, but the candidate inserts an unprinted Introduction heading, converts numerical citations to internal keys, and does not preserve the printed byline/star structure exactly.	ZERO_ACCEPTED_RETAINED; PAGE_LOCAL_AGREEMENTS_ONLY; WHOLESALE_PROMOTION_REJECTED
1	245	245	old_recombined_qc/tex/Paper_23_original.tex	Broad prose agrees, but the candidate inserts an unprinted Introduction heading, converts numerical citations to internal keys, and does not preserve the printed byline/star structure exactly.	ZERO_ACCEPTED_RETAINED; PAGE_LOCAL_AGREEMENTS_ONLY; WHOLESALE_PROMOTION_REJECTED
2	246	246	batch06_current/tex/Paper_23_cleaned.tex	Broad prose agrees; the candidate adds unprinted rho/i arrow labels, inserts an unsupported malformed d^c expression, and drops the prime on y-prime in hypothesis (2).	ZERO_ACCEPTED_RETAINED; PAGE_LOCAL_AGREEMENTS_ONLY; WHOLESALE_PROMOTION_REJECTED
2	246	246	old_recombined_qc/tex/Paper_23_original.tex	Broad prose agrees; the candidate adds unprinted rho/i arrow labels, inserts an unsupported malformed d^c expression, and drops the prime on y-prime in hypothesis (2).	ZERO_ACCEPTED_RETAINED; PAGE_LOCAL_AGREEMENTS_ONLY; WHOLESALE_PROMOTION_REJECTED
3	247	247	batch06_current/tex/Paper_23_cleaned.tex	Broad prose agrees; the candidate omits the tensor-R factor in item (b), adds Delta_{d^c} to the page’s three-term identity, and normalizes the printed word simplical.	ZERO_ACCEPTED_RETAINED; PAGE_LOCAL_AGREEMENTS_ONLY; WHOLESALE_PROMOTION_REJECTED
3	247	247	old_recombined_qc/tex/Paper_23_original.tex	Broad prose agrees; the candidate omits the tensor-R factor in item (b), adds Delta_{d^c} to the page’s three-term identity, and normalizes the printed word simplical.	ZERO_ACCEPTED_RETAINED; PAGE_LOCAL_AGREEMENTS_ONLY; WHOLESALE_PROMOTION_REJECTED
4	248	248	batch06_current/tex/Paper_23_cleaned.tex	Broad prose agrees; the candidate changes the authority’s E_1/d_1 preview to E_2/d_2 and states that d, rather than the algebra A, is graded commutative.	ZERO_ACCEPTED_RETAINED; PAGE_LOCAL_AGREEMENTS_ONLY; WHOLESALE_PROMOTION_REJECTED
4	248	248	old_recombined_qc/tex/Paper_23_original.tex	Broad prose agrees; the candidate changes the authority’s E_1/d_1 preview to E_2/d_2 and states that d, rather than the algebra A, is graded commutative.	ZERO_ACCEPTED_RETAINED; PAGE_LOCAL_AGREEMENTS_ONLY; WHOLESALE_PROMOTION_REJECTED
5	249	249	batch06_current/tex/Paper_23_cleaned.tex	The candidate substitutes A(V_n) for Lambda(V_n), uses M instead of B in the elementary extension, changes i>=0 to i>0, and replaces M^1/M^(2) notation with different indices.	ZERO_ACCEPTED_RETAINED; PAGE_LOCAL_AGREEMENTS_ONLY; WHOLESALE_PROMOTION_REJECTED
5	249	249	old_recombined_qc/tex/Paper_23_original.tex	The candidate substitutes A(V_n) for Lambda(V_n), uses M instead of B in the elementary extension, changes i>=0 to i>0, and replaces M^1/M^(2) notation with different indices.	ZERO_ACCEPTED_RETAINED; PAGE_LOCAL_AGREEMENTS_ONLY; WHOLESALE_PROMOTION_REJECTED
6	250	250	batch06_current/tex/Paper_23_cleaned.tex	The candidate substantially rewrites the canonical-series and dual-Lie-algebra notation (K, L_K, L^i, L_1^n) and silently corrects the authority’s printed “for M” anomaly.	ZERO_ACCEPTED_RETAINED; PAGE_LOCAL_AGREEMENTS_ONLY; WHOLESALE_PROMOTION_REJECTED
6	250	250	old_recombined_qc/tex/Paper_23_original.tex	The candidate substantially rewrites the canonical-series and dual-Lie-algebra notation (K, L_K, L^i, L_1^n) and silently corrects the authority’s printed “for M” anomaly.	ZERO_ACCEPTED_RETAINED; PAGE_LOCAL_AGREEMENTS_ONLY; WHOLESALE_PROMOTION_REJECTED
7	251	251	batch06_current/tex/Paper_23_cleaned.tex	Broad prose agrees, but the candidate changes the authority's pi_* notation and does not reliably preserve the printed tensor/differential decoration in the sphere and projective-space models.	ZERO_ACCEPTED_RETAINED; PAGE_LOCAL_AGREEMENTS_ONLY; WHOLESALE_PROMOTION_REJECTED
7	251	251	old_recombined_qc/tex/Paper_23_original.tex	Broad prose agrees, but the candidate changes the authority's pi_* notation and does not reliably preserve the printed tensor/differential decoration in the sphere and projective-space models.	ZERO_ACCEPTED_RETAINED; PAGE_LOCAL_AGREEMENTS_ONLY; WHOLESALE_PROMOTION_REJECTED
7	251	251	diagram_witness/images/D023_p007_diag01.png	Page-local diagram witness compared only after source freeze; placement is informative, but every symbol, arrow, and relation was independently resolved against the controlling authority raster.	ZERO_ACCEPTED_RETAINED; COMPARISON_ONLY; NO_IMAGE_OR_SYMBOL_PROMOTED
8	252	252	batch06_current/tex/Paper_23_cleaned.tex	Broad prose agrees, but the candidate reverses labels in Theorem 1.2 and substitutes e(x) for the authority's alpha(x) in the obstruction formula.	ZERO_ACCEPTED_RETAINED; PAGE_LOCAL_AGREEMENTS_ONLY; WHOLESALE_PROMOTION_REJECTED
8	252	252	old_recombined_qc/tex/Paper_23_original.tex	Broad prose agrees, but the candidate reverses labels in Theorem 1.2 and substitutes e(x) for the authority's alpha(x) in the obstruction formula.	ZERO_ACCEPTED_RETAINED; PAGE_LOCAL_AGREEMENTS_ONLY; WHOLESALE_PROMOTION_REJECTED
8	252	252	diagram_witness/images/D023_p008_diag01.png	Page-local diagram witness compared only after source freeze; placement is informative, but every symbol, arrow, and relation was independently resolved against the controlling authority raster.	ZERO_ACCEPTED_RETAINED; COMPARISON_ONLY; NO_IMAGE_OR_SYMBOL_PROMOTED
9	253	253	batch06_current/tex/Paper_23_cleaned.tex	Broad prose agrees, but the candidate misreads the tilde-over-plus pasting operator and rewrites the Hopf-invariant symbols instead of preserving bar-u, bar-y, and f-star.	ZERO_ACCEPTED_RETAINED; PAGE_LOCAL_AGREEMENTS_ONLY; WHOLESALE_PROMOTION_REJECTED
9	253	253	old_recombined_qc/tex/Paper_23_original.tex	Broad prose agrees, but the candidate misreads the tilde-over-plus pasting operator and rewrites the Hopf-invariant symbols instead of preserving bar-u, bar-y, and f-star.	ZERO_ACCEPTED_RETAINED; PAGE_LOCAL_AGREEMENTS_ONLY; WHOLESALE_PROMOTION_REJECTED
9	253	253	diagram_witness/images/D023_p009_diag01.png	Page-local diagram witness compared only after source freeze; placement is informative, but every symbol, arrow, and relation was independently resolved against the controlling authority raster.	ZERO_ACCEPTED_RETAINED; COMPARISON_ONLY; NO_IMAGE_OR_SYMBOL_PROMOTED
10	254	254	batch06_current/tex/Paper_23_cleaned.tex	Broad prose agrees, but the candidate silently repairs the authority's printed M_N-to-M_N anomaly and does not preserve all lower-central-series placement and footnote detail.	ZERO_ACCEPTED_RETAINED; PAGE_LOCAL_AGREEMENTS_ONLY; WHOLESALE_PROMOTION_REJECTED
10	254	254	old_recombined_qc/tex/Paper_23_original.tex	Broad prose agrees, but the candidate silently repairs the authority's printed M_N-to-M_N anomaly and does not preserve all lower-central-series placement and footnote detail.	ZERO_ACCEPTED_RETAINED; PAGE_LOCAL_AGREEMENTS_ONLY; WHOLESALE_PROMOTION_REJECTED
10	254	254	diagram_witness/images/D023_p010_diag01.png	Page-local diagram witness compared only after source freeze; placement is informative, but every symbol, arrow, and relation was independently resolved against the controlling authority raster.	ZERO_ACCEPTED_RETAINED; COMPARISON_ONLY; NO_IMAGE_OR_SYMBOL_PROMOTED
11	255	255	batch06_current/tex/Paper_23_cleaned.tex	Broad prose agrees, but the candidate normalizes printed wording and drops subscripts and superscripts in the polynomial-form, Stokes, and nilpotent-tower formulas.	ZERO_ACCEPTED_RETAINED; PAGE_LOCAL_AGREEMENTS_ONLY; WHOLESALE_PROMOTION_REJECTED
