"decision_id","source_locator","exact_german_phrase","concept_scope","zh_hans_cn_choice","sense_window","excluded_senses","alternatives_considered","lexical_attractor_basin","mandarin_simplified_dominance_risk_debt","evidence_class","controlled_hant_form","controlled_hant_status","independent_check_status","producer_note"
"P39-ZH-T001","§1 title and first paragraph","Hyperkomplexe Systeme","Noether's historical finite-dimensional algebraic systems, immediately glossed as Algebren","超复系统","Use only for the historical algebraic umbrella in this paper and preserve the opening apposition to 代数","Do not read as hypercomplex analysis, a computing system, or a generic very-complex system","超复数系; 超复代数系统; 泛复系统","modern Sino-xenic coinage/calque","The inherited Hans form may overdefine the shelf; its familiarity in Mandarin Simplified Chinese does not authorize regional Hant prose","producer editorial choice plus inherited translation witness; independent check pending","超複系統","controlled-generic character-form candidate only; not Taiwan-, Hong Kong-, or Macao-localized; independent check pending","absent; producer record only; not validated or ready","Retain the historical title wording provisionally because it matches the inherited witness and the paper's own gloss"
"P39-ZH-T002","§2 first paragraph; §3 after display (4)","einfache normale Algebra","Historical algebra term for a simple normal algebra over the stated base field, in context later represented by a full matrix ring over a division algebra","中心单代数","Read as the historical structural algebra notion used in the crossed-product discussion","Exclude a simple algebraic extension, a normal field extension, and the everyday sense of normal","单纯正规代数; 中心单纯代数; 简单正规代数; 单纯中心代数","mixed/contested","The frozen target uses the modernizing 中心单代数 form; that exact choice does not authorize a claim about every regional Hant convention.","exact frozen target form plus independent checker source/target comparison","中心單代數","controlled-generic character form matching the corrected target; not TW/HK/MO localized","checker-confirmed as the exact frozen target form; final package disposition remains separate","Reconciled to the form actually present in the frozen target; the prior row incorrectly described the unimplemented literal witness wording as the producer choice"
"P39-ZH-T003","§1 first paragraph; §3 opening sentence; §5 opening and theorem label","Hauptgeschlechtssatz | Hauptgeschlechtsatz","Principal genus theorem in quadratic-form, class-field, and invariant ideal-class formulations","主属定理","属 is the arithmetic genus/class-theory notion; retain one Chinese form across the source's two German spellings","Exclude biological genus, a main category, and Hauptsatz without Geschlecht","主类定理; 主种定理; 主属定律","modern Sino-xenic coinage/calque","主属 is inherited through the Hans shelf and may crowd out historically or regionally preferred terminology; controlled Hant is not evidence of Taiwan/Hong Kong/Macao usage","producer editorial choice plus inherited translation witness; independent check pending","主屬定理","controlled-generic character-form candidate only; not regionally localized; independent check pending","absent; producer record only; not validated or ready","Treat the source's Hauptgeschlechtsatz spelling as the same concept, not as authority to invent a second Chinese term"
"P39-ZH-T004","§1 first paragraph; §3 opening sentence; §4 opening and theorem statement","Normensatz","The local-global norm theorem as reformulated via splitting of algebras","范数定理","范数 denotes the field norm in cyclic and number-field contexts throughout this paper","Exclude analytic vector norm, a mere numerical magnitude, and a generic standard or rule","诺姆定理; 模定理; 范式定理","modern Sino-xenic coinage/calque","The Hans form 范数 is a strong Mandarin lexical attractor and may not encode all historical or regional preferences; no cross-regional authorization follows","producer editorial choice plus inherited translation witness; independent check pending","範數定理","controlled-generic character-form candidate only; not regionally localized; independent check pending","absent; producer record only; not validated or ready","Keep consistent with 范数/范数剩余/范数剩余符号 family"
"P39-ZH-T005","§2 first paragraph; §3 definition and displays (1)-(5)","verschränktes Produkt","Crossed product algebra simultaneously embedding a Galois field and its group with twisted multiplication","交叉积","Use for the algebra construction determined by the group action and factor system","Exclude Cartesian product, direct product, tensor product, cross product of vectors, and semidirect product of groups","扭曲积; 交错积; 叉积; 半直积","modern Sino-xenic coinage/calque","交叉积 is inherited Hans wording and may suppress competing Chinese conventions; Hant character conversion alone cannot settle a regional term","producer editorial choice plus inherited translation witness; independent check pending","交叉積","controlled-generic character-form candidate only; not Taiwan-, Hong Kong-, or Macao-localized; independent check pending","absent; producer record only; not validated or ready","Preserve one term in noun and attributive uses, including 交叉积方法"
"P39-ZH-T006","§2 first paragraph; §3 displays (3)-(5); §5 throughout","Faktorensystem | Faktorensysteme","The multiplicative factor set/cocycle data a_{S,T} controlling crossed-product multiplication and its classes","因子系","系 denotes the indexed multiplicative system, not an individual scalar factor","Exclude factorization system, a list of divisors, a coefficient system without cocycle law, and an engineering factor system","因子组; 因子集; 因子系统; 乘子系","modern Sino-xenic coinage/calque","The compact Hans form 因子系 may be opaque outside the inherited shelf and may be mistaken for 因子系统; regional Hant terminology remains unestablished","producer editorial choice plus inherited translation witness; independent check pending","因子系","controlled-generic same-character candidate only; identical script does not establish regional localization; independent check pending","absent; producer record only; not validated or ready","Apply to element and ideal factor systems; preserve the class distinction explicitly in prose"
"P39-ZH-T007","§3 after display (4); §4 heading and cyclic specialization","Zerfällungskörper","A field over which the algebra becomes a full matrix algebra; K is also a maximal commutative subfield in the stated construction","分裂域","Use for the splitting field of an algebra in this paper's Brauer-theoretic context","Exclude a decomposition field in prime-decomposition terminology, a field that merely factors a polynomial, and a rupture domain","劈裂域; 分解域; 裂解域","modern Sino-xenic coinage/calque","分裂域 is strongly conventional-looking in Hans but may blur algebra-splitting versus polynomial-splitting senses; the controlled Hant record does not resolve local usage","producer editorial choice plus inherited translation witness; independent check pending","分裂域","controlled-generic same-character candidate only; not regionally localized; independent check pending","absent; producer record only; not validated or ready","Keep the associated verb zerfallen as 分裂 to preserve the concept family"
"P39-ZH-T008","§3 paragraph after display (5)","alle zu \(A\) ähnlichen Algebren | in eine Klasse \(\mathfrak A\)","Brauer similarity/equivalence of matrix algebras D_r over the same associated division algebra, and the resulting algebra class","相似代数／代数类","相似 is a technical equivalence relation here; 代数类 names the equivalence class under that relation","Exclude ordinary resemblance, matrix similarity by conjugation alone, algebra isomorphism, and a pedagogical class of algebras","等价代数／代数等价类; 同类代数／代数类; Brauer 等价代数／Brauer 类","mixed/contested","相似代数 is a Mandarin-derived literal attractor whose technical range may differ across traditions; Hant conversion is only a control and does not validate it","producer editorial choice plus inherited translation witness; independent check pending","相似代數／代數類","controlled-generic character-form candidates only; Brauer-equivalence wording unresolved; not regionally localized; independent check pending","absent; producer record only; not validated or ready","Use the paired form so the relation and its class are not collapsed into one label"
"P39-ZH-T009","§2 second paragraph and Hasse footnote","Normenrestsymbol","Hasse's norm-residue symbol in the reciprocity-law discussion","范数剩余符号","Treat as one established-looking compound naming an arithmetic symbol tied to local norm-residue data","Exclude a remainder after numerical division, a residual norm in analysis, and an informal notation for a norm","范数剩余象征; 诺姆剩余符号; 范数残余符号","modern Sino-xenic coinage/calque","Every component is a strong Hans mathematical attractor; the composite may not reflect Taiwan/Hong Kong/Macao usage and remains independently unchecked","producer editorial choice plus inherited translation witness; independent check pending","範數剩餘符號","controlled-generic character-form candidate only; not regionally localized; independent check pending","absent; producer record only; not validated or ready","Keep aligned with 范数剩余 and 范数定理"
"P39-ZH-T010","§2 third and fourth paragraphs","Galoismodul | Galoismoduln","A module over the base field carrying the Galois-group substitutions as operators","伽罗瓦模","Use for the operator module structure assigned to the Galois field, not merely any module associated with a Galois object","Exclude modulus in arithmetic, a modular residue, a Galois representation without the stated module structure, and a software module","Galois 模; 伽罗华模; 伽罗瓦模块","mixed/contested","The inherited transcription 伽罗瓦 reflects a Mandarin Simplified naming convention; Hant conversion cannot establish a regional personal-name convention","producer editorial choice plus inherited translation witness; independent check pending","伽羅瓦模","controlled-generic character-form candidate only; personal-name convention and regional prose are unresolved; independent check pending","absent; producer record only; not validated or ready","Retain short 模 rather than 模块 because the local sentence defines the algebraic sense"
