"branch_head","language_gate","ledger_class","witness_measure_basis","marginal_intelligibility_status","source_use_status","adverse_or_do_not_use_boundary","branch_weight_note"
"212dfb1c7728f7c23274714434aa35d590e1aab7","ar","branch-weight/source-use/adverse-evidence","native=87;ocr=29;witness=0;resolved_draft=61;unresolved=2;blockers=6","not promoted; owner-lane/reviewer authority required","source-backed draft support permitted for resolved rows only","gate-separated; no cross-language authorization","counts are evidence-routing weights, not acceptance or completion scores"
"212dfb1c7728f7c23274714434aa35d590e1aab7","fa_IR","branch-weight/source-use/adverse-evidence","native=21;ocr=6;witness=0;resolved_draft=72;unresolved=2;blockers=0","not promoted; owner-lane/reviewer authority required","source-backed draft support permitted for resolved rows only","gate-separated; no cross-language authorization","counts are evidence-routing weights, not acceptance or completion scores"
"212dfb1c7728f7c23274714434aa35d590e1aab7","prs_AF","branch-weight/source-use/adverse-evidence","native=11;ocr=3;witness=0;resolved_draft=0;unresolved=1;blockers=1","not promoted; owner-lane/reviewer authority required","source-body or witness present; draft expansion blocked or pending","gate-separated; no cross-language authorization","counts are evidence-routing weights, not acceptance or completion scores"
"212dfb1c7728f7c23274714434aa35d590e1aab7","tg_Cyrl_TJ","branch-weight/source-use/adverse-evidence","native=19;ocr=6;witness=0;resolved_draft=0;unresolved=2;blockers=1","not promoted; owner-lane/reviewer authority required","source-body or witness present; draft expansion blocked or pending","gate-separated; no cross-language authorization","counts are evidence-routing weights, not acceptance or completion scores"
"212dfb1c7728f7c23274714434aa35d590e1aab7","ur_Arab","branch-weight/source-use/adverse-evidence","native=0;ocr=0;witness=14;resolved_draft=15;unresolved=0;blockers=3","not promoted; owner-lane/reviewer authority required","source-backed draft support permitted for resolved rows only","gate-separated; no cross-language authorization","counts are evidence-routing weights, not acceptance or completion scores"
"212dfb1c7728f7c23274714434aa35d590e1aab7","ota_Arab","branch-weight/source-use/adverse-evidence","native=0;ocr=0;witness=7;resolved_draft=0;unresolved=0;blockers=3","not promoted; owner-lane/reviewer authority required","source-body or witness present; draft expansion blocked or pending","gate-separated; no cross-language authorization","counts are evidence-routing weights, not acceptance or completion scores"
"212dfb1c7728f7c23274714434aa35d590e1aab7","ug_Arab","branch-weight/source-use/adverse-evidence","native=18;ocr=0;witness=0;resolved_draft=0;unresolved=1;blockers=0","not promoted; owner-lane/reviewer authority required","source-body or witness present; draft expansion blocked or pending","gate-separated; no cross-language authorization","counts are evidence-routing weights, not acceptance or completion scores"
"212dfb1c7728f7c23274714434aa35d590e1aab7","tr_Latn","branch-weight/source-use/adverse-evidence","native=4;ocr=0;witness=0;resolved_draft=0;unresolved=0;blockers=0","not promoted; owner-lane/reviewer authority required","source-body or witness present; draft expansion blocked or pending","gate-separated; no cross-language authorization","counts are evidence-routing weights, not acceptance or completion scores"
"212dfb1c7728f7c23274714434aa35d590e1aab7","Hindustani","branch-weight/source-use/adverse-evidence","native=0;ocr=0;witness=0;resolved_draft=0;unresolved=0;blockers=0","not promoted; owner-lane/reviewer authority required","source-canon gap","gate-separated; no cross-language authorization","counts are evidence-routing weights, not acceptance or completion scores"
"212dfb1c7728f7c23274714434aa35d590e1aab7","Pan-Turkic","branch-weight/source-use/adverse-evidence","native=0;ocr=0;witness=0;resolved_draft=0;unresolved=0;blockers=0","not promoted; owner-lane/reviewer authority required","source-canon gap","gate-separated; no cross-language authorization","counts are evidence-routing weights, not acceptance or completion scores"
