priority,id,target,format,action,notes
P0,P0-01,arXiv 1711.02508 Solà ESKF,standalone TeX paper,complete source-preserved Ukrainian translation,"Start from Abstract, Quaternion, ErrorState, Noise, kinematics"
P0,P0-02,arXiv 1812.01537 micro Lie theory,standalone TeX paper,complete source-preserved Ukrainian translation,"Translate SO3, SE3, Jacobians, perturbation conventions first"
P0,P0-03,Labbe Kalman book,notebook-to-md/tex,"translate Gaussian, Discrete Bayes, 1D Kalman, multivariate Kalman",Do not keep notebook outputs unless pedagogically necessary
P0,P0-04,PySDR Ukrainian RST,RST-to-TeX QA,convert and QA sampling/frequency_domain/filters/IQ/modulation,"Existing Ukrainian lane means QA first, not retranslation"
P0,P0-05,auxiliary local run SDR survey 1804.06564,patched standalone TeX + glossary,compile patched version and extract stable SDR terms,Full dated platform catalog remains deferred
P0,P0-06,auxiliary local run antenna Maxwell modules,standalone TeX wrapper + glossary,compile macro-independent wrapper and translate plane-wave/radiation next,Peeter Joot custom macros require wrapper or copied sty files
P0,P0-07,auxiliary local run sensor fusion 2506.19769,patched standalone TeX + glossary,compile patched project and extract sensor-fusion glossary,Full paper already translated; now QA and glossary
P1,P1-01,Zuazua wave 2402.17894 chapter 1,standalone wrapper,compile chapter 1 and defer chapter 2 until PDE/FDM bridge,Useful for control/PDE lane
P1,P1-02,Introduction to Autonomous Robots,book TeX chapter-select,"translate coordinate frames, kinematics, sensors, localization, control",Connect with Lie/ESKF modules
P1,P1-03,FDM/FEM sources,DocOnce/TeX chapter-select,"translate grids, CFL, heat/wave equations, FEM weak forms",Add manufactured-solution checks
P1,P1-04,Open Optimization,TeX chapter-select,"least squares, LP/QP/NLP basics",Coordinate with matrix derivatives chapter
