file,role,sha256,bytes,pages,editable_source_count,candidate_payload,archive_disposition,authority_scope,license_or_attribution_caveat,concept_doi,current_public_version,supersedes
evidence/build/BUILD_AND_VALIDATION.md,build and validation summary,D1324535D9CFE5A873C01A8A249E611A382F76C09B0369421847C6B2A19605B8,3227,,,YES_BOUNDED_CHECKPOINT,ARCHIVE_OWNER_REVIEW_REQUIRED; SAME_CONCEPT_CORRECTION_ONLY,idx663--684 promoted; whole reader remains layered; next cursor idx685,Underlying-source and inherited-English rights unresolved; inherited translator/model unnamed; human editorial credit and machine-assistance disclosure required,10.5281/zenodo.20410947,10.5281/zenodo.21430251,
evidence/build/COMPLETE_BUILD_PASS1_PUBLIC.log,privacy-safe compile evidence transcript,93598B81629031316C1592E7921E6798B72717970E94D9629F7D61FB38D09D10,777,,,YES_BOUNDED_CHECKPOINT,ARCHIVE_OWNER_REVIEW_REQUIRED; SAME_CONCEPT_CORRECTION_ONLY,idx663--684 promoted; whole reader remains layered; next cursor idx685,Underlying-source and inherited-English rights unresolved; inherited translator/model unnamed; human editorial credit and machine-assistance disclosure required,10.5281/zenodo.20410947,10.5281/zenodo.21430251,
evidence/build/COMPLETE_BUILD_PASS2_PUBLIC.log,privacy-safe compile evidence transcript,3B7EC18F1140F708E7E10FFA818F44E03D7CDE068F787FDBD75C6234C378C53D,788,,,YES_BOUNDED_CHECKPOINT,ARCHIVE_OWNER_REVIEW_REQUIRED; SAME_CONCEPT_CORRECTION_ONLY,idx663--684 promoted; whole reader remains layered; next cursor idx685,Underlying-source and inherited-English rights unresolved; inherited translator/model unnamed; human editorial credit and machine-assistance disclosure required,10.5281/zenodo.20410947,10.5281/zenodo.21430251,
evidence/build/COMPLETE_BUILD_VALIDATION_PUBLIC.json,build validation evidence,6BD4D7BA44D4D354A29C1CF3CECEFFB8BA1EF2E56A6DEFB6BC7A89C359FD4A5F,1128,,,YES_BOUNDED_CHECKPOINT,ARCHIVE_OWNER_REVIEW_REQUIRED; SAME_CONCEPT_CORRECTION_ONLY,idx663--684 promoted; whole reader remains layered; next cursor idx685,Underlying-source and inherited-English rights unresolved; inherited translator/model unnamed; human editorial credit and machine-assistance disclosure required,10.5281/zenodo.20410947,10.5281/zenodo.21430251,
evidence/build/PUBLIC_SOURCE_REBUILD_VERIFICATION.md,checkpoint documentation,290E5F7AD81846C5A138E300306DB68DD40D39ADFA81FD3367AECCF2A3288242,1143,,,YES_BOUNDED_CHECKPOINT,ARCHIVE_OWNER_REVIEW_REQUIRED; SAME_CONCEPT_CORRECTION_ONLY,idx663--684 promoted; whole reader remains layered; next cursor idx685,Underlying-source and inherited-English rights unresolved; inherited translator/model unnamed; human editorial credit and machine-assistance disclosure required,10.5281/zenodo.20410947,10.5281/zenodo.21430251,
evidence/PRIVACY_AND_PUBLIC_LANGUAGE_AUDIT.md,checkpoint documentation,600BB10E7BF4B17B2D58903983EDC40A7688C43E12BC2F1270C5EB57D8F89119,1746,,,YES_BOUNDED_CHECKPOINT,ARCHIVE_OWNER_REVIEW_REQUIRED; SAME_CONCEPT_CORRECTION_ONLY,idx663--684 promoted; whole reader remains layered; next cursor idx685,Underlying-source and inherited-English rights unresolved; inherited translator/model unnamed; human editorial credit and machine-assistance disclosure required,10.5281/zenodo.20410947,10.5281/zenodo.21430251,
evidence/render/CONTACT_SHEET_01.png,rendered visual-QA evidence,56D3D8357F6E9A164E048EC19A465ED54D8C0BC964F484CF2F7F0EEFA76C72E2,526776,,,YES_BOUNDED_CHECKPOINT,ARCHIVE_OWNER_REVIEW_REQUIRED; SAME_CONCEPT_CORRECTION_ONLY,idx663--684 promoted; whole reader remains layered; next cursor idx685,Underlying-source and inherited-English rights unresolved; inherited translator/model unnamed; human editorial credit and machine-assistance disclosure required,10.5281/zenodo.20410947,10.5281/zenodo.21430251,
evidence/render/CONTACT_SHEET_02.png,rendered visual-QA evidence,51C5A0213A90E24915EAF7BCB4C4C90B3E9FD85719B3826395913AC99AFA32C5,541857,,,YES_BOUNDED_CHECKPOINT,ARCHIVE_OWNER_REVIEW_REQUIRED; SAME_CONCEPT_CORRECTION_ONLY,idx663--684 promoted; whole reader remains layered; next cursor idx685,Underlying-source and inherited-English rights unresolved; inherited translator/model unnamed; human editorial credit and machine-assistance disclosure required,10.5281/zenodo.20410947,10.5281/zenodo.21430251,
evidence/render/CONTACT_SHEET_03.png,rendered visual-QA evidence,948C8C228C50D42BD94849E5D955F4E93668C2C2FB37675575A15EFC3471630C,617797,,,YES_BOUNDED_CHECKPOINT,ARCHIVE_OWNER_REVIEW_REQUIRED; SAME_CONCEPT_CORRECTION_ONLY,idx663--684 promoted; whole reader remains layered; next cursor idx685,Underlying-source and inherited-English rights unresolved; inherited translator/model unnamed; human editorial credit and machine-assistance disclosure required,10.5281/zenodo.20410947,10.5281/zenodo.21430251,
evidence/render/CONTACT_SHEET_04.png,rendered visual-QA evidence,E786059DC16C84DF3CA4E3888C7E4F4D374DF032D7262086117EB11B0CF8DF29,309977,,,YES_BOUNDED_CHECKPOINT,ARCHIVE_OWNER_REVIEW_REQUIRED; SAME_CONCEPT_CORRECTION_ONLY,idx663--684 promoted; whole reader remains layered; next cursor idx685,Underlying-source and inherited-English rights unresolved; inherited translator/model unnamed; human editorial credit and machine-assistance disclosure required,10.5281/zenodo.20410947,10.5281/zenodo.21430251,
evidence/render/full_reader_pages349_362/full_reader_page_349.png,rendered visual-QA evidence,73D60782E542D23D7422FD660981A1783E8C503398E2D7DA6F8C69D0461026E3,389524,,,YES_BOUNDED_CHECKPOINT,ARCHIVE_OWNER_REVIEW_REQUIRED; SAME_CONCEPT_CORRECTION_ONLY,idx663--684 promoted; whole reader remains layered; next cursor idx685,Underlying-source and inherited-English rights unresolved; inherited translator/model unnamed; human editorial credit and machine-assistance disclosure required,10.5281/zenodo.20410947,10.5281/zenodo.21430251,
