id,location,category,prior_english,current_english,authority,evidence,status
N03-001,"section title","source punctuation","title without final period","title with final period","original GDZ p. 101 and R823","printed title ends with a period before note 1","applied"
N03-002,"section title note","source apparatus","ordinary title footnote","page-qualified source note 101:1","original GDZ p. 101 and R823","lecture note is attached to the printed title","applied"
N03-003,"author block","source apparatus","byline omitted","By Emmy Noether in Erlangen restored with small capitals","original GDZ p. 101 and R823","printed author block is part of Paper 3","applied"
N03-004,"all six notes","source apparatus","ordinary continuous footnote sequence","printed local labels preserved as page-qualified 101:1 through 104:1 markers","original GDZ pp. 101-104 and R823","page qualification prevents repeated source labels from becoming ambiguous after reflow","applied"
N03-005,"opening paragraph","English semantics","connection among forms","interrelations among the forms","German source plus editorial review","Formenzusammenhang denotes the structural relations being investigated","applied"
N03-006,"fundamental-theorem and matrix paragraphs","controlled terminology","invariant formations","invariant constructions","German source plus mathematical English review","Bildung denotes a produced invariant expression or construction rather than mere formation","applied"
N03-007,"n-ary limitation paragraph","English idiom","holds only in a conditional measure","holds only with qualifications","German source plus editorial review","nur in bedingtem Maße limits the theorem rather than introducing a conditional measure","applied"
N03-008,"all minor loci","mathematical terminology","subdeterminants","minors","German source plus standard mathematical English","Unterdeterminanten are determinants of submatrices","applied"
N03-009,"determinant-aggregate paragraph","English semantics","have real meaning","have genuine significance","German source plus editorial review","reale Bedeutung concerns invariant-theoretic significance rather than numerical reality","applied"
N03-010,"determinant-aggregate paragraph","English idiom","which aggregates accomplish this cannot be surveyed","there is no systematic way to tell which determinant aggregates have this property","German source plus editorial review","lässt sich nicht übersehen expresses lack of a surveyable criterion","applied"
N03-011,"four theorem and adverb loci","source emphasis","all source emphasis flattened","all four printed italic loci restored with exact semantic boundaries","direct original GDZ pp. 102-104 audit with R621 as partial control","the first article remains roman; the converse includes that; the defect-1 theorem includes then; the standalone adverb explicitly remains emphasized; R621 omits that standalone adverb","applied-primary-override"
N03-012,"corresponding-matrices theorem","English semantics","corresponds uniquely another row","is in one-to-one correspondence with another row","German source plus editorial review","ein-eindeutig asserts a one-to-one correspondence rather than uniqueness on only one side","applied"
N03-013,"formula (1)","source-locked notation and placement","right-numbered vertical-bar matrix product and lambda range","same source formula with one-line left-numbered layout","original GDZ p. 103 R823 and RA57","symbols and source-left number placement are preserved","applied"
N03-014,"formula (2) right side","mathematical correction","risk of standalone regression q_(n-rho_i+1)","global q_(n-rho+1)","original GDZ p. 103 R823 and RA10 control","the q index depends on total rho not rho_i","applied-regression-veto"
N03-015,"formula (2) right side","source-locked punctuation","vertical-bar pair inherited in RA10","comma-paired parenthetical expression","original GDZ p. 103 and R823","the printed right side uses comma pairing rather than the matrix-product bar","applied"
N03-016,"formula (2) constraint","mathematical correction","rho=sum rho_i<n","rho=sum rho_i<=n","original GDZ p. 103 R823 and RA57","the printed relation is less-than-or-equal","applied"
N03-017,"formula (2) layout","source structure","compressed punctuation and right-side number","two-line aligned left-numbered formula with semicolons and epsilon=plus-or-minus 1","original GDZ p. 103 and R823","preserves the printed two-line logical grouping signs and source-left number placement","applied"
N03-018,"formula introduction","mathematical English","two dualistic formulas","two dual formulas","German source plus mathematical register","dual is the current mathematical adjective","applied"
N03-019,"decomposition paragraph","controlled terminology","decomposition identity","decomposition identity","German source and Paper 4 project control","Zerlegungsidentität is retained as the defined project term","retained"
N03-020,"Clebsch sentence","English attachment","elementary covariants in series expansions","elementary covariants in the theory of series expansions","German source plus editorial review","bei den Reihenentwicklungen belongs to the cited theory context","applied"
N03-021,"final theorem paragraph","controlled terminology","differential operations","invariant differential operations","German source plus mathematical register","the source expressly restricts the operations to invariant ones","retained-clarified"
N03-022,"symbolic product paragraph","source-locked notation","possible normalization risk","s_x t_x u_sigma u_tau with (stu) and (sigma tau x) retained","original GDZ p. 102 R823 and RA57","all three source forms are visually confirmed","retained"
N03-023,"paper boundary","source boundary","risk of importing previous article tail or following Faber article","begin at Noether title on p. 101 and end above the p. 104 rule","complete GDZ pp. 101 and 104 plus RA57","exclude both adjacent contributions and the Paper 4 wrapper","disposed-no-import"
N03-024,"citation wrapper","editorial collection metadata","Jahresbericht citation retained","Jahresbericht citation retained","RA10 control and current collection convention","navigation metadata is not presented as printed body text","retained"
N03-025,"title prefix","editorial collection metadata","leading 3. could be mistaken for printed title text","leading 3. retained as collection navigation and explicitly disclosed as unprinted in the 1910 journal title","original GDZ p. 101 and R823 collection wrapper","the primary page prints the title without a leading number; transparent disclosure preserves collection navigation without falsifying source apparatus","applied-disclosed-editorial-prefix"
N03-026,"PDF metadata","publication metadata","blank bibliographic metadata","title author subject and keywords embedded","promoted English TeX plus source citation","metadata identifies the working translation without claiming completion or certification","applied"
