check_id,source_locus,required_feature,final_english_evidence,authority,status,caveat
P03-STRUCT-001,"GDZ p. 101 lower half","paper begins at Noether title and excludes prior article tail","standalone begins at Noether title","original 600 ppi GDZ p. 101",pass,"leading collection number disclosed separately"
P03-STRUCT-002,"GDZ p. 101 title","printed title punctuation and title note","title ends with period and carries source note 101:1","original 600 ppi GDZ p. 101",pass,"leading 3. is editorial collection navigation"
P03-STRUCT-003,"GDZ p. 101 byline","By Emmy Noether in Erlangen","byline restored below title","original 600 ppi GDZ p. 101",pass,"English capitalization normalized"
P03-STRUCT-004,"GDZ pp. 101-104 notes","six source notes with page-local repeated numbering","six notes retained as 101:1 102:1 102:2 103:1 103:2 104:1","four complete original pages plus R823",pass,"page qualification is editorial disambiguation"
P03-STRUCT-005,"GDZ p. 102 bottom","italic phrase begins after the roman article","roman a followed by emphasized symbolic representation explicit in the rows S^rho","original 600 ppi GDZ p. 102",pass,"English word order changed but emphasis scope preserves the source distinction"
P03-STRUCT-006,"GDZ p. 103 upper middle","standalone italic adverb explizit","standalone English explicitly emphasized","original 600 ppi GDZ p. 103",pass,"R823 transcription omits this emphasis; primary page overrides"
P03-STRUCT-007,"GDZ p. 103 below formula 1","italic converse includes daß but excludes following explanatory clause","emphasis begins with that and ends after matrix products","original 600 ppi GDZ p. 103",pass,"semantic boundary preserved"
P03-STRUCT-008,"GDZ p. 104 middle","italic defect-1 theorem includes so","emphasis begins with then and ends after defect 1","original 600 ppi GDZ p. 104",pass,"semantic boundary preserved"
P03-STRUCT-009,"GDZ p. 103 formula 1","left number; q n-sigma-lambda; T n-tau; p tau-lambda; lambda range","left-numbered formula 1 matches all terms and range","original 600 ppi GDZ p. 103 plus R823",pass,"matrix-product separator preserved"
P03-STRUCT-010,"GDZ p. 103 formula 2","left number; total-rho q index; comma pairing; rho sum <= n; epsilon +/-1","two-line formula 2 matches source-controlled structure","original 600 ppi GDZ p. 103 plus R823",pass,"rejects older q_(n-rho_i+1) and rho<n regressions"
P03-STRUCT-011,"GDZ p. 104 upper half","Noether body ends above horizontal rule","standalone ends after n-ary transfer sentence and excludes Faber article","original 600 ppi GDZ p. 104",pass,"no adjacent-contribution import"
P03-STRUCT-012,"PDF output","two complete reader pages with metadata and no missing material","two-page PDF; title author subject keywords embedded; all text and formulae visible","final build text extraction and 180 dpi renders",pass,"build/render prove output presence and legibility not independent mathematical certification"
