concept_id,source_form,intended_sense,selected_english,channel,evidence_class,evidence,competitor_or_adverse,disposition,external_review
NOE-P03-INVARIANT-CONSTRUCTION,invariante Bildung,"an invariant expression produced by the symbolic method",invariant construction,candidate,source_sense_plus_editorial_review,"complete German context and repeated Paper 3 loci",invariant formation,"reject the inherited calque while making no independent English-usage claim",pending
NOE-P03-FOLDING,Faltung/Faltungsprozeß,"the historical symbolic process that joins symbol rows through matrix products",folding/folding process,candidate,project_translation_control,"RA10 Papers 2-4 and the complete Paper 3 definition",transvection or convolution,"retain the established project term because the n-ary process is broader than an unqualified binary transvection and analytic convolution is misleading",pending
NOE-P03-REDUCERS,Reduzenten,"forms or constructions used in reducing systems of forms",reducers,candidate,project_translation_control,"RA10 Papers 2-4 and Paper 3 context",reducents or reducing forms,"retain the project term pending independent historical-English review",pending
NOE-P03-MINORS,Unterdeterminanten,"determinants of submatrices formed from selected rows",minors,candidate,source_sense_plus_editorial_review,"GDZ pp. 102-103 and R823",subdeterminants,"reject the inherited Germanic calque",pending
NOE-P03-ROW,Reihe,"an ordered row of variables or symbols in the matrix notation",row,candidate,project_translation_control,"RA10 Paper 3 and complete formula context",series,"reject series at matrix loci while retaining series expansion for Reihenentwicklung",pending
NOE-P03-DECOMPOSITION-IDENTITY,Zerlegungsidentität,"identity decomposing a row p_rho into its individual x rows",decomposition identity,candidate,project_translation_control,"German definition and RA10 Papers 3-4",splitting identity,"retain the defined project term",pending
NOE-P03-QUALIFIED,bedingt,"the first symbolic-method theorem holds only subject to limitations",with qualifications,candidate,source_sense_plus_editorial_review,"full German limitation paragraph",in a conditional measure,"reject non-idiomatic inherited literalism",pending
NOE-P03-GENUINE-SIGNIFICANCE,reale Bedeutung,"determinant aggregates that genuinely represent the S-row dependence",genuine significance,candidate,source_sense_plus_editorial_review,"full German determinant-aggregate paragraph",real meaning,"avoid suggesting a real-versus-complex number distinction",pending
NOE-P03-DUAL-FORMULA,dualistische Formeln,"the dual pair of matrix identities",dual formulas,candidate,source_sense_plus_editorial_review,"formula introduction on GDZ p. 103 and R823",dualistic formulas,"prefer standard mathematical adjective",pending
NOE-P03-SERIES-COVARIANTS,Elementarkovarianten bei den Reihenentwicklungen,"Clebsch's elementary covariants in the theory of series expansions",elementary covariants in the theory of series expansions,candidate,source_sense_plus_editorial_review,"GDZ pp. 103-104 and R823",elementary covariants at the series expansions,"repair the inherited attachment",pending
NOE-P03-DIFFERENTIAL-OPERATIONS,Differentialoperationen,"invariant differential operations obtained by replacing symbol rows with differential symbols",differential operations,candidate,project_translation_control,"complete final paragraph and Paper 4 project register",differentiation processes,"preserve the distinction between operations and generating processes",pending
NOE-P03-DEFECT,Defekt der Faltung,"the lambda parameter measuring the defect of a folding",defect of the folding,candidate,project_translation_control,"formula (1) and final theorem paragraph",folding deficiency,"retain the historical defined term",pending
NOE-P03-COGREDIENT,kogredient,"rows transforming by the same representation",cogredient,candidate,project_translation_control,"Paper 3 definition and RA10 Papers 2-4",covariant,"retain the historical linear-algebra term and do not collapse it into covariant",pending
NOE-P03-Q-INDEX,q_(n-rho+1),"the q row indexed by the total rho in formula (2)",q_(n-rho+1),support,canonical_source_authority,"GDZ p. 103 and exact R823 formula",q_(n-rho_i+1),"veto the generated standalone regression",not-applicable
NOE-P03-RHS-PAIRING,"(...q_(n-rho+1), S_(n-rho_i)x)","ordinary comma-paired parenthetical expression on the right side of formula (2)",comma pairing,support,canonical_source_authority,"GDZ p. 103 and exact R823 formula",vertical-bar matrix-product pairing,"veto source-incompatible normalization",not-applicable
NOE-P03-BOUNDARY,Paper-3 page boundary,"Noether starts in the lower half of p. 101 and ends above the rule on p. 104",exclude adjacent articles,adverse,canonical_source_authority,"complete GDZ pp. 101 and 104 plus R823 Paper 4 boundary",import previous tail or Georg Faber opening,"veto adjacent-contribution imports",pending
