"sync_id","artifact_type","source_or_task","path_or_target","bytes","sha256_or_status","authority_signal","r6_action","blocked_claims"
"R6-GOV-001","github_instruction_bus","AGENTS.md","AGENTS.md","8348","e4e6a7422e118543e5adab00acfb32e8c097fe6f40153745a9e5d9ccaf0dce6b","GitHub-visible source-canon-first plus sufficiency transition","Treat as controlling instruction before lane-local work","native review; canonical approval; accepted terminology; translation completion; Git push"
"R6-GOV-002","github_instruction_bus",".github/copilot-instructions.md",".github/copilot-instructions.md","2898","d553c306879c915c9b0132e6df50f010fe8f9adc9eb130c9295bc4df9dbd50ff","GitHub-visible source-canon-first plus open-machine coordination","Treat as controlling instruction before lane-local work","native review; canonical approval; accepted terminology; translation completion; Git push"
"R6-GOV-003","github_instruction_bus","Open-machine coordination rule markdown","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_OPEN_MACHINE_GITHUB_COORDINATION_RULE_20260704.md","2334","d2b3a68f28c90c09a3beac978d78e336c375f9b44f13cd544771dcc7026ba127","GitHub-visible coordination surface","Record R6 blockers/tasks as artifacts for B3, not as local-only thread chatter","local side-channel authority; R6 push; raw source payload"
"R6-GOV-004","github_instruction_bus","Open-machine coordination rule JSON","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_OPEN_MACHINE_GITHUB_COORDINATION_RULE_20260704.json","2922","e01c2cba3faf4a16a87e493e71af2c0159a4ac120a0e42f650ed40cf4fe7ce10","Machine-readable open-machine rule","Mirror controlling rule into this R6 sync artifact","local side-channel authority; R6 push; raw source payload"
"R6-GOV-005","github_instruction_bus","Source-canon sufficiency transition","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SOURCE_CANON_SUFFICIENCY_TRANSLATION_TRANSITION_20260705.md","1781","a6504aff333d3b58866f19d95a39be171f67002952a566a13bdde8c25a0c0ea2","GitHub-visible sufficiency rule","Start draft review support for covered rows only; keep uncovered rows as gaps","accepted terms; native review; translation completion"
"R6-GOV-006","local_parent_ledger","Parent interlanguage consolidation ledger","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NOETHER_INTERLANGUAGE_TRANSLATION_CONSOLIDATION_LEDGER_20260704.md","550451","a1474ce44f37e2c4e9d34f3d658d581614d07980f5004286392791931e8682ec","Local parent program context","Use for whole-program comparison; do not import authority across languages","cross-lane authority borrowing; completion claim"
"R6-GOV-007","local_parent_ledger","Source-canon-first steering record","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NOETHER_SOURCE_CANON_FIRST_STEERING_RECORD_20260704.md","4993","531b9e358e52bde20f613e75b8de33558c05301ca971639e727dd584b34205c4","Local source-canon field and no-push rule","Keep R6 witness/gap rows fielded and packageable","native review; license clearance; gate promotion; R6 push"
"R6-GOV-008","local_b3_steward_log","B3 durable steward log","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-pr-branch-steward\outputs\NOETHER_SESSION_B_COORDINATOR_RUN_LOG_20260704.md","424302","0a4f6c2fd0f0d341f879e2caf45698fbbc27b51b604bda3960dc6cddcad8344e","B3 owns staging, committing, pushing, and package boundary checks","Keep R6 artifacts package-ready; do not push","R6 push; package-boundary clearance by R6"
"R6-GOV-009","r6_current_state","R6 sufficiency transition audit","NOETHER_R6_SOURCE_CANON_SUFFICIENCY_TRANSITION_AUDIT_20260705.csv","3851","da530fc3e7c230d690a3825413ba05921a08aae5780b30ceca07f8101b85ac6b","6 rows; 2 draft-allowed scopes","Maintain Kreyol and Bislama as covered; blocked rows stay gaps","generalized creole route; source-authority promotion"
"R6-GOV-010","r6_current_state","R6 scoped draft support","NOETHER_R6_SCOPED_DRAFT_TRANSLATION_SUPPORT_CREOLE_COVERED_ROWS_20260705.csv","4848","30c49fbc506cd600e42fc0279896001c42984c68d4daae9246ab07119748552e","6 draft non-canonical support rows","Route only as review scaffolds for Kreyol and Bislama","native review; accepted terminology; translation completion"
"R6-GOV-011","r6_task","Kreyol and Bislama covered rows","covered_rows","2_scopes_draft_allowed","status: draft_noncanonical_review_support_only","Sufficiency reached for scoped school math/register rows","Continue source-contexted draft support and reviewer/source-owner questions","native review; accepted terms; source-owner approval; translation completion"
"R6-GOV-012","r6_blocker","Uncovered creole/contact rows","Tok Pisin; Nigerian Pidgin; Cape Verdean Kriolu; Belize Kriol; other comparator-only rows","","status: source_acquisition_gap","Comparator/context/source-route evidence only","Acquire exact target-language math/STEM body or validated source archive before draft support","target rendering; term spine; source authority; completion"
"R6-GOV-013","r6_blocker","Sign access rows","ASL; LSQ; DGS","","status: reviewer_source_owner_media_gate","Route/source metadata exists but sign output is blocked","Keep reviewer/media gate ledger; no visual inventory or sign output","accepted signs; media clearance; visual inventory; translation output"
"R6-GOV-014","r6_package_boundary","B3 publication authority","B3/package steward","","status: language_lane_no_push","B3 stages, commits, pushes, packages","Keep R6 artifacts metadata-only and hash-audited","R6 push; raw source bodies; credentials; OCR caches; traineddata; zip primaries"
