"branch_head","guard_source","guard_id","lexeme_id","candidate_or_scope","issue_type","blocked_scope","action_or_effect","claim_boundary"
"516abae30cca69f3372944d9e320593d467bfa82","do_not_use","OLP-DNU-001","","English source form as bridge proof","draft_as_witness_error","all relation/function terms","do_not_count_English_control_as_target_language_witness","negative guard; not accepted terminology"
"516abae30cca69f3372944d9e320593d467bfa82","do_not_use","OLP-DNU-002","","relatio/functio/domino-style draft forms","authority_needed","public or accepted terminology","keep_generated_draft_until branch witnesses and review exist","negative guard; not accepted terminology"
"516abae30cca69f3372944d9e320593d467bfa82","do_not_use","OLP-DNU-003","","domain/codomain/range collapse","semantic_collision","function terminology","keep declared target and attained values separate","negative guard; not accepted terminology"
"516abae30cca69f3372944d9e320593d467bfa82","do_not_use","OLP-DNU-004","","relation/function merge","semantic_collision","relation-function boundary","keep relation as general predicate/subset and function as unique-output map","negative guard; not accepted terminology"
"516abae30cca69f3372944d9e320593d467bfa82","do_not_use","OLP-DNU-005","","source-pointer-only canon","source_channel_error","all ledgers","attach actual bodies or mark source-acquisition gap","negative guard; not accepted terminology"
"516abae30cca69f3372944d9e320593d467bfa82","do_not_use","OLP-DNU-006","","dominant-language softened form","dominance_risk","interlanguage candidates","require branch-weight and marginal-intelligibility check before promotion","negative guard; not accepted terminology"
"516abae30cca69f3372944d9e320593d467bfa82","adverse_evidence","ADV-OLP-001","all","languages.csv/source_documents.csv","missing_non_dominant_witness","all","branch_weight_D remains 1.00; no promotion","adverse evidence support; not source certification"
"516abae30cca69f3372944d9e320593d467bfa82","adverse_evidence","ADV-OLP-002","rf_image_range","OLP/DMOI source context","register_instability","rf_image_range","range/image convention must be owner-checked","adverse evidence support; not source certification"
"516abae30cca69f3372944d9e320593d467bfa82","adverse_evidence","ADV-OLP-003","rf_domain;rf_codomain","function context","semantic_collision","rf_domain;rf_codomain","do not merge domain/codomain/range in target scaffold","adverse evidence support; not source certification"
"516abae30cca69f3372944d9e320593d467bfa82","adverse_evidence","ADV-OLP-004","rf_relation;rf_function","relation/function source sections","semantic_collision","rf_relation;rf_function","do not translate relation and function as interchangeable map words","adverse evidence support; not source certification"
"516abae30cca69f3372944d9e320593d467bfa82","adverse_evidence","ADV-OLP-005","rf_linear_map","AATA/FCLA support witness only","owner_route","rf_linear_map","route advanced algebra register to owner lane","adverse evidence support; not source certification"
