"branch_head","lexeme_id","gloss","candidate_bridge_form","supporting_forms","adverse_forms","false_friend_notes","branch_weights","effective_branch_number_D","marginal_intelligibility_score","dominance_penalty","source_spine","status","claim_boundary"
"516abae30cca69f3372944d9e320593d467bfa82","rf_relation","relation as subset/predicate between objects","relatio","Germanic:37; Slavic_East:0; Slavic_West:2; Slavic_South:405; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","see do_not_use.csv and adverse_evidence_ledger.csv; missing Romance/Semitic/CJK/Malayic witnesses remain gaps","not row-reviewed; term-probe contexts require language-owner false-friend check","D=2.5217; KL=0.4614; p={Germanic:0.3386; Slavic_East:0; Slavic_West:0.1023; Slavic_South:0.5591; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0}","2.5217","0.6614","0.3386","OpenLogic sets-functions-relations; DMOI relations","generated-draft terminology alternative; non-canonical","not native reviewed; no accepted terminology; no approval; no source certification; no translation completion"
"516abae30cca69f3372944d9e320593d467bfa82","rf_function","function as unique-output map","functio","Germanic:139; Slavic_East:4; Slavic_West:1; Slavic_South:1329; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","see do_not_use.csv and adverse_evidence_ledger.csv; missing Romance/Semitic/CJK/Malayic witnesses remain gaps","not row-reviewed; term-probe contexts require language-owner false-friend check","D=3.0175; KL=0.2819; p={Germanic:0.3423; Slavic_East:0.1115; Slavic_West:0.048; Slavic_South:0.4982; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0}","3.0175","0.6577","0.3423","OpenLogic sets-functions-relations; DMOI functions","generated-draft terminology alternative; non-canonical","not native reviewed; no accepted terminology; no approval; no source certification; no translation completion"
"516abae30cca69f3372944d9e320593d467bfa82","rf_domain","domain/input set of a function","dominio","Germanic:79; Slavic_East:1; Slavic_West:1; Slavic_South:108; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","see do_not_use.csv and adverse_evidence_ledger.csv; missing Romance/Semitic/CJK/Malayic witnesses remain gaps","not row-reviewed; term-probe contexts require language-owner false-friend check","D=2.956; KL=0.3025; p={Germanic:0.4189; Slavic_East:0.0663; Slavic_West:0.0663; Slavic_South:0.4485; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0}","2.956","0.5811","0.4189","OpenLogic and DMOI functions","generated-draft terminology alternative; non-canonical","not native reviewed; no accepted terminology; no approval; no source certification; no translation completion"
"516abae30cca69f3372944d9e320593d467bfa82","rf_codomain","declared target set/codomain","codominio","Germanic:51; Slavic_East:0; Slavic_West:1; Slavic_South:5; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","see do_not_use.csv and adverse_evidence_ledger.csv; missing Romance/Semitic/CJK/Malayic witnesses remain gaps","not row-reviewed; term-probe contexts require language-owner false-friend check","D=2.4486; KL=0.4908; p={Germanic:0.6139; Slavic_East:0; Slavic_West:0.1077; Slavic_South:0.2784; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0}","2.4486","0.3861","0.6139","OpenLogic and DMOI functions","generated-draft terminology alternative; non-canonical","not native reviewed; no accepted terminology; no approval; no source certification; no translation completion"
"516abae30cca69f3372944d9e320593d467bfa82","rf_image_range","image/range as attained values","imago/rango","Germanic:140; Slavic_East:11; Slavic_West:65; Slavic_South:126; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","see do_not_use.csv and adverse_evidence_ledger.csv; missing Romance/Semitic/CJK/Malayic witnesses remain gaps","not row-reviewed; term-probe contexts require language-owner false-friend check","D=3.8762; KL=0.0314; p={Germanic:0.3005; Slavic_East:0.1509; Slavic_West:0.2544; Slavic_South:0.2942; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0}","3.8762","0.6995","0.3005","OpenLogic and DMOI functions","generated-draft terminology alternative; non-canonical","not native reviewed; no accepted terminology; no approval; no source certification; no translation completion"
"516abae30cca69f3372944d9e320593d467bfa82","rf_injective","injective/one-to-one property","injectiv","Germanic:29; Slavic_East:1; Slavic_West:1; Slavic_South:9; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","see do_not_use.csv and adverse_evidence_ledger.csv; missing Romance/Semitic/CJK/Malayic witnesses remain gaps","not row-reviewed; term-probe contexts require language-owner false-friend check","D=3.2293; KL=0.214; p={Germanic:0.4797; Slavic_East:0.0978; Slavic_West:0.0978; Slavic_South:0.3248; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0}","3.2293","0.5203","0.4797","OpenLogic and DMOI functions","generated-draft terminology alternative; non-canonical","not native reviewed; no accepted terminology; no approval; no source certification; no translation completion"
"516abae30cca69f3372944d9e320593d467bfa82","rf_surjective","surjective/onto property","surjectiv","Germanic:28; Slavic_East:1; Slavic_West:1; Slavic_South:9; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","see do_not_use.csv and adverse_evidence_ledger.csv; missing Romance/Semitic/CJK/Malayic witnesses remain gaps","not row-reviewed; term-probe contexts require language-owner false-friend check","D=3.2361; KL=0.2119; p={Germanic:0.4772; Slavic_East:0.0982; Slavic_West:0.0982; Slavic_South:0.3263; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0}","3.2361","0.5228","0.4772","OpenLogic and DMOI functions","generated-draft terminology alternative; non-canonical","not native reviewed; no accepted terminology; no approval; no source certification; no translation completion"
"516abae30cca69f3372944d9e320593d467bfa82","rf_bijective","bijective property","bijectiv","Germanic:9; Slavic_East:1; Slavic_West:1; Slavic_South:21; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","see do_not_use.csv and adverse_evidence_ledger.csv; missing Romance/Semitic/CJK/Malayic witnesses remain gaps","not row-reviewed; term-probe contexts require language-owner false-friend check","D=3.2909; KL=0.1951; p={Germanic:0.3396; Slavic_East:0.1022; Slavic_West:0.1022; Slavic_South:0.4559; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0}","3.2909","0.6604","0.3396","OpenLogic and DMOI functions","generated-draft terminology alternative; non-canonical","not native reviewed; no accepted terminology; no approval; no source certification; no translation completion"
"516abae30cca69f3372944d9e320593d467bfa82","rf_equivalence_relation","equivalence relation from reflexive/symmetric/transitive","equivalens relatio","Germanic:5; Slavic_East:1; Slavic_West:0; Slavic_South:142; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","see do_not_use.csv and adverse_evidence_ledger.csv; missing Romance/Semitic/CJK/Malayic witnesses remain gaps","not row-reviewed; term-probe contexts require language-owner false-friend check","D=2.303; KL=0.5521; p={Germanic:0.2406; Slavic_East:0.0931; Slavic_West:0; Slavic_South:0.6664; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0}","2.303","0.7594","0.2406","OpenLogic and DMOI relations","generated-draft terminology alternative; non-canonical","not native reviewed; no accepted terminology; no approval; no source certification; no translation completion"
"516abae30cca69f3372944d9e320593d467bfa82","rf_partial_order","partial order from reflexive/antisymmetric/transitive","ordo partial","Germanic:9; Slavic_East:2; Slavic_West:0; Slavic_South:39; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0","see do_not_use.csv and adverse_evidence_ledger.csv; missing Romance/Semitic/CJK/Malayic witnesses remain gaps","not row-reviewed; term-probe contexts require language-owner false-friend check","D=2.7023; KL=0.3922; p={Germanic:0.3248; Slavic_East:0.155; Slavic_West:0; Slavic_South:0.5203; Romance:0; Semitic:0; CJK:0; Malayic:0; Other:0}","2.7023","0.6752","0.3248","OpenLogic and DMOI relations","generated-draft terminology alternative; non-canonical","not native reviewed; no accepted terminology; no approval; no source certification; no translation completion"
