"frontier","packet_path","csv_file","rows","bytes","sha256","label"
"99be7f683c27ab351a568ca46220d6f344f0962e","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_99BE7F68_OLP_2C2_ROUTE_PACKET_SET_20260707","BRANCH_AND_ROUTE_CONTEXT.csv","14","1513","DF8FA32A0A85C15EABC4AC15B377032A873E4CF96623A02B9DF9C464A6E2216E","row-count validation only"
"99be7f683c27ab351a568ca46220d6f344f0962e","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_99BE7F68_OLP_2C2_ROUTE_PACKET_SET_20260707","MANIFEST_REPLAY.csv","36","8831","AC948233E4390E9B21510325A6B20DAB247F11533D7221CDC17C03CBF61A66C8","row-count validation only"
"99be7f683c27ab351a568ca46220d6f344f0962e","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_99BE7F68_OLP_2C2_ROUTE_PACKET_SET_20260707","MANIFEST.csv","10","1963","567101992A732D93F27BB07E143154C34A263528E429DA3D40BE4CB53D349B14","row-count validation only"
"99be7f683c27ab351a568ca46220d6f344f0962e","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_99BE7F68_OLP_2C2_ROUTE_PACKET_SET_20260707","PACKAGE_FILE_LEDGER.csv","48","23459","1FC0E7A5FB5AB68DD876B26CCB2D53FD5CA7CE8B7E02F0071F05213985E56778","row-count validation only"
"99be7f683c27ab351a568ca46220d6f344f0962e","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_99BE7F68_OLP_2C2_ROUTE_PACKET_SET_20260707","POST_PUSH_BRANCH_BLOB_VERIFICATION_BY_FROZEN_OID.csv","59","14359","5563F239DD3CAA12CD96A10B69A0B25B7C30A21B1D2B703C54E6435D115D32FB","row-count validation only"
"99be7f683c27ab351a568ca46220d6f344f0962e","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_99BE7F68_OLP_2C2_ROUTE_PACKET_SET_20260707","ROOT_PACKAGE_SUMMARY.csv","3","1601","DEEFE37FE736DA8553BABE8827BC9A6B5747C6277E1C4529BD3AA5ACC4500CAA","row-count validation only"
"99be7f683c27ab351a568ca46220d6f344f0962e","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_99BE7F68_OLP_2C2_ROUTE_PACKET_SET_20260707","SAFETY_SCAN_HITS.csv","0","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","row-count validation only"
"99be7f683c27ab351a568ca46220d6f344f0962e","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_99BE7F68_OLP_2C2_ROUTE_PACKET_SET_20260707","SHA256SUMS_REPLAY.csv","39","8922","B4D9A7C0DAE4E6D38DBF5038673B03B6FEE36C0B08C495AE2029303AED95C2E5","row-count validation only"
"99be7f683c27ab351a568ca46220d6f344f0962e","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_99BE7F68_OLP_2C2_ROUTE_PACKET_SET_20260707","TRANSFER_NOTE_LEDGER.csv","3","1500","4F27F7BC8186551E8661F13E3F71EE4D34857F9382017A313B47697844642F40","row-count validation only"
"99be7f683c27ab351a568ca46220d6f344f0962e","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_2C2DF6B0_5838_R7_WAKE_ROUTE_20260707","B3_PACKAGE_RETURN_ROWS_2C2DF6B0.csv","4","1704","C6E40F9666B9B600F010D88B88B78C02A89A1BD7486FC0BD6711A3F9B013B0F5","row-count validation only"
