"language","local_id","local_source_path","local_byte_count","local_sha256","represented_in_current_witness_table","topic_term_hits","context_or_source_hit_path","base_candidate_sources","coverage_status","evidence_artifacts","live_status","payload_or_probe","source_canon_action","relevance_or_gap_note","license_or_access_signal","title_or_local_title","category_or_topic_counts","hash_match_status","non_claim_boundary"
"French","0605499v2","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\downloaded_source_packages\french\0605499v2.source","13690","a94fb701df9d957ce3e83755bee91a1fdc396121020062d787c595e136431920","false","","","broad","local_low_signal_tex_french_math_candidate_not_promoted","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_LOW_SIGNAL_LOCAL_TEX_TRIAGE_20260705.csv","not_live_checked_low_signal_local_triage_only","gzip_single_file_extracted / local_french_signal_present","low_signal_local_tex_french_math_candidate_not_promoted","Low-signal local TeX/source metadata was inspected; no live arXiv verification was attempted in this pass. Keep candidate-only unless future source-canon priorities require live metadata/license/access checks.","local source package present; live license not rechecked in this pass; no license-clearance claim","","corps:4; invariant:4","local_hash_matches_prior=True","candidate rollup only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"French","0605500v2","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\downloaded_source_packages\french\0605500v2.source","7342","fa665ca408530c122a66b766d5b36834082a228374e64ea4ff96d0f6627647cd","false","","","broad","local_low_signal_tex_french_math_candidate_not_promoted","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_LOW_SIGNAL_LOCAL_TEX_TRIAGE_20260705.csv","not_live_checked_low_signal_local_triage_only","gzip_single_file_extracted / local_french_signal_present","low_signal_local_tex_french_math_candidate_not_promoted","Low-signal local TeX/source metadata was inspected; no live arXiv verification was attempted in this pass. Keep candidate-only unless future source-canon priorities require live metadata/license/access checks.","local source package present; live license not rechecked in this pass; no license-clearance claim","","corps:3; invariant:11","local_hash_matches_prior=True","candidate rollup only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"French","0611861v1","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\downloaded_source_packages\french\0611861v1.source","50820","0450ab571864df343357d1b6078d311b345c8f1d76ef107ba570c0ac345212ea","false","","","broad","local_low_signal_tex_french_math_candidate_not_promoted","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_LOW_SIGNAL_LOCAL_TEX_TRIAGE_20260705.csv","not_live_checked_low_signal_local_triage_only","tar_archive_extracted / local_french_signal_present","low_signal_local_tex_french_math_candidate_not_promoted","Low-signal local TeX/source metadata was inspected; no live arXiv verification was attempted in this pass. Keep candidate-only unless future source-canon priorities require live metadata/license/access checks.","local source package present; live license not rechecked in this pass; no license-clearance claim","Categories de foncteurs en grassmanniennes et filtration de Krull","Noether:1; module:39; anneau:13; corps:14; invariant:1","local_hash_matches_prior=True","candidate rollup only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"French","0711.3658v2","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\downloaded_source_packages_expanded\french\0711.3658v2.source","103196","935174eac0fbce3a68ad9daee69db2b0f46b4e26ed77fd63a6776703f4ed3533","false","","","broad","local_low_signal_tex_french_math_candidate_not_promoted","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_LOW_SIGNAL_LOCAL_TEX_TRIAGE_20260705.csv","not_live_checked_low_signal_local_triage_only","tar_archive_extracted / local_french_signal_present","low_signal_local_tex_french_math_candidate_not_promoted","Low-signal local TeX/source metadata was inspected; no live arXiv verification was attempted in this pass. Keep candidate-only unless future source-canon priorities require live metadata/license/access checks.","arXiv source package present locally; live license/API not rechecked in this pass; no license-clearance claim","Sur l'ind�pendance de l en cohomologie l -adique sur les corps locaux","module:6; anneau:9; corps:66; invariant:2","local_hash_matches_prior=True","candidate rollup only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"French","0809.0144v3","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\downloaded_source_packages_expanded\french\0809.0144v3.source","31562","07875491cb7768b8d6ec1992a80d549d4917311c4634bdf9397f28dcd7d06425","false","","","broad","local_low_signal_tex_weak_or_mixed_not_promoted","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_LOW_SIGNAL_LOCAL_TEX_TRIAGE_20260705.csv","not_live_checked_low_signal_local_triage_only","gzip_single_file_extracted / local_english_or_mixed_signal","low_signal_local_tex_weak_or_mixed_not_promoted","Low-signal local TeX/source metadata was inspected; no live arXiv verification was attempted in this pass. Keep candidate-only unless future source-canon priorities require live metadata/license/access checks.","arXiv source package present locally; live license/API not rechecked in this pass; no license-clearance claim","A differential -module algebra for = 2 at an even root of unity","module:89; ideal:3; invariant:7","local_hash_matches_prior=True","candidate rollup only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"French","0812.4685v2","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\downloaded_source_packages_expanded\french\0812.4685v2.source","20095","6af5b7504e7d7112cdd06fd2d6e5d7eef0d2544d1dbc38bb13163603ec06f408","false","","","broad","local_low_signal_tex_weak_or_mixed_not_promoted","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_LOW_SIGNAL_LOCAL_TEX_TRIAGE_20260705.csv","not_live_checked_low_signal_local_triage_only","gzip_single_file_extracted / local_english_or_mixed_signal","low_signal_local_tex_weak_or_mixed_not_promoted","Low-signal local TeX/source metadata was inspected; no live arXiv verification was attempted in this pass. Keep candidate-only unless future source-canon priorities require live metadata/license/access checks.","arXiv source package present locally; live license/API not rechecked in this pass; no license-clearance claim","THREE CROSSED MODULES","module:80","local_hash_matches_prior=True","candidate rollup only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"French","0907.2566v3","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\downloaded_source_packages_expanded\french\0907.2566v3.source","39338","6b96358b205c13ed2a0968c453a2c0591f5bf7497080700f56c07cf7c871e4ac","false","","","broad","local_low_signal_tex_weak_or_mixed_not_promoted","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_LOW_SIGNAL_LOCAL_TEX_TRIAGE_20260705.csv","not_live_checked_low_signal_local_triage_only","tar_archive_extracted / local_english_or_mixed_signal","low_signal_local_tex_weak_or_mixed_not_promoted","Low-signal local TeX/source metadata was inspected; no live arXiv verification was attempted in this pass. Keep candidate-only unless future source-canon priorities require live metadata/license/access checks.","arXiv source package present locally; live license/API not rechecked in this pass; no license-clearance claim","The fundamental Gray 3-groupoid of a smooth manifold and local 3-dimensional holonomy based on a 2-crossed module","module:158; invariant:8","local_hash_matches_prior=True","candidate rollup only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"French","0910.2557v1","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\downloaded_source_packages_expanded\french\0910.2557v1.source","5318","59df86dd0233f4c6cb86d3d051c6dc65ae302a6fbe8a44ede94fad529673da9c","false","Noether; anneau; corps","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260630T065920Z_french_spanish_invariant_hardterm_evidence\local_corpus_contexts\french_0910.2557v1_0910.2557v1.tex.contexts.json","broad","live_arxiv_verified_candidate_not_promoted","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_CANDIDATE_LIVE_ARXIV_VERIFICATION_20260704.csv","api_and_eprint_http_200","application/gzip","candidate_verified_not_promoted","Can be considered in later main-table expansion only after target-language source-text review and steward approval; retain explicit no-license-clearance boundary where API license is blank. | French title/local context; title also gives English parenthetical; target-language signal usable but still candidate-only","arXiv API license field blank; access/source URL verified; no license-clearance claim","Un anneau de deformation universel en conducteur superieur (A universal deformation ring in higher conductor)","math.NT / Noether; anneau; corps","live_matches_local=true","candidate rollup only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"French","1001.2849v1","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\downloaded_source_packages_expanded\french\1001.2849v1.source","26718","749664186882fc58f5cd50b99947c96e16318cbb70b795893a783e4b8bd7e11b","false","","","broad","local_low_signal_tex_french_math_candidate_not_promoted","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_LOW_SIGNAL_LOCAL_TEX_TRIAGE_20260705.csv","not_live_checked_low_signal_local_triage_only","gzip_single_file_extracted / local_french_signal_present","low_signal_local_tex_french_math_candidate_not_promoted","Low-signal local TeX/source metadata was inspected; no live arXiv verification was attempted in this pass. Keep candidate-only unless future source-canon priorities require live metadata/license/access checks.","arXiv source package present locally; live license/API not rechecked in this pass; no license-clearance claim","Morphismes quadratiques entre modules sur un anneau carre","module:183; anneau:78","local_hash_matches_prior=True","candidate rollup only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"French","1005.0462v1","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\downloaded_source_packages_expanded\french\1005.0462v1.source","34061","1a32085fe68690e462afc280029c5b838ba077a7be16cd3aa03fc6cf310f8b58","false","","","broad","local_low_signal_tex_french_math_candidate_not_promoted","NOETHER_ROMANCE_SOURCE_CANON_UNREPRESENTED_LOCAL_SOURCE_CANDIDATES_20260704.csv; NOETHER_ROMANCE_SOURCE_CANON_FRENCH_LOW_SIGNAL_LOCAL_TEX_TRIAGE_20260705.csv","not_live_checked_low_signal_local_triage_only","tar_archive_extracted / local_french_signal_present","low_signal_local_tex_french_math_candidate_not_promoted","Low-signal local TeX/source metadata was inspected; no live arXiv verification was attempted in this pass. Keep candidate-only unless future source-canon priorities require live metadata/license/access checks.","arXiv source package present locally; live license/API not rechecked in this pass; no license-clearance claim","Etude locale des torseurs sous une courbe elliptique","module:39; anneau:7; corps:14; ideal:1; invariant:1","local_hash_matches_prior=True","candidate rollup only; no translation; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
