"category","count","note"
"compare_files_total","53","c7fb to 212df branch compare file count"
"branch_visible_r6_rows","20","R6/source/recovery/sign/live-retry filtered branch-visible rows"
"uploaded_live_retry_rows","15","R6 live-retry uploader-transfer files at 212df"
"uploaded_live_retry_crosswalk_rows","15","branch file to local verified package crosswalk rows"
"local_live_retry_sha_verify_rows","13","local live-retry SHA verification rows"
"source_witness_recovery_rows","97","priority witness plus sign/access source separation rows"
"web_and_http_recovery_rows","10","official route and local HTTP retry rows"
"source_gated_draft_carry_forward_rows","6","generated-draft/noncanonical carry-forward only"
"fable_source_use_adverse_rows","22","Fable/source-use/adverse evidence carry-forward rows"
"active_recovery_blocker_rows","30","active source/reviewer/ethics recovery blockers"
"reviewer_ethics_authority_rows","13","reviewer/ethics/authority boundary rows"
