"status","path","r3_flag","source_use_label"
"A","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_AEED56E7_R6_2BD_SAME_FRONTIER_DEDUP_R3_BLOCKER_20260707/B3_ACTION_SUMMARY.csv","r3-relevant-or-adjacent-drift","post-request-frontier-drift-audit"
"A","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_AEED56E7_R6_2BD_SAME_FRONTIER_DEDUP_R3_BLOCKER_20260707/BRANCH_PR_STATE.csv","r3-relevant-or-adjacent-drift","post-request-frontier-drift-audit"
"A","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_AEED56E7_R6_2BD_SAME_FRONTIER_DEDUP_R3_BLOCKER_20260707/HELD_PACKET_BLOCKERS.csv","r3-relevant-or-adjacent-drift","post-request-frontier-drift-audit"
"A","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_AEED56E7_R6_2BD_SAME_FRONTIER_DEDUP_R3_BLOCKER_20260707/MANIFEST.csv","r3-relevant-or-adjacent-drift","post-request-frontier-drift-audit"
"A","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_AEED56E7_R6_2BD_SAME_FRONTIER_DEDUP_R3_BLOCKER_20260707/PACKAGE_FILE_LEDGER.csv","r3-relevant-or-adjacent-drift","post-request-frontier-drift-audit"
"A","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_AEED56E7_R6_2BD_SAME_FRONTIER_DEDUP_R3_BLOCKER_20260707/PACKAGE_MANIFEST_REPLAY.csv","r3-relevant-or-adjacent-drift","post-request-frontier-drift-audit"
"A","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_AEED56E7_R6_2BD_SAME_FRONTIER_DEDUP_R3_BLOCKER_20260707/PACKAGE_ROOT_SUMMARY.csv","r3-relevant-or-adjacent-drift","post-request-frontier-drift-audit"
"A","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_AEED56E7_R6_2BD_SAME_FRONTIER_DEDUP_R3_BLOCKER_20260707/PACKAGE_SHA256SUMS_REPLAY.csv","r3-relevant-or-adjacent-drift","post-request-frontier-drift-audit"
"A","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_AEED56E7_R6_2BD_SAME_FRONTIER_DEDUP_R3_BLOCKER_20260707/README.md","r3-relevant-or-adjacent-drift","post-request-frontier-drift-audit"
"A","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_AEED56E7_R6_2BD_SAME_FRONTIER_DEDUP_R3_BLOCKER_20260707/SAFETY_SCAN_HITS.csv","r3-relevant-or-adjacent-drift","post-request-frontier-drift-audit"
"A","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_AEED56E7_R6_2BD_SAME_FRONTIER_DEDUP_R3_BLOCKER_20260707/SHA256SUMS.txt","r3-relevant-or-adjacent-drift","post-request-frontier-drift-audit"
"A","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_AEED56E7_R6_2BD_SAME_FRONTIER_DEDUP_R3_BLOCKER_20260707/VALIDATION_ISSUES.csv","r3-relevant-or-adjacent-drift","post-request-frontier-drift-audit"
"A","uploader-transfer/r6-2bd3e449-same-frontier-cross-lane-dedup-20260707/R6_2BD3E449_SAME_FRONTIER_CROSS_LANE_DEDUP_20260707/MANIFEST.csv","context-only","post-request-frontier-drift-audit"
"A","uploader-transfer/r6-2bd3e449-same-frontier-cross-lane-dedup-20260707/R6_2BD3E449_SAME_FRONTIER_CROSS_LANE_DEDUP_20260707/R6_2BD3E449_SAME_FRONTIER_CROSS_LANE_DEDUP_COUNTS.csv","context-only","post-request-frontier-drift-audit"
"A","uploader-transfer/r6-2bd3e449-same-frontier-cross-lane-dedup-20260707/R6_2BD3E449_SAME_FRONTIER_CROSS_LANE_DEDUP_20260707/README.md","context-only","post-request-frontier-drift-audit"
"A","uploader-transfer/r6-2bd3e449-same-frontier-cross-lane-dedup-20260707/R6_2BD3E449_SAME_FRONTIER_CROSS_LANE_DEDUP_20260707/SHA256SUMS.txt","context-only","post-request-frontier-drift-audit"
"A","uploader-transfer/r6-2bd3e449-same-frontier-cross-lane-dedup-20260707/R6_2BD3E449_SAME_FRONTIER_CROSS_LANE_DEDUP_20260707/b3/B3_ROUTE.csv","context-only","post-request-frontier-drift-audit"
"A","uploader-transfer/r6-2bd3e449-same-frontier-cross-lane-dedup-20260707/R6_2BD3E449_SAME_FRONTIER_CROSS_LANE_DEDUP_20260707/blockers/R6_2BD3E449_SAME_FRONTIER_EXACT_BLOCKERS.csv","r3-relevant-or-adjacent-drift","post-request-frontier-drift-audit"
"A","uploader-transfer/r6-2bd3e449-same-frontier-cross-lane-dedup-20260707/R6_2BD3E449_SAME_FRONTIER_CROSS_LANE_DEDUP_20260707/ethics/R6_2BD3E449_SAME_FRONTIER_ETHICS_AUTHORITY_BOUNDARY.csv","context-only","post-request-frontier-drift-audit"
"A","uploader-transfer/r6-2bd3e449-same-frontier-cross-lane-dedup-20260707/R6_2BD3E449_SAME_FRONTIER_CROSS_LANE_DEDUP_20260707/fable/R6_2BD3E449_SAME_FRONTIER_FABLE_ADVERSE_LEDGER.csv","r3-relevant-or-adjacent-drift","post-request-frontier-drift-audit"
"A","uploader-transfer/r6-2bd3e449-same-frontier-cross-lane-dedup-20260707/R6_2BD3E449_SAME_FRONTIER_CROSS_LANE_DEDUP_20260707/input-verification/R6_2BD3E449_BASE_AND_PERSIANATE_SHA_REVERIFY.csv","r3-relevant-or-adjacent-drift","post-request-frontier-drift-audit"
"A","uploader-transfer/r6-2bd3e449-same-frontier-cross-lane-dedup-20260707/R6_2BD3E449_SAME_FRONTIER_CROSS_LANE_DEDUP_20260707/logs/LOGBOOK_EXCERPT_20260707.md","context-only","post-request-frontier-drift-audit"
"A","uploader-transfer/r6-2bd3e449-same-frontier-cross-lane-dedup-20260707/R6_2BD3E449_SAME_FRONTIER_CROSS_LANE_DEDUP_20260707/mutual-watch/R6_2BD3E449_SAME_FRONTIER_MUTUAL_WATCH.csv","context-only","post-request-frontier-drift-audit"
"A","uploader-transfer/r6-2bd3e449-same-frontier-cross-lane-dedup-20260707/R6_2BD3E449_SAME_FRONTIER_CROSS_LANE_DEDUP_20260707/source-use/R6_2BD3E449_SAME_FRONTIER_SOURCE_USE_GAP_DEDUP.csv","r3-relevant-or-adjacent-drift","post-request-frontier-drift-audit"
