"field","value","source_use_label"
"packet","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707\R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707_20260707T025317Z","b3-uploader-summary"
"requested_frontier","aeed56e79a49ae47991545cda7b6eb096fe0c5b0","b3-uploader-summary"
"observed_origin_head","6a895f1c9031090f6c4da5e7c4660cb15f713853","b3-uploader-summary"
"requested_is_origin_head","False","b3-uploader-summary"
"origin_contains_requested","True","b3-uploader-summary"
"arabic_source_use_gap_rows","6","b3-uploader-summary"
"arabic_blocker_rows","5","b3-uploader-summary"
"persianate_tajik_source_use_gap_rows","5","b3-uploader-summary"
"persianate_tajik_blocker_rows","10","b3-uploader-summary"
"fable_source_use_adverse_rows","4","b3-uploader-summary"
"held_packet_repair_status","local-repair-validated","b3-uploader-summary"
"language_lane_push","false","b3-uploader-summary"
"claims","no native review, community consent, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation-completion claim","b3-uploader-summary"
