"status","path","category","r3_relevance","source_use_label"
"A","coordination/non-slavic-core-2bd3e449-recovery-batch-route-20260707/NON_SLAVIC_CORE_2BD3E449_RECOVERY_BATCH_ROUTE_20260707/ARABIC_25B_VALIDATION_2BD.csv","coordination-route","r3-relevant-or-adjacent-route","branch-verification-generated-audit"
"A","coordination/non-slavic-core-2bd3e449-recovery-batch-route-20260707/NON_SLAVIC_CORE_2BD3E449_RECOVERY_BATCH_ROUTE_20260707/ARABIC_BLOCKERS_2BD.csv","coordination-route","r3-relevant-or-adjacent-route","branch-verification-generated-audit"
"A","coordination/non-slavic-core-2bd3e449-recovery-batch-route-20260707/NON_SLAVIC_CORE_2BD3E449_RECOVERY_BATCH_ROUTE_20260707/ARABIC_SIX_ROW_SOURCE_USE_GAP_ROLLUP_2BD.csv","coordination-route","r3-relevant-or-adjacent-route","branch-verification-generated-audit"
"A","coordination/non-slavic-core-2bd3e449-recovery-batch-route-20260707/NON_SLAVIC_CORE_2BD3E449_RECOVERY_BATCH_ROUTE_20260707/B3_HANDOFF_READY_2BD.md","coordination-route","context-only","branch-verification-generated-audit"
"A","coordination/non-slavic-core-2bd3e449-recovery-batch-route-20260707/NON_SLAVIC_CORE_2BD3E449_RECOVERY_BATCH_ROUTE_20260707/B3_HANDOFF_SENT_2BD.md","coordination-route","context-only","branch-verification-generated-audit"
"A","coordination/non-slavic-core-2bd3e449-recovery-batch-route-20260707/NON_SLAVIC_CORE_2BD3E449_RECOVERY_BATCH_ROUTE_20260707/B3_PACKAGE_ROOTS_2BD.csv","coordination-route","context-only","branch-verification-generated-audit"
"A","coordination/non-slavic-core-2bd3e449-recovery-batch-route-20260707/NON_SLAVIC_CORE_2BD3E449_RECOVERY_BATCH_ROUTE_20260707/B3_REPLAY_SUMMARY_2BD.csv","coordination-route","context-only","branch-verification-generated-audit"
"A","coordination/non-slavic-core-2bd3e449-recovery-batch-route-20260707/NON_SLAVIC_CORE_2BD3E449_RECOVERY_BATCH_ROUTE_20260707/BRANCH_COMMITS_4C_TO_2BD.csv","coordination-route","context-only","branch-verification-generated-audit"
"A","coordination/non-slavic-core-2bd3e449-recovery-batch-route-20260707/NON_SLAVIC_CORE_2BD3E449_RECOVERY_BATCH_ROUTE_20260707/BRANCH_COMPARE_4C_TO_2BD.csv","coordination-route","context-only","branch-verification-generated-audit"
"A","coordination/non-slavic-core-2bd3e449-recovery-batch-route-20260707/NON_SLAVIC_CORE_2BD3E449_RECOVERY_BATCH_ROUTE_20260707/CHILD_LANE_SOURCE_GATE_SUMMARY_2BD.csv","coordination-route","context-only","branch-verification-generated-audit"
"A","coordination/non-slavic-core-2bd3e449-recovery-batch-route-20260707/NON_SLAVIC_CORE_2BD3E449_RECOVERY_BATCH_ROUTE_20260707/CJK_NATIVE_2BD_COUNTS.csv","coordination-route","context-only","branch-verification-generated-audit"
