row_id,lane,target_language_or_access_target,source_title,source_author_or_owner,topic_tags,evidence_tier,source_type,source_url,local_path,license_or_access_signal,sha256_or_other_hash,byte_count_or_status,source_language,is_target_language_witness,is_source_level_tex_or_archive,is_pdf_docx_or_text_fallback,upload_policy,gap_or_blocker_note,source_package_status,non_claim_boundary,provenance_note,next_action
R7SEAR001,SEA/Pacific,Khmer,Khmer Maths Books page,Maths24h / WordPress,Khmer;math book index;third-party discovery;source-return,C_HTML_REMOTE_HASHED_BOOK_INDEX,remote HTML book-index page,https://maths24h.wordpress.com/maths-books-collection/khmer-maths-books/,remote_hash_only_no_local_payload,Public third-party WordPress route; no explicit open redistribution license observed; no license clearance claimed,1482296E4FDB5D9CC9EF50AEA61AECDF1F5750A09ACA7B0464B58E97D13AEFC4,261740,Khmer/English page context,false_book_index_not_exact_source_text,false,true_metadata_or_remote_hash_only,manifest_only_remote_hash_no_payload,Book index/listing only; not exact higher-algebra proof prose and not source-level TeX.,no_tex_or_source_package_found_for_route,not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim,Current route is hashable and remains a noncanonical discovery lead.,Prefer official/university Khmer math sources or exact PDF provenance before downstream use.
R7SEAR002,SEA/Pacific,Khmer,Mathematics Terms English-Khmer PDF,KosalMath / WordPress-hosted PDF,Khmer;mathematics terminology;algebra glossary;function;geometry,B_PDF_REMOTE_HASHED_TERMINOLOGY_GLOSSARY,remote PDF terminology glossary,https://kosalmath.files.wordpress.com/2012/04/mathematics_terms_english_khmer.pdf,remote_hash_only_temp_extract_deleted_no_output_payload,Public WordPress-hosted PDF route; no explicit open redistribution license observed in current probe; no license clearance claimed,AAF5D7768FA0A4B13EA5E78F973E8B2499D25A65D1848C984996D8B9514CF6B4,167615,Khmer/English,true_glossary_witness_not_proof_authority,false,true_pdf_text_fallback_manifest_only,manifest_only_remote_hash_no_pdf_payload,Hashable glossary contains algebra/function/geometry terminology but is not proof prose or source-level TeX or approved terminology authority.,no_tex_or_source_package_found_for_pdf_route,not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim,Temporary text probe found English anchors for algebra geometry and function with Khmer terminology; temp files were deleted.,Keep as Khmer terminology glossary provenance only; continue official source search.
R7SEAR003,SEA/Pacific,Khmer,Mathematics Terms English Khmer Scribd mirror,Scribd / uploader metadata,Khmer;mathematics terminology;mirror;comparator-only,COMPARATOR_OR_TITLE_ONLY_NOT_TRANSLATION_EVIDENCE,third-party mirror/search-result route,https://www.scribd.com/doc/96386701/Mathematics-Terms-English-Khmer,not_downloaded_not_promoted,Search result/mirror metadata reports BY-NC-style signal but lane did not verify source ownership; no license clearance claimed,not_hashed_search_result_not_promoted,not_promoted,Khmer/English title metadata,false_mirror_or_search_result_only,false,false,manifest_only_gap_row_no_payload,Scribd mirror/search result is not source authority and is not used for translation or term approval.,mirror_not_source_package_not_promoted,not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim,Recorded only to prevent accidental promotion of title/mirror evidence.,Prefer R7SEAR002 hash plus official Khmer source search.
R7SEAR004,SEA/Pacific,Lao,JICA Laos mathematics materials portal,JICA,Laos;primary mathematics;textbook portal;official route,C_HTML_REMOTE_HASHED_OFFICIAL_ROUTE,remote HTML official page,https://www.jica.go.jp/english/activities/issues/education/materials/math/laos/lao.html,remote_hash_only_no_local_payload,Public official JICA route; no explicit open redistribution license observed; no license clearance claimed,02B2258FFA39B5CDF7450FABBE3F1EDE431FC46DC3441A7ACC0F96ACB8181F00,48943,English/Lao material labels,true_official_primary_math_route_not_higher_algebra,false,true_metadata_or_remote_hash_only,manifest_only_remote_hash_no_payload,Official primary-math source route; not higher-algebra proof prose and not TeX/source archive.,no_tex_or_source_package_found_for_route,not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim,Current JICA page is hashable and lists Lao mathematics textbook/teacher-guide materials.,Use as official route anchor for Lao primary-math source-return only.
R7SEAR005,SEA/Pacific,Lao,JICA Laos legacy slash-01 materials route,JICA,Laos;JICA;legacy route;access blocker,ACCESS_BLOCKER,remote HTML official page probe,https://www.jica.go.jp/english/activities/issues/education/materials/math/laos/01/lao.html,not_downloaded_access_blocked,Official JICA-looking legacy route currently returns 404; no license clearance claimed,Response status code does not indicate success: 404 (Not Found).,ERR,not_applicable,false_blocked_or_obsolete_route,false,false,manifest_only_no_raw_source_body_payload_for_language_lane,Legacy route now returns 404 and cannot be used as evidence.,not_applicable_blocked_route_no_source_package,not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim,Search results may surface older route shapes; current canonical route is R7SEAR004.,Prefer current JICA portal and direct PDF URLs.
R7SEAR006,SEA/Pacific,Lao,JICA Lao Grade 1 mathematics textbook PDF,JICA,Laos;primary mathematics;Grade 1 textbook;official PDF,B_PDF_REMOTE_HASHED_PRIMARY_TEXTBOOK,remote PDF official textbook,https://www.jica.go.jp/english/activities/issues/education/materials/math/laos/__icsFiles/afieldfile/2025/04/24/Grade1_textbook_1.pdf,remote_hash_only_temp_extract_deleted_no_output_payload,Public official JICA PDF route; no explicit open redistribution license observed; no license clearance claimed,FEF39C812882716615A959C8E13F74E701C3B103CC59B2BE9F7A111BE29AE1AC,5909357,Lao,true_primary_math_textbook_not_higher_algebra,false,true_pdf_text_fallback_manifest_only,manifest_only_remote_hash_no_pdf_payload,Official Lao primary textbook route; not higher-algebra proof prose or source package.,no_tex_or_source_package_found_for_pdf_route,not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim,Temporary text extraction produced no useful short Latin-script snippet; temp files were deleted.,Keep as official Lao primary-math provenance; do not use for Noether translation support.
R7SEAR007,SEA/Pacific,Lao,JICA Lao Grade 5 mathematics textbook PDF,JICA,Laos;primary mathematics;Grade 5 textbook;official PDF,B_PDF_REMOTE_HASHED_PRIMARY_TEXTBOOK,remote PDF official textbook,https://www.jica.go.jp/english/activities/issues/education/materials/math/laos/__icsFiles/afieldfile/2025/04/24/Grade5_textbook_1.pdf,remote_hash_only_temp_extract_deleted_no_output_payload,Public official JICA PDF route; no explicit open redistribution license observed; no license clearance claimed,E1BB5218A6764594F423FA783F44EADFFE41A160EBDF7C452C7EBD1F83D1CDB1,20266973,Lao,true_primary_math_textbook_not_higher_algebra,false,true_pdf_text_fallback_manifest_only,manifest_only_remote_hash_no_pdf_payload,Official Lao primary textbook route; not higher-algebra proof prose or source package.,no_tex_or_source_package_found_for_pdf_route,not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim,Temporary text extraction produced no useful short Latin-script snippet; temp files were deleted.,Keep as official Lao primary-math provenance; do not use for Noether translation support.
R7SEAR008,SEA/Pacific,Lao,Khang Panya Lao / Lao Learning Passport route,UNICEF/MOE learning platform route,Khang Panya Lao;learning platform;course route;Lao,C_HTML_REMOTE_HASHED_LEARNING_PLATFORM,remote HTML learning platform,https://laos.learningpassport.org/,remote_hash_only_no_local_payload,Public learning platform route; dynamic content/signature risk; no license clearance claimed,88F66F71FDAC529C7AB907C661999FFC880F635358AA84C6D5F586B1E525E1FD,1338421,Lao interface,true_platform_route_not_exact_text,false,true_metadata_or_remote_hash_only,manifest_only_remote_hash_no_payload,Large dynamic platform route is not exact textbook text and not higher-algebra proof prose.,not_applicable_platform_route_no_source_package,not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim,Current GET returns 200 and Lao interface text; item-level course content remains a separate capture task.,Use only as platform/source-return locator.
R7SEAR009,SEA/Pacific,Santali_Munda,Bharatavani Santali textbook listing,Bharatavani / Government of India project,Santali;Ol Chiki;mathematics textbook listing;Bharatavani,C_HTML_REMOTE_HASHED_TEXTBOOK_LISTING,remote HTML textbook listing,https://bharatavani.in/santali/textbook,remote_hash_only_no_local_payload,Public Bharatavani listing route; reading/download access may require login; no license clearance claimed,7AF73CD16C83FE65D02A1301463FAAF9BAF85D99B80F4FCF848DA5D50298AB72,57801,Santali listing context,true_listing_not_exact_text,false,true_metadata_or_remote_hash_only,manifest_only_remote_hash_no_payload,Textbook listing identifies Santali mathematics items but not exact text/PDF content.,not_applicable_listing_route_no_source_package,not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim,Search result/listing names A New Mathamatics in Olchiki for Classes VI-VIII.,Use as item-locator only; exact reading remains blocked.
R7SEAR010,SEA/Pacific,Santali_Munda,Bharatavani A New Mathamatics in Olchiki item page,Bharatavani / Government of India project,Santali;Ol Chiki;mathematics textbook;item page,C_HTML_REMOTE_HASHED_ITEM_PAGE,remote HTML item page,https://bharatavani.in/santali/book?id=%E0%A4%A8%E0%A4%BE%E0%A4%B5%E0%A4%BE+%E0%A4%90%E0%A4%B2%E0%A4%96%E0%A4%BE+%E0%A4%AA%E0%A4%A4%E0%A4%AC%E0%A5%8D+%7C+A+New+Mathamatics+in+Olchiki&post_category=book,remote_hash_only_no_local_payload,Public Bharatavani item route; reading/download still login-gated or not captured; no license clearance claimed,201C3D61951B1719E6CA2FF5FBC9673A6CCE2B449E22B1112E03D36718E18287,42925,Santali item context,true_item_metadata_not_exact_text,false,true_metadata_or_remote_hash_only,manifest_only_remote_hash_no_payload,Item page is metadata/source locator only; exact text/PDF remains blocked or uncaptured.,not_applicable_item_page_no_source_package,not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim,Current item route is hashable but does not close exact reading/PDF capture.,Retry item-level access only if login/license gate can be handled.
