"artifact","sha256","bytes","role","snapshot_scope"
"03_projects/language_management/english_germanic/03_working_translations/sga5_english_sync_workpass/SGA5_English_sync_workpass.tex","313435A40E17DF53DC9C86D271548EFCE1C27520662D609D05C4FB373211E4F2","796438","current-live-cumulative-tex","final-package revalidation snapshot; III B slice SHA 0405187228682396D5D78830868277F35B37B3036BDF6435C139145E84246CC5"
"03_projects/language_management/english_germanic/03_working_translations/sga5_english_sync_workpass/SGA5_English_sync_workpass.pdf","7E17A3BC0B72C678D2799340DFD16A93D1AFEC2FC9DD222644742F754B382C68","1984750","reviewed-cumulative-pdf","immediate III B build snapshot 9D97AB94F341801EC8937BD407440B4AD98E8DDD17EDE27A8C90CD243CF390BB"
"03_projects/language_management/english_germanic/02_native_examples/sga5_current_french_workpass/sga5_fr_workpass.tex","791F4EFFC5E02832D5D77ED03518C8156D6F07E4C8238B03545DB93D883FBB28","848165","source-checked-french-authority","authority"
"C:/Users/Floris/Documents/Papors/OS/SGA5 (1).pdf","B256EBD072A8C68209518412A263C9289C6F1854A346733D86F885930D5FE6CA","62025563","original-lnm589-scan","authority"
"tmp/sga5_audits/iiib_semantic_tranche_20260717/ANCHOR_VALIDATION.csv","25A9D3A494DFA2B31DD1696F2D318ADAB1E4E3A480E42CE15CAFD4AB34B45DD8","3393","ledger-or-machine-audit","III B semantic tranche evidence"
"tmp/sga5_audits/iiib_semantic_tranche_20260717/BUILD_TRANCHE_IIIB_SEMANTIC_20260717.log","3AF212B050AE9EAAFFE93494C4979590571EC0322D3718B522DC043B3E0C3F86","358091","compile-log","III B semantic tranche evidence"
"tmp/sga5_audits/iiib_semantic_tranche_20260717/CONTINUATION_CURSOR.md","01EC6EEBE4C633C1B841DB973E847A99315366C1010DC1AB9059FFC517377D43","2448","review-report-or-cursor","III B semantic tranche evidence"
"tmp/sga5_audits/iiib_semantic_tranche_20260717/RECEIPT_CLOSURE.csv","C881B0EEFE02ABFC27A3C3977611F1BBC7DEBDAACAFF87CC60F26D017BE494A9","8240","ledger-or-machine-audit","III B semantic tranche evidence"
"tmp/sga5_audits/iiib_semantic_tranche_20260717/RENDER_QA.csv","B8605ABDD7D9DDD8B7AB879C3A68CFCD22B8D01C94D3A4AB304116AA1C195A19","2775","ledger-or-machine-audit","III B semantic tranche evidence"
"tmp/sga5_audits/iiib_semantic_tranche_20260717/renders/english_contact_sheet.png","C97E6DB97C1AA9CD741BCE5CBF2CADA84B925216A3CEF7EC40C728F6798593DA","1269942","rendered-visual-qa","III B semantic tranche evidence"
"tmp/sga5_audits/iiib_semantic_tranche_20260717/renders/english_pdf_p093.png","315C4CFBB6EDD0BCBF2DADFE7FB48D32C1461C3CEA1943FFA9EDB0CC3C2E60AF","346755","rendered-visual-qa","III B semantic tranche evidence"
"tmp/sga5_audits/iiib_semantic_tranche_20260717/renders/english_pdf_p094.png","DCDC0F986D1DA3FE53D0A1D8CA88E057B3F0D409874A5FE8F0454FC3D67C4E03","229488","rendered-visual-qa","III B semantic tranche evidence"
"tmp/sga5_audits/iiib_semantic_tranche_20260717/renders/english_pdf_p097.png","1E6695A0B1336DFDA11CED58718411F5DA791FEE0EF87806285515640B1C6715","282716","rendered-visual-qa","III B semantic tranche evidence"
"tmp/sga5_audits/iiib_semantic_tranche_20260717/renders/english_pdf_p111.png","5E224F60BB13BE013C4FAF2DC88A066B28A199B173D9906FE36C0E0B1588BA6C","239383","rendered-visual-qa","III B semantic tranche evidence"
"tmp/sga5_audits/iiib_semantic_tranche_20260717/renders/english_pdf_p114.png","0B7708531F4CBB519A30D31A9B5FF1AD16965FA7E97B65B184B174A8DB4D9192","257925","rendered-visual-qa","III B semantic tranche evidence"
