receipt_id,printed_source_page,english_anchor_current_line,exact_semantic_or_structural_correction,authority_or_evidence,disposition
"SGA5-EXACT-0130","149","line 4806; §2.4","Removed the source-absent superscript b from D_ctf(Z).","French workpass line 4512; original scan PDF p.161 (printed p.149).","patched-this-tranche"
"SGA5-EXACT-0140","149","line 4821; §2.4","Restored the source quotation marks around base-change arrow.","French workpass line 4527; original scan PDF p.161 (printed p.149).","patched-this-tranche"
"SGA5-EXACT-0141","149","line 4825; §2.4","Restored the source quotation marks around projection arrows.","French workpass line 4531; original scan PDF p.161 (printed p.149).","patched-this-tranche"
"SGA5-EXACT-0142","149","line 4831; §2.4","Corrected both tensor bases to S and removed the inherited prime from M.","French workpass line 4537 and original scan PDF p.161 both show unprimed M and base S.","patched-this-tranche"
"SGA5-EXACT-0145","176","line 5619; §5.10.9","Restored the source quotation marks around tensor-product.","French workpass line 5325; original scan PDF p.188 (printed p.176).","patched-this-tranche"
"SGA5-EXACT-0146","176","lines 5620–5626; §5.10.9","Restored square (*), display labels (2) and (3), and the exact upper/lower cross-reference dependency.","French workpass lines 5325–5337; original scan PDF p.188; rendered English PDF p.115.","patched-this-tranche"
"SGA5-EXACT-0147","187","line 5994; immediately after (6.5.6)","Inserted the omitted identification KA_X tensor_{A^e} A = KA_{X,L_natural} via 6.3.2 and K_X tensor A = KA_X.","French workpass line 5713; original scan PDF p.199 (printed p.187).","patched-this-tranche"
"SGA5-EXACT-0148","193","line 6363; Proposition 6.12","Restored the source quotation marks around Gysin.","French workpass line 6081; original scan PDF p.205 (printed p.193).","patched-this-tranche"
"SGA5-EXACT-0156","199–200","lines 6762–6769; Proposition 6.23","Replaced the inherited equality by both independent source hypotheses: (fc_1)^−1(V) connected and d_1^−1(V) contained in d_2^−1(V).","French workpass line 6488; original scan PDF pp.211–212 across the printed pp.199–200 page break; rendered English PDF p.135.","patched-this-tranche"
"SGA5-EXACT-0157","202","line 6872; Lemma 6.23.3 proof","Preserved the already-current source labels: (2) is external tensor product and (1) is the displayed trace tensor.","French workpass line 6596; desired anchor unique in the stable III B slice.","verified-current-preserved"
"SGA5-EXACT-0158","202","line 6876; Lemma 6.23.3 proof","Preserved the already-current parenthetical trace reference and label (3).","French workpass line 6600; desired anchor unique in the stable III B slice.","verified-current-preserved"
"SGA5-EXACT-0359","144","line 4626; §1.6","Corrected Langlands's b-correspondence to lowercase phi while retaining uppercase Phi for v.","French workpass line 4332; original scan PDF p.156 (printed p.144); rendered English PDF p.93.","patched-this-tranche"
"SGA5-EXACT-0360","146","lines 4645–4655; §2.1 diagrams","Restored diagram labels (1)–(4) and the assertion that squares (1) and (4) are cartesian.","French workpass line 4361; original scan PDF p.158; rendered English PDF p.94; III B diagrams remain 41/41.","patched-this-tranche"
"SGA5-EXACT-0361","146","line 4685; Lemma 2.2 proof","Changed the generic cartesian-square reference to the exact source reference square (1).","French workpass line 4391; original scan PDF p.158.","patched-this-tranche"
"SGA5-EXACT-0362","148","line 4784; §2.3","Preserved the already-current equality u_*=u'_*, v_*=v'_* explicitly derived from (1).","French workpass line 4490; desired anchor unique in the stable III B slice.","verified-current-preserved"
"SGA5-EXACT-0363","148","line 4788; §2.3","Preserved the already-current exact conclusion by comparison of (2) and (3).","French workpass line 4494; desired anchor unique in the stable III B slice.","verified-current-preserved"
"SGA5-EXACT-0377","153","line 4959; Lemma 3.3","Preserved the restored footnote defining the usual abuse X'=X'×{y'}, etc.","French workpass line 4665; stable III B footnote parity 7/7.","verified-current-preserved"
"SGA5-EXACT-0408","178","line 5697; §5.11","Preserved B, rejecting the inherited B_natural in the value-at-g^−1 formula.","French workpass line 5404; desired anchor unique in the stable III B slice.","verified-current-preserved"
"SGA5-EXACT-0409","181","line 5783; §5.13","Restored the repeated phi: phi is defined by an endomorphism phi of G.","French workpass line 5502; original scan PDF p.193 (printed p.181).","patched-this-tranche"
"SGA5-EXACT-0411","184","line 5862; formula (6.2.3)","Removed the source-absent p_1^* from the second RHom argument.","French workpass line 5581; original scan PDF p.196; rendered English PDF p.121.","patched-this-tranche"
"SGA5-EXACT-0413","184","line 5858; before (6.2.3)","Restored the parenthetical target category D^+(X,A_2) when A_2 is commutative.","French workpass line 5577; original scan PDF p.196.","patched-this-tranche"
"SGA5-EXACT-0415","184","line 5829; formula (6.2.1) setup","Corrected L_2 to the left-A module category D^-({}_A X_2).","French workpass line 5548; original scan PDF p.196.","patched-this-tranche"
"SGA5-EXACT-0416","184","lines 5843–5845; formula (6.2.1) generalization","Restored the four source left/right module categories for Y, X_1, X_2, and Y_2.","French workpass line 5564; original scan PDF p.196.","patched-this-tranche"
"SGA5-EXACT-0417","184","lines 5845–5852; formula (6.2.2) setup","Restored M_1 in D^-({}_B Y_{1A}) and M_2 in D^-({}_A Y_{2C}).","French workpass line 5571; original scan PDF p.196.","patched-this-tranche"
"SGA5-EXACT-0419","186","lines 5970–5975; definition (6.5.3)","Removed the source-absent c_* from the domain of the local trace.","French workpass line 5691; original scan PDF p.198 (printed p.186); rendered English PDF p.123.","patched-this-tranche"
"SGA5-EXACT-0420","188","lines 6050–6056; §6.6 construction","Restored the successive tensor bases A, Lambda, A in the first identification.","French workpass lines 5770–5774; original scan PDF p.200; rendered English PDF p.124.","patched-this-tranche"
"SGA5-EXACT-0421","188","lines 6065–6070; §6.6 final identification","Changed only the final KA_{X_1} tensor KA_{X_2} base to A; retained the preceding source base Lambda.","French workpass line 5787; original scan PDF p.200; rendered English PDF p.124.","patched-this-tranche"
"SGA5-EXACT-0424","192","line 6314; diagram (6.11.1)","Restored the exact compound modifier G-equivariant in the square description.","French workpass line 6032; original scan PDF p.204 (printed p.192).","patched-this-tranche"
"SGA5-EXACT-0429","201","lines 6831–6836; Lemma 6.23.3 square (*)","Preserved the corrected lower-left node with p_2^!P' tensor Q, not p_2^!(P' tensor Q).","French workpass line 6557; stable diagram parity and unique desired anchor.","verified-current-preserved"
"SGA5-EXACT-0430","201","line 6852; Lemma 6.23.3 footnote","Preserved D_ctf without the inherited superscript minus.","French workpass line 6574; stable footnote parity and unique desired anchor.","verified-current-preserved"
"SGA5-EXACT-0431","201","line 6863; Lemma 6.23.3 proof","Preserved the explicit reference to the square induced by (*).","French workpass line 6585; desired anchor unique in the stable III B slice.","verified-current-preserved"
"SGA5-EXACT-0432","201","line 6863; Lemma 6.23.3 proof","Preserved the explicit wording The square (*) then reads.","French workpass line 6585; desired anchor unique in the stable III B slice.","verified-current-preserved"
"IIIB-SUPPLEMENTAL-5.9-DISPLAY","171","line 5475; §5.9","Returned the extension-of-scalars functor from an inherited extra display to source-inline form.","French workpass line 5182; original scan PDF p.183; stable display parity 240/240.","patched-supplemental"
