location,retain,rejected,authority,reason
"III B 1.6 / receipt 0359","lowercase $\phi$ for the correspondence named in the first Langlands datum; uppercase $\Phi$ for the later correspondence $v$","normalizing both occurrences to uppercase $\Phi$","French workpass 4332; scan printed p.144 / PDF p.156","The source intentionally distinguishes the first datum from the later named correspondence."
"III B 2.1 / receipts 0360-0361","square labels (1)-(4), with squares (1) and (4) cartesian","unlabeled squares and a prose paraphrase of the cartesian condition","French workpass 4361-4391; scan printed p.146 / PDF p.158","Later reasoning explicitly depends on square (1)."
"III B 2.4 / receipts 0140-0141","quoted technical terms ``base-change arrow'' and ``projection arrows''","unquoted inherited terminology","French workpass 4527-4531; scan printed p.149 / PDF p.161","Quotation marks are source-significant terminology markers."
"III B 2.4 / receipt 0142","$P=DL\lten_SM$, $Q=L\lten_SDM$","$P=DL\lten_{\Lambda}M'$, $Q=L\lten_{\Lambda}DM$","French workpass 4537; scan printed p.149 / PDF p.161","The scan shows base $S$ and unprimed $M$; retaining the inherited prime would introduce a nonexistent object."
"III B 5.9 supplemental parity repair","inline extension-of-scalars functor","source-absent extra unnumbered display","French workpass 5182; scan printed p.171 / PDF p.183","Inline setting closes the sole residual III B display-count mismatch without changing mathematics."
"III B 5.10.9 / receipts 0145-0146","quoted ``tensor-product'' terminology; square (*); display labels (2),(3); source resp. references","unlabeled square/displays and prose references to upper/lower arrows without source labels","French workpass 5325-5332; scan printed p.176 / PDF p.188","The labels are required by the following comparison argument."
"III B 6.2 / receipts 0415-0417","explicit left/right module categories ${}_AX_2$, ${}_BY_C$, ${}_BX_{1A}$, ${}_AX_{2B}$, ${}_AY_2$, ${}_BY_{1A}$, ${}_AY_{2C}$","legacy subscript shorthand that swaps or obscures module sides","French workpass 5548-5571; scan printed p.184 / PDF p.196","Module side is mathematical data, not typographic normalization."
"III B 6.2.3 / receipt 0411","second argument $F_1\lten_{S,A_2}F_2$ exactly as printed","smoother-looking $p_1^*F_1\lten_{S,A_2}F_2$","French workpass 5581; scan printed p.184 / PDF p.196","The source-checked authority and scan agree; do not silently regularize the formula."
"III B 6.5.3 / receipt 0419","$\delta^*\RHom_A(p_1^*L,p_2^!L)$","source-absent $\delta^*c_*\RHom_A(p_1^*L,p_2^!L)$","French workpass 5691; scan printed p.186 / PDF p.198","The local trace is defined before a supported correspondence $c$ enters."
"III B 6.6 / receipts 0420-0421","bases $A,\Lambda,A$ in the four-factor identification and base $A$ in the final $KA_{X_1}\lten_AKA_{X_2}$ identification","leaving bases implicit or changing both $KA_{X_1}\lten KA_{X_2}$ occurrences to the same base","French workpass 5770-5787; scan printed p.188 / PDF p.200","The earlier occurrence remains over $\Lambda$; only the final identification is over $A$."
"III B 6.23 / receipt 0156","both hypotheses: $(fc_1)^{-1}(V)$ connected and $d_1^{-1}(V)\subset d_2^{-1}(V)$","legacy equality $d_1^{-1}(V)=d_2^{-1}(V)$ or audit shorthand that drops the inclusion","French workpass 6488; scan printed pp.199-200 / PDF pp.211-212","Both conditions are plainly printed across the source page break and are logically independent."
"III B 6.23.3 / receipt 0430","$D_{\mathrm{ctf}}({}_{\Lambda[G]}Y)$ in the restored footnote","$D^-_{\mathrm{ctf}}({}_{\Lambda[G]}Y)$","French workpass 6574; scan printed p.201 / PDF p.213","The source makes no bounded-above restriction here."
