source_printed_page,scan_pdf_page,english_pdf_page,receipt_ids,evidence_files,visual_verdict
"144","156","93","0359","renders/scan_pdf_p156.png; renders/english_pdf_p093.png","pass: lowercase/uppercase Langlands datum remains legible; no clipping, collision, broken glyph, or margin loss"
"146","158","94","0360;0361","renders/scan_pdf_p158.png; renders/english_pdf_p094.png","pass: phantom labels (1)-(4), arrows, and cartesian-square prose are clear and remain inside the measure"
"149","161","97","0130;0140;0141;0142","renders/scan_pdf_p161.png; renders/english_pdf_p097.png","pass: category, quoted arrow terms, and S-based tensor formulas are legible; no overflow or lost prime/glyph"
"171","183","111","IIIB-SUPPLEMENTAL-5.9-DISPLAY","renders/scan_pdf_p183.png; renders/english_pdf_p111.png","pass: inline extension-of-scalars functor follows source presentation and introduces no crowding"
"176","188","115","0145;0146","renders/scan_pdf_p188.png; renders/english_pdf_p115.png","pass: square (*), labels (1)-(3), both tensor-product displays, and following prose render completely with no clipping"
"181","193","119","0409","renders/scan_pdf_p193.png; renders/english_pdf_p119.png","pass: repeated varphi is clear; no glyph substitution or line collision"
"184","196","121","0411;0413;0415;0416;0417","renders/scan_pdf_p196.png; renders/english_pdf_p121.png","pass: module-side categories, parenthetical category, and 6.2.3 second argument are legible and correctly aligned"
"186","198","123","0419","renders/scan_pdf_p198.png; renders/english_pdf_p123.png","pass: local-trace domain and formula sequence are intact; no clipping or collision"
"187","199","123","0147","renders/scan_pdf_p199.png; renders/english_pdf_p123.png","pass: inserted identification after 6.5.6 is readable and does not orphan punctuation"
"188","200","124","0420;0421","renders/scan_pdf_p200.png; renders/english_pdf_p124.png","pass: tensor bases A/Lambda/A and final A-base identification are visible and within margins"
"192","204","128","0424","renders/scan_pdf_p204.png; renders/english_pdf_p128.png","pass: G-equivariant wording and 6.11.1 square remain clear"
"193","205","129","0148","renders/scan_pdf_p205.png; renders/english_pdf_p129.png","pass: quoted Gysin term and adjacent formula render without defect"
"199-200","211-212","135","0156","renders/scan_pdf_p211.png; renders/scan_pdf_p212.png; renders/english_pdf_p135.png","pass: both source hypotheses are present on one English page, with inclusion glyph visible and no overflow"
"control-neighbor","not-applicable","114","compile-warning control","renders/english_pdf_p114.png","pass: inherited 8.095pt overfull paragraph is not clipped and remains visually inside the physical page; it is outside the semantic patch anchors"
