"recovery_id","priority","scope","blocker_class","exact_path_or_evidence","live_retry_or_web_status","next_recovery_action","applied_8f7_gate_id","post_8f7_decision","b3_or_manual_next_action","no_claim_boundary"
"R6-POST-B3-RECOVERY-001","priority_recovery","Bislama, Papiamento/Papiamentu, Mauritian/Seychellois/Indian Ocean Creoles, Sranan/Guyanas, Jamaican Creole/Patois, Nigerian Pidgin, Krio, Tok Pisin, others","source_canon_insufficient","source_acquisition_or_gap_only","existing local source/probe metadata only; exact target math body or authority return still required","Kreyol, Mauritius, Krio, Tok Pisin, Nigerian Pidgin, and Cape Verdean Kriolu route/candidate-source addenda are metadata only; continue named-language mathematical source-archive discovery before any source-archive claim.","8F7D-GATE-0022","source acquisition/gap row; do not expand draft/pretranslation/scaffold from this row","B3/source-owner/manual route may supply exact body with URL, local path, bytes, sha256, access/license signal, and reviewer/source-owner question","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-002","priority_recovery","Cape Verdean Kriolu / Belize Kriol / other T0 creole rows","source_canon_insufficient","source_acquisition_or_gap_only","existing local source/probe metadata only; exact target math body or authority return still required","Use NOETHER_R6_CAPE_VERDEAN_KRIOLU_SOURCE_ROUTE_ADDENDUM_20260705.csv for Cape Verdean Kriolu route/context provenance; exact Kriolu mathematics/STEM body or validated mathematical source archive, source-owner/reviewer return, and reuse decision remain required. Belize Kriol and other T0 creole rows remain separate blockers.","8F7D-GATE-0022","source acquisition/gap row; do not expand draft/pretranslation/scaffold from this row","B3/source-owner/manual route may supply exact body with URL, local path, bytes, sha256, access/license signal, and reviewer/source-owner question","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-003","standard","Jamaican Creole / Jamaican Patois","source_canon_insufficient","source_acquisition_or_gap_only","existing local source/probe metadata only; exact target math body or authority return still required","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot | no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot | Find Jamaican Creole/Patois math/numeracy/literacy-STEM source or reviewer route; English curriculum remains comparator only.","8F7D-GATE-0022","source acquisition/gap row; do not expand draft/pretranslation/scaffold from this row","B3/source-owner/manual route may supply exact body with URL, local path, bytes, sha256, access/license signal, and reviewer/source-owner question","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-004","standard","Jamaican Creole/Patois","source_canon_insufficient","source_acquisition_or_gap_only","existing local source/probe metadata only; exact target math body or authority return still required","Find Patois STEM/numeracy witness or reviewer route.","8F7D-GATE-0022","source acquisition/gap row; do not expand draft/pretranslation/scaffold from this row","B3/source-owner/manual route may supply exact body with URL, local path, bytes, sha256, access/license signal, and reviewer/source-owner question","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-006","priority_recovery","Kreyol/Haitian Creole, Bislama, Papiamento/Papiamentu, Mauritian/Seychellois/Indian Ocean Creoles, Jamaican Creole/Patois, Nigerian Pidgin, Krio, Tok Pisin, Sranan/Guyanas, and adjacent named creole/contact rows","source_canon_insufficient","source_acquisition_or_gap_only","existing local source/probe metadata only; exact target math body or authority return still required","Use Kreyol GitHub candidate rows, Nigerian Pidgin pcm source-file candidates, and Mauritius/Krio/Tok Pisin/Cape Verdean Kriolu official route captures as blocker metadata only; keep named creole/contact repositories separate and require file-level capture policy, license scope, mathematical content review, and reviewer/source-owner route.","8F7D-GATE-0022","source acquisition/gap row; do not expand draft/pretranslation/scaffold from this row","B3/source-owner/manual route may supply exact body with URL, local path, bytes, sha256, access/license signal, and reviewer/source-owner question","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-007","priority_recovery","Krio","source_canon_insufficient","source_acquisition_or_gap_only","existing local source/probe metadata only; exact target math body or authority return still required","Use NOETHER_R6_KRIO_SIERRA_LEONE_MBSSE_SOURCE_ROUTE_ADDENDUM_20260705.csv for Krio/Sierra Leone route/context provenance; exact Krio mathematics/STEM body, source-owner/reviewer return, and reuse decision remain required.","8F7D-GATE-0022","source acquisition/gap row; do not expand draft/pretranslation/scaffold from this row","B3/source-owner/manual route may supply exact body with URL, local path, bytes, sha256, access/license signal, and reviewer/source-owner question","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-009","standard","Nigerian Pidgin","source_canon_insufficient","source_acquisition_or_gap_only","existing local source/probe metadata only; exact target math body or authority return still required","Use NOETHER_R6_NIGERIAN_PIDGIN_SOURCE_ROUTE_ADDENDUM_20260705.csv for Nigerian Pidgin route/context/candidate-source provenance; exact Nigerian Pidgin mathematics/STEM body or validated mathematical source archive, source-owner/reviewer return, and reuse decision remain required.","8F7D-GATE-0022","source acquisition/gap row; do not expand draft/pretranslation/scaffold from this row","B3/source-owner/manual route may supply exact body with URL, local path, bytes, sha256, access/license signal, and reviewer/source-owner question","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-010","priority_recovery","Nigerian Pidgin/Krio/Tok Pisin/Cape Verdean/Belize","source_canon_insufficient","source_acquisition_or_gap_only","existing local source/probe metadata only; exact target math body or authority return still required","Nigerian Pidgin, Krio, Tok Pisin, and Cape Verdean Kriolu route contexts are now recorded in dated addenda; keep Belize Kriol and other rows separate and unresolved until exact named-language evidence lands.","8F7D-GATE-0022","source acquisition/gap row; do not expand draft/pretranslation/scaffold from this row","B3/source-owner/manual route may supply exact body with URL, local path, bytes, sha256, access/license signal, and reviewer/source-owner question","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-011","priority_recovery","Papiamento/Papiamentu","source_canon_insufficient","source_acquisition_or_gap_only","existing local source/probe metadata only; exact target math body or authority return still required","Use the 20260705 Aruba route retry addendum for EA.AW blocker provenance; still split Aruba Papiamento vs Curacao Papiamentu and resolve exact source-body access before concept or support movement.","8F7D-GATE-0022","source acquisition/gap row; do not expand draft/pretranslation/scaffold from this row","B3/source-owner/manual route may supply exact body with URL, local path, bytes, sha256, access/license signal, and reviewer/source-owner question","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-012","priority_recovery","Papiamento/Papiamentu - Aruba","source_canon_insufficient","source_acquisition_or_gap_only","existing local source/probe metadata only; exact target math body or authority return still required","Existing strict context rows do not close EA.AW catalog blockers. Use the 20260705 Aruba route retry addendum for Map/Rampa route evidence; resolve PDF source-body access, Aruba Papiamento reviewer/source-owner route, and reuse/license signal before source-authority or support movement.","8F7D-GATE-0022","source acquisition/gap row; do not expand draft/pretranslation/scaffold from this row","B3/source-owner/manual route may supply exact body with URL, local path, bytes, sha256, access/license signal, and reviewer/source-owner question","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-015","priority_recovery","Tok Pisin","source_canon_insufficient","source_acquisition_or_gap_only","existing local source/probe metadata only; exact target math body or authority return still required","Use NOETHER_R6_TOK_PISIN_PNG_FODE_SOURCE_ROUTE_ADDENDUM_20260705.csv for Tok Pisin/PNG route/context provenance; exact Tok Pisin mathematics/STEM body, source-owner/reviewer return, and reuse decision remain required.","8F7D-GATE-0022","source acquisition/gap row; do not expand draft/pretranslation/scaffold from this row","B3/source-owner/manual route may supply exact body with URL, local path, bytes, sha256, access/license signal, and reviewer/source-owner question","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-016","priority_recovery","Ecuador EIB","source_canon_insufficient","source_acquisition_or_gap_only","web-visible Ecuador CNIB official page; KICHWA_CNIB_2017 route known, local capture timed out","Use NOETHER_R6_ECUADOR_EIB_KICHWA_CNIB_ROUTE_RETRY_ADDENDUM_20260705.csv as route blocker/provenance metadata only; resolve official CNIB/Kichwa PDF source-body access or source-owner route before any support movement.","8F7D-GATE-0022","source acquisition/gap row; do not expand draft/pretranslation/scaffold from this row","B3/source-owner/manual route may supply exact body with URL, local path, bytes, sha256, access/license signal, and reviewer/source-owner question","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-017","priority_recovery","Guarani/Paraguay","source_canon_insufficient","source_acquisition_or_gap_only","web-visible MEC page/PDF routes; local capture timed out","Resolve MEC page/direct file links through allowed browser/API/source-owner/manual route; if captured later, record exact URL, local path, byte count, SHA-256, language/topic tags, source-owner/reviewer route, and reuse/license signal before support movement.","8F7D-GATE-0022","source acquisition/gap row; do not expand draft/pretranslation/scaffold from this row","B3/source-owner/manual route may supply exact body with URL, local path, bytes, sha256, access/license signal, and reviewer/source-owner question","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-018","priority_recovery","Krio/Sierra Leone","source_canon_insufficient","source_acquisition_or_gap_only","existing local source/probe metadata only; exact target math body or authority return still required","Retry via browser/manual stack; classify as national curriculum context, not Krio STEM witness until language-specific evidence exists.","8F7D-GATE-0022","source acquisition/gap row; do not expand draft/pretranslation/scaffold from this row","B3/source-owner/manual route may supply exact body with URL, local path, bytes, sha256, access/license signal, and reviewer/source-owner question","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-020","priority_recovery","Papiamento/Papiamentu - Aruba","source_canon_insufficient","source_acquisition_or_gap_only","existing local source/probe metadata only; exact target math body or authority return still required","Use NOETHER_R6_ARUBA_PAPIAMENTO_SOURCE_ROUTE_RETRY_ADDENDUM_20260705.csv as route blocker/provenance metadata only; resolve EA.AW PDF source-body access, official mirror/archive, or source-owner route before any support movement.","8F7D-GATE-0022","source acquisition/gap row; do not expand draft/pretranslation/scaffold from this row","B3/source-owner/manual route may supply exact body with URL, local path, bytes, sha256, access/license signal, and reviewer/source-owner question","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-028","priority_recovery","Ecuador EIB","source_canon_insufficient","source_acquisition_or_gap_only","web-visible Ecuador CNIB official page; KICHWA_CNIB_2017 route known, local capture timed out","Use NOETHER_R6_ECUADOR_EIB_KICHWA_CNIB_ROUTE_RETRY_ADDENDUM_20260705.csv as route blocker/provenance metadata only; resolve official CNIB/Kichwa PDF source-body access and keep each Ecuador CNIB language/level separate before support movement.","8F7D-GATE-0022","source acquisition/gap row; do not expand draft/pretranslation/scaffold from this row","B3/source-owner/manual route may supply exact body with URL, local path, bytes, sha256, access/license signal, and reviewer/source-owner question","blocker/recovery row only; not source certification, authority approval, or translation completion"
