blocker_id,status,evidence,next_action,fd3754_status,non_claim_boundary
FD3754-CJK-9BB-GAP-0001,archive-gap-open-but-local-source-body-corpus-mitigates-lane-baseline,local japanese source rows=28; nonzero files=28; expected archive Japanese subpath remains absent when scanned,Use separate Japanese source-body corpus previously packaged; do not claim this ZIP supplies Japanese native bodies.,retained/carry-forward after current-head advance,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, or translation completion claim."
FD3754-CJK-9BB-GAP-0002,archive-gap-open-and-korean-remains-addendum-routing-with-local-source-bodies,local korean_addendum source rows=14; nonzero files=11; expected archive Korean subpath remains absent when scanned,Keep Korean as addendum/recovery routing unless independent non-empty Korean source bodies are found.,retained/carry-forward after current-head advance,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, or translation completion claim."
FD3754-CJK-9BB-GAP-0003,open-boundary-retained,translation support rows may support generated-draft/non-canonical notes only; not native source-body evidence,"Use these only as derived/generated/bilingual support, not native CJK evidence or accepted terminology.",retained/carry-forward after current-head advance,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, or translation completion claim."
FD3754-CJK-9BB-GAP-0004,open-license-access-review-required,source witnesses and raw archive remain without blanket license clearance in this lane packet,Preserve source-use/access labels and route through B3; no blanket license-clearance claim.,retained/carry-forward after current-head advance,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, or translation completion claim."
FD3754-P0-CJK-A7D-RECOVERY-0023,directory-container-not-source-body,modern-latex-manuscripts-20260609-174659/sources/non-european/sources/chinese/,keep directory label; use child rows only when body/source-use label exists,retained boundary,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, or translation completion claim."
FD3754-P0-CJK-A7D-RECOVERY-0024,directory-container-not-source-body,modern-latex-manuscripts-20260609-174659/sources/non-european/sources/chinese/texmf/,keep directory label; use child rows only when body/source-use label exists,retained boundary,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, or translation completion claim."
FD3754-P0-CJK-A7D-RECOVERY-0025,directory-container-not-source-body,modern-latex-manuscripts-20260609-174659/sources/non-european/sources/chinese/texmf/tex/,keep directory label; use child rows only when body/source-use label exists,retained boundary,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, or translation completion claim."
FD3754-P0-CJK-A7D-RECOVERY-0026,directory-container-not-source-body,modern-latex-manuscripts-20260609-174659/sources/non-european/sources/chinese/texmf/tex/latex/,keep directory label; use child rows only when body/source-use label exists,retained boundary,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, or translation completion claim."
FD3754-P0-CJK-A7D-RECOVERY-0027,directory-container-not-source-body,modern-latex-manuscripts-20260609-174659/sources/non-european/sources/chinese/texmf/tex/latex/local/,keep directory label; use child rows only when body/source-use label exists,retained boundary,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, or translation completion claim."
FD3754-P0-CJK-A7D-RECOVERY-0028,directory-container-not-source-body,modern-latex-manuscripts-20260609-174659/sources/non-european/sources/translations/arabic/chinese/,keep directory label; use child rows only when body/source-use label exists,retained boundary,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, or translation completion claim."
FD3754-P0-CJK-A7D-RECOVERY-0037,directory-container-not-source-body,modern-latex-manuscripts-20260609-174659/sources/non-european/sources/translations/classical_modern_chinese/chinese/,keep directory label; use child rows only when body/source-use label exists,retained boundary,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, or translation completion claim."
FD3754-P0-CJK-A7D-RECOVERY-0060,directory-container-not-source-body,modern-latex-manuscripts-20260609-174659/sources/non-european/sources/translations/english_bilingual/chinese/,keep directory label; use child rows only when body/source-use label exists,retained boundary,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, or translation completion claim."
FD3754-LICENSE-ACCESS,open-license-access-review-required,No blanket license/access clearance exists in this lane packet,B3/source-canon owner keeps upload policy and license/access signals attached,retained,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, or translation completion claim."
