status,path,top_root,signal_terms,path_class,source_use_decision,non_claim_boundary
A,coordination/non-slavic-core-faa2c330-cjk-draft-mutual-wake-route-20260706/NON_SLAVIC_CORE_FAA2C330_CJK_DRAFT_MUTUAL_WAKE_ROUTE_20260706/B3_UPLOADER_READY_SUMMARY.csv,coordination,cjk,cjk-draft-route-pointer,branch-visible context only; do not treat as native CJK evidence unless class is cjk-native-source-packet or source-body row is independently checked,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, or translation completion claim."
A,coordination/non-slavic-core-faa2c330-cjk-draft-mutual-wake-route-20260706/NON_SLAVIC_CORE_FAA2C330_CJK_DRAFT_MUTUAL_WAKE_ROUTE_20260706/BLOCKER_RECOVERY_ROWS_FAA2C330_CJK_DRAFT.csv,coordination,cjk,cjk-draft-route-pointer,branch-visible context only; do not treat as native CJK evidence unless class is cjk-native-source-packet or source-body row is independently checked,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, or translation completion claim."
A,coordination/non-slavic-core-faa2c330-cjk-draft-mutual-wake-route-20260706/NON_SLAVIC_CORE_FAA2C330_CJK_DRAFT_MUTUAL_WAKE_ROUTE_20260706/CJK_DRAFT_COUNTS_FAA2C330.csv,coordination,cjk,cjk-draft-route-pointer,branch-visible context only; do not treat as native CJK evidence unless class is cjk-native-source-packet or source-body row is independently checked,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, or translation completion claim."
A,coordination/non-slavic-core-faa2c330-cjk-draft-mutual-wake-route-20260706/NON_SLAVIC_CORE_FAA2C330_CJK_DRAFT_MUTUAL_WAKE_ROUTE_20260706/CJK_DRAFT_SOURCE_BACKED_ROUTE_ROWS_FAA2C330.csv,coordination,cjk,cjk-draft-route-pointer,branch-visible context only; do not treat as native CJK evidence unless class is cjk-native-source-packet or source-body row is independently checked,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, or translation completion claim."
A,coordination/non-slavic-core-faa2c330-cjk-draft-mutual-wake-route-20260706/NON_SLAVIC_CORE_FAA2C330_CJK_DRAFT_MUTUAL_WAKE_ROUTE_20260706/MANIFEST.csv,coordination,cjk,cjk-draft-route-pointer,branch-visible context only; do not treat as native CJK evidence unless class is cjk-native-source-packet or source-body row is independently checked,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, or translation completion claim."
A,coordination/non-slavic-core-faa2c330-cjk-draft-mutual-wake-route-20260706/NON_SLAVIC_CORE_FAA2C330_CJK_DRAFT_MUTUAL_WAKE_ROUTE_20260706/README.md,coordination,cjk,cjk-draft-route-pointer,branch-visible context only; do not treat as native CJK evidence unless class is cjk-native-source-packet or source-body row is independently checked,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, or translation completion claim."
A,coordination/non-slavic-core-faa2c330-cjk-draft-mutual-wake-route-20260706/NON_SLAVIC_CORE_FAA2C330_CJK_DRAFT_MUTUAL_WAKE_ROUTE_20260706/SHA256SUMS.txt,coordination,cjk,cjk-draft-route-pointer,branch-visible context only; do not treat as native CJK evidence unless class is cjk-native-source-packet or source-body row is independently checked,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, or translation completion claim."
A,coordination/non-slavic-core-faa2c330-cjk-draft-mutual-wake-route-20260706/NON_SLAVIC_CORE_FAA2C330_CJK_DRAFT_MUTUAL_WAKE_ROUTE_20260706/SUMMARY.json,coordination,cjk,cjk-draft-route-pointer,branch-visible context only; do not treat as native CJK evidence unless class is cjk-native-source-packet or source-body row is independently checked,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, or translation completion claim."
A,interlanguage-sidecar/arabic-rtl-faa2c330-token-reset-recovery-continuation-20260706/ARABIC_RTL_FAA2C330_TOKEN_RESET_RECOVERY_CONTINUATION_20260706/ARABIC_FAA2C330_6ROW_MANUAL_SOURCE_BLOCKERS_20260706.csv,interlanguage-sidecar,interlanguage,other-lane-with-generic-source-use-signal,branch-visible context only; do not treat as native CJK evidence unless class is cjk-native-source-packet or source-body row is independently checked,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, or translation completion claim."
A,interlanguage-sidecar/arabic-rtl-faa2c330-token-reset-recovery-continuation-20260706/ARABIC_RTL_FAA2C330_TOKEN_RESET_RECOVERY_CONTINUATION_20260706/ARABIC_FAA2C330_6ROW_SOURCE_CHECKED_DRAFT_TABLE_20260706.csv,interlanguage-sidecar,interlanguage,other-lane-with-generic-source-use-signal,branch-visible context only; do not treat as native CJK evidence unless class is cjk-native-source-packet or source-body row is independently checked,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, or translation completion claim."
