do_not_use_id,candidate_or_claim,language_lane,relation,blocked_scope,action,evidence_or_gap_note,fd3754_status,non_claim_boundary
DNU-CJK-GAP-0001,tensor product,japanese,exact_concept_or_register_gap_retained,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Find exact japanese source-content witness for tensor product; current source-canon rows do not close this retained blocker.,retained unless exact source evidence changes it,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, or translation completion claim."
DNU-CJK-GAP-0002,Noether/Noetherian,japanese,exact_concept_or_register_gap_retained,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Keep Noether/Noetherian as review/register gap; collect exact target-language register evidence before promotion or covered-row treatment.,retained unless exact source evidence changes it,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, or translation completion claim."
DNU-CJK-GAP-0003,Noetherian,japanese,exact_concept_or_register_gap_retained,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Keep Noetherian as review/register gap; collect exact target-language register evidence before promotion or covered-row treatment.,retained unless exact source evidence changes it,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, or translation completion claim."
DNU-CJK-GAP-0004,Noetherian/Noether,japanese,exact_concept_or_register_gap_retained,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Keep Noetherian/Noether as review/register gap; collect exact target-language register evidence before promotion or covered-row treatment.,retained unless exact source evidence changes it,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, or translation completion claim."
DNU-CJK-GAP-0005,Harish-Chandra,japanese,exact_concept_or_register_gap_retained,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Find exact japanese source-content witness for Harish-Chandra; current source-canon rows do not close this retained blocker.,retained unless exact source evidence changes it,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, or translation completion claim."
DNU-CJK-GAP-0006,Artin/Artinian,japanese,exact_concept_or_register_gap_retained,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Keep Artin/Artinian as review/register gap; collect exact target-language register evidence before promotion or covered-row treatment.,retained unless exact source evidence changes it,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, or translation completion claim."
DNU-CJK-GAP-0007,Artinian/Artin,japanese,exact_concept_or_register_gap_retained,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Keep Artinian/Artin as review/register gap; collect exact target-language register evidence before promotion or covered-row treatment.,retained unless exact source evidence changes it,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, or translation completion claim."
DNU-CJK-GAP-0008,localization,japanese,exact_concept_or_register_gap_retained,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Find exact japanese source-content witness for localization; current source-canon rows do not close this retained blocker.,retained unless exact source evidence changes it,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, or translation completion claim."
DNU-CJK-GAP-0009,norm,japanese,exact_concept_or_register_gap_retained,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Find target-language number-theory source witness for norm; current CJK source-canon baseline is algebra/linear-algebra heavy.,retained unless exact source evidence changes it,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, or translation completion claim."
DNU-CJK-GAP-0010,ring of integers,japanese,exact_concept_or_register_gap_retained,source_canon_insufficient,keep_as_source_acquisition_gap; do_not_promote_to_covered_translation_row,Find target-language number-theory source witness for ring of integers; current CJK source-canon baseline is algebra/linear-algebra heavy.,retained unless exact source evidence changes it,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, or translation completion claim."
